"repeat_class","count","total_length","mean_length","mean_div"
"LINE",3122854,1350007465,432.299257346005,27.3988475926188
"SINE",3603193,793150893,220.124454338138,19.350782403274
"LTR",1578262,603692534,382.504637379599,24.1415808655344
"Satellite",104253,290277377,2784.35514565528,17.2979156475113
"DNA",1185973,256958975,216.665113792641,26.6077732798301
"Simple_repeat",1297784,136311150,105.033772954513,10.5586654635902
"Retroposon",175003,28827444,164.725427564099,28.4269475380422
"Low_complexity",193184,13991580,72.4261843630943,19.4794858787477
"Unknown",46363,10231827,220.689493777366,15.9418566529345
"rRNA",9064,10173602,1122.41857899382,11.1884598411297
"scRNA",13987,1443367,103.193465360692,21.7062200614857
"RC",5406,1210417,223.90251572327,31.5404735479097
"snRNA",9961,1017336,102.131914466419,17.7475855837767
"srpRNA",6408,745754,116.378589263421,21.5606429463171
"tRNA",4246,263439,62.0440414507772,12.6566650965615
"PLE",157,39973,254.605095541401,30.9936305732484
