"repeat_class","repeat_family","count","total_length","mean_length","mean_div"
"DNA","hAT-Charlie",589697,110529742,187.434804653915,27.0655175454513
"DNA","TcMar-Tigger",291212,87019004,298.816683378432,24.7533896268011
"DNA","hAT-Tip100",144214,29542871,204.854390003744,28.8711047471119
"DNA","TcMar-Mariner",35475,6614365,186.451444679352,19.1450627202255
"DNA","hAT-Blackjack",39321,5549403,141.130769817655,25.5530403601129
"DNA","Unknown",29779,4823123,161.963900735418,32.5963632089728
"DNA","TcMar-Tc2",17415,3861507,221.734539190353,28.0107206431237
"DNA","MULE-MuDR",9079,2194702,241.733891397731,24.1152770128869
"DNA","hAT",9903,1995789,201.533777643138,32.931394526911
"DNA","hAT-Tag1",4402,1355731,307.980690595184,31.6996592457974
"DNA","hAT-Ac",4270,1157104,270.984543325527,30.1753161592506
"DNA","PiggyBac",4732,1096265,231.670540997464,15.0124049027895
"DNA","TcMar-Tc1",1895,358169,189.007387862797,27.1360422163588
"DNA","Kolobok",1077,237574,220.588672237697,32.9073351903435
"DNA","PIF-Harbinger",1110,224390,202.153153153153,32.8087387387387
"DNA","Crypton",783,126722,161.841634738186,31.4274584929757
"DNA","Merlin",637,103743,162.861852433281,28.0244897959184
"DNA","TcMar",395,85247,215.815189873418,32.1969620253165
"DNA","Crypton-A",444,68784,154.918918918919,32.1646396396396
"DNA","TcMar-Pogo",85,10172,119.670588235294,28.84
"DNA","hAT-hAT19",48,4568,95.1666666666667,29.70625
"LINE","L1",2026574,1082590082,534.197163291348,24.0188402199969
"LINE","L2",956751,230569606,240.992281168245,33.478708357765
"LINE","CR1",95638,24305807,254.143823584768,34.8816704657145
"LINE","RTE-X",37469,10775966,287.596840054445,34.4153967279618
"LINE","RTE-BovB",4372,1178928,269.654162854529,36.3766697163769
"LINE","Dong-R4",1487,419573,282.160726294553,35.0244115669133
"LINE","L1-Tx1",450,146294,325.097777777778,34.5362222222222
"LINE","I-Jockey",113,21209,187.690265486726,32.4858407079646
"LTR","ERVL-MaLR",725409,244484175,337.029420644078,24.1592209360512
"LTR","ERV1",381950,180533035,472.661434742767,19.2433067155387
"LTR","ERVL",337425,128517170,380.876253982366,27.1244445432318
"LTR","Gypsy",66926,20393765,304.721109882557,34.7360084272181
"LTR","ERVK",21513,17470100,812.071770557337,10.5440942685818
"LTR","Unknown",45033,12292845,272.974152288322,33.8012590766771
"LTR","DIRS",6,1444,240.666666666667,37.9
"Low_complexity","Unknown",193184,13991580,72.4261843630943,19.4794858787477
"PLE","Unknown",157,39973,254.605095541401,30.9936305732484
"RC","Helitron",5406,1210417,223.90251572327,31.5404735479097
"Retroposon","SVA",175003,28827444,164.725427564099,28.4269475380422
"SINE","Alu",2404445,613725413,255.246184878423,13.1261526880424
"SINE","MIR",1184362,177130218,149.557498467529,31.7989567378893
"SINE","tRNA-RTE",9034,1383523,153.146225370821,35.7383551029444
"SINE","5S-Deu-L2",2609,436522,167.313913376773,33.0198160214642
"SINE","tRNA",2236,391411,175.049642218247,33.8963774597496
"SINE","tRNA-Deu",507,83806,165.297830374753,33.953057199211
"Satellite","centr",7821,170596059,21812.5634829306,19.912709372203
"Satellite","Unknown",94721,118088158,1246.69458726154,17.078608756242
"Satellite","acro",1312,1311881,999.909298780488,18.9102896341463
"Satellite","subtelo",399,281279,704.959899749373,12.8047619047619
"Simple_repeat","Unknown",1297784,136311150,105.033772954513,10.5586654635902
"Unknown","Unknown",46363,10231827,220.689493777366,15.9418566529345
"rRNA","Unknown",9064,10173602,1122.41857899382,11.1884598411297
"scRNA","Unknown",13987,1443367,103.193465360692,21.7062200614857
"snRNA","Unknown",9961,1017336,102.131914466419,17.7475855837767
"srpRNA","Unknown",6408,745754,116.378589263421,21.5606429463171
"tRNA","Unknown",4246,263439,62.0440414507772,12.6566650965615
