metric	value	haplotype	asm_method	asm_name	source
Number of mapped sequences	19122	NA	unphased_verkko	TUE_02_01UL	stat
Number of primary alignments	45269	NA	unphased_verkko	TUE_02_01UL	stat
Number of secondary alignments	34659	NA	unphased_verkko	TUE_02_01UL	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_01UL	stat
Number of bases in mapped sequences	6685275250	NA	unphased_verkko	TUE_02_01UL	stat
Number of mapped bases	6642871159	NA	unphased_verkko	TUE_02_01UL	stat
Number of substitutions	9075417	NA	unphased_verkko	TUE_02_01UL	stat
Number of insertions in [0,50)	861326	NA	unphased_verkko	TUE_02_01UL	stat
Number of insertions in [50,100)	7766	NA	unphased_verkko	TUE_02_01UL	stat
Number of insertions in [100,300)	8212	NA	unphased_verkko	TUE_02_01UL	stat
Number of insertions in [300,400)	4777	NA	unphased_verkko	TUE_02_01UL	stat
Number of insertions in [400,1000)	4209	NA	unphased_verkko	TUE_02_01UL	stat
Number of insertions in [1000,inf)	5189	NA	unphased_verkko	TUE_02_01UL	stat
Number of deletions in [0,50)	943768	NA	unphased_verkko	TUE_02_01UL	stat
Number of deletions in [50,100)	7674	NA	unphased_verkko	TUE_02_01UL	stat
Number of deletions in [100,300)	7422	NA	unphased_verkko	TUE_02_01UL	stat
Number of deletions in [300,400)	4851	NA	unphased_verkko	TUE_02_01UL	stat
Number of deletions in [400,1000)	7325	NA	unphased_verkko	TUE_02_01UL	stat
Number of deletions in [1000,inf)	5240	NA	unphased_verkko	TUE_02_01UL	stat
Number of mapped sequences	3786	NA	unphased_verkko	TUE_02_02UL	stat
Number of primary alignments	32387	NA	unphased_verkko	TUE_02_02UL	stat
Number of secondary alignments	31965	NA	unphased_verkko	TUE_02_02UL	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_02UL	stat
Number of bases in mapped sequences	6362135574	NA	unphased_verkko	TUE_02_02UL	stat
Number of mapped bases	6312483437	NA	unphased_verkko	TUE_02_02UL	stat
Number of substitutions	8795194	NA	unphased_verkko	TUE_02_02UL	stat
Number of insertions in [0,50)	792812	NA	unphased_verkko	TUE_02_02UL	stat
Number of insertions in [50,100)	7633	NA	unphased_verkko	TUE_02_02UL	stat
Number of insertions in [100,300)	7897	NA	unphased_verkko	TUE_02_02UL	stat
Number of insertions in [300,400)	4706	NA	unphased_verkko	TUE_02_02UL	stat
Number of insertions in [400,1000)	4006	NA	unphased_verkko	TUE_02_02UL	stat
Number of insertions in [1000,inf)	5355	NA	unphased_verkko	TUE_02_02UL	stat
Number of deletions in [0,50)	912237	NA	unphased_verkko	TUE_02_02UL	stat
Number of deletions in [50,100)	7621	NA	unphased_verkko	TUE_02_02UL	stat
Number of deletions in [100,300)	7319	NA	unphased_verkko	TUE_02_02UL	stat
Number of deletions in [300,400)	4585	NA	unphased_verkko	TUE_02_02UL	stat
Number of deletions in [400,1000)	7788	NA	unphased_verkko	TUE_02_02UL	stat
Number of deletions in [1000,inf)	5296	NA	unphased_verkko	TUE_02_02UL	stat
Number of mapped sequences	2221	NA	unphased_verkko	TUE_02_03UL	stat
Number of primary alignments	28919	NA	unphased_verkko	TUE_02_03UL	stat
Number of secondary alignments	24092	NA	unphased_verkko	TUE_02_03UL	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_03UL	stat
Number of bases in mapped sequences	6221161103	NA	unphased_verkko	TUE_02_03UL	stat
Number of mapped bases	6170891487	NA	unphased_verkko	TUE_02_03UL	stat
Number of substitutions	8320931	NA	unphased_verkko	TUE_02_03UL	stat
Number of insertions in [0,50)	766540	NA	unphased_verkko	TUE_02_03UL	stat
Number of insertions in [50,100)	7462	NA	unphased_verkko	TUE_02_03UL	stat
Number of insertions in [100,300)	7411	NA	unphased_verkko	TUE_02_03UL	stat
