sample	falign_reads	snp_phased_reads	pct_snp_reads	snp_phased_frags	pct_snp_frags	imp_phased_frags	pct_imp_frags	global_phased_reads	pct_global	pct_phased_contacts
T2T00	68844752	56328997	21.1	83075001	12.9	304821674	47.3	600715836	46.4	81.8
T2T01	60443830	44084455	23.5	59855579	13.4	198115076	44.4	511406303	46.7	72.8
T2T02	49987714	39583264	17	47822883	12.5	116856359	30.6	439160580	44	69.3
T2T03	44006337	39646797	24.1	57897045	13.9	204496507	49.1	420556271	51.5	79.6
T2T04	99305159	76812654	19.9	112777044	12.7	404979620	45.5	828884656	44.7	81.6
T2T05	69251544	46611884	23.4	62871821	13.3	209273023	44.2	548030891	44.3	71.8
T2T06	32508768	25198659	16.2	29581036	12.4	66057758	27.6	284381375	43.3	67.1
T2T07	51039054	45856797	24.5	67004270	13.6	244521492	49.6	504652140	52.1	78.5
T2T08	37438062	31660551	17.4	42581827	12.4	126517332	37	331225940	45.4	78.4
T2T09	59923442	51116989	16.4	62116975	12.5	147497334	29.7	547720485	44.9	72.5
T2T10	63762929	48786582	17.3	60245802	12.7	155484162	32.7	543879016	43.3	73
T2T11	48000129	44423982	23.3	64144461	13.3	231674243	48.1	478593324	51.4	78.9
T2T12	141032408	117894152	24.6	175626363	13.6	660786142	51	1270546424	48.9	80.7
T2T13	132995166	95041761	21.2	134476353	12.4	493003192	45.3	1048782883	43.4	77.3
T2T15	55363731	51160382	22.8	74876976	13.4	268079216	48.1	541936917	51.1	80.1
T2T16	43986429	42714485	26.5	67435580	13.5	276514205	55.5	457994515	54.9	82.8
T2T17	40834341	36585812	23.6	53212058	13.5	191889291	48.7	387326559	50.3	79.4
T2T18	44841270	27190879	21.3	37473460	13.2	124555083	43.7	302004999	39	77
T2T19	47828384	35532565	18.4	47032722	12.1	150700142	38.8	396881030	43.5	76.7
