T2T Number	Ethnicity	Gender 
T2T00	German 	Male
T2T00_1	German	Male
		
T2T00_2	German	Female
		
T2T01	Ostslavische Wurzeln Mütterlicherseits (Urgroßmutter Mordwinin), Deutsche Wurzeln Väterlicherseits,	Female
T2T02	Austrian	Male
T2T03	Spain	Female
T2T04	German	Male
T2T04_1	Both parents and maternal grandparents from Sachsen Anhalt, paternal unknown	Male
T2T04_2	Both parents from Sachsen-Anhalt, grandparents all also from SA except grandfather from Poland/Schlesien	Female
T2T05	French	Male
T2T06	Russian	Male
T2T07	Chile	Female
T2T08	South Indian	Female
T2T09	Mexican	Male
T2T10	Polish/Croatia/Serbia/Hungary	Female
T2T11	Großeltern väterlicherseits:	Male
	Großmutter: Berglen-Öschelbronn	
	Großvater: Crailsheim-Onolzheim	
	Großeltern mütterlicherseits:	
	Großmutter: Friedrichshafen-Schnetzenhausen	
	Großvater: Mitau (Jelgava, Lettland). Seine Mutter war Lettin und sein Vater war Deutscher	
T2T12	Mutter: Deutsch	Female
	Großmutter mütterl.: Deutsch (West)	
	Großvater mütterl.: Deutsch (West)	
	Vater: Österreichische Staatsbürgerschaft, geboren und wohnhaft in Deutschland	
	"Großmutter väterl.: Deutsch (""DDR"")"	
	Großvater väterl.: Österreichisch (Steiermark)	
T2T13	Taiwan, parents and all grand parents Taiwanese, South East part of Taiwan, Fujian Guangdongund Fujian Guangxi, Han chinese and East Asian (presumably parents and grandparents)	Female
T2T15	Croatian (both parents and both grandparents)	Female
		
T2T16	Eltern, Großeltern und Uhrgroßeltern stammen aus Russland (aus einem Gebiet an der Grenze zu Weißrussland und Lettland)	Female
 T2T17	Großeltern väterlicherseits sind aus Bayern, seine Großeltern mütterlicherseits sind aus Sudetendeutschland und aus Rumänien,	Male
 T2T18	Mutter und Großvater: Landau (Urgroßeltern auch irgendwo Rheinlandpfalz)	Male
	Großmutter mütterlicherseits: Berlin (Urgroßmutter aus Kaliningrad (ehemals Königsberg, vom Urgroßvater weiß ich es nicht)	
	Vater, Großvater und Urgroßältern väterlicherseits: Bochum	
	Großmutter väterlicherseits: Höxter (Urgroßeltern soweit ich weiß auch aus der Gegend).	
T2T19	Vater und Mutter waren in Vĩnh Kim (Sầm Giang) Provinz Định Tường (nach 1975 Tiền Giang umbenannt)
	Male
	https://maps.app.goo.gl/41QHNBqBDZxMiWQE7?g_st=aw	
T2T20	Großeltern aus dem Saarland	Male
T2T21	Mutter Baden Württemberg, Großeltern Mütterlichseits Saarland, Vater und Großeltern väterlichseits Hessen	Male
