name_ngsd	name_external	project_name	run_flowcell_id
23074LRa001_01	2410869	3074I_1315_MYGENOME_epigenetics	PAW50232
23074LRa003_01	2410869	23074I_1315_MYGENOME_epigenetics	PAW48944
24070LRa003_01	2410869	24070_1422_ultra-long	PBA32113
24070LRa010_01	2410869	24070_1422_ultra-long	PBA36199
24070LRa002_01	2410869	24070_1422_ultra-long	PBA75688
24070LRa004_01	2410869	24070_1422_ultra-long	PBA75681
24070LRa009_01	2410869	24070_1422_ultra-long	PBA75463
24070LRa013_01	2410869	24070_1422_ultra-long	PAY80694
25006LRa001_01	GE-MED-T2T01	25006_1422_BEGIN_T2T_GoE	PBC38194
25006LRa002_01	GE-MED-T2T01	25006_1422_BEGIN_T2T_GoE	PBC38130
25006LRa005_01	GE-MED-T2T02	25006_1422_BEGIN_T2T_GoE	PBC50005
25006LRa007_01	GE-MED-T2T02	25006_1422_BEGIN_T2T_GoE	PBC48743
25006LRa009_01	GE-MED-T2T03	25006_1422_BEGIN_T2T_GoE	PBC38760
25006LRa011_01	GE-MED-T2T03	25006_1422_BEGIN_T2T_GoE	PBC47112
25006LRa015_01	GE-MED-T2T04	25006_1422_BEGIN_T2T_GoE	PBC38344
25006LRa016_01	GE-MED-T2T04	25006_1422_BEGIN_T2T_GoE	PBC38583
25006LRa018_01	GE-MED-T2T05	25006_1422_BEGIN_T2T_GoE	PBC38212
25006LRa019_01	GE-MED-T2T05	25006_1422_BEGIN_T2T_GoE	PBC38214
25006LRa021_01	GE-MED-T2T06	25006_1422_BEGIN_T2T_GoE	PBC48800
25006LRa022_01	GE-MED-T2T06	25006_1422_BEGIN_T2T_GoE	PBC48831
24070LRa002_02	2410869	24070_1422_ultra-long	PBC38311
25006LRa025_01	GE-MED-T2T07	25006_1422_BEGIN_T2T_GoE	PBC81032
25006LRa029_01	GE-MED-T2T08	25006_1422_BEGIN_T2T_GoE	PBC74886
25006LRa010_01	GE-MED-T2T03	25006_1422_BEGIN_T2T_GoE	PBC75085
24070LRa017_01	2410869	24070_1422_ultra-long	PBC81151
