n_UL	n_DX	sample	asm_name	metric	value	haplotype	asm_method	source	chromosome
1	0	TUE_02	TUE_02_01UL	Assembly Length	6685275250	both	unphased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	% of Ref covered by Assembly	0.9599	both	unphased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	% of Ref duplicated in Assembly	0.9024	both	unphased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	% of Assembly covered by Ref	0.9705	both	unphased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	NG75	1274297	both	unphased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	NG50	1767315	both	unphased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	NGA50	1218709	both	unphased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	Average Ungapped Alignment length	1606086	both	unphased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	Number of Breaks in Assembly	22434	both	unphased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	Assembly Length	6113917165	both	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	% of Ref covered by Assembly	0.9606	both	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	% of Ref duplicated in Assembly	0.9182	both	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	% of Assembly covered by Ref	0.9669	both	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	NG75	139705835	both	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	NG50	175656573	both	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	NGA50	5948638	both	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	Average Ungapped Alignment length	6887006	both	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	Number of Breaks in Assembly	23419	both	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	Assembly Length	2907174214	haplotype1	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	% of Ref covered by Assembly	0.8873000000000001	haplotype1	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	% of Ref duplicated in Assembly	0.0136	haplotype1	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	% of Assembly covered by Ref	0.9651	haplotype1	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	NG75	58337403	haplotype1	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	NG50	135212824	haplotype1	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	NGA50	3011018	haplotype1	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	Average Ungapped Alignment length	4012744	haplotype1	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	Number of Breaks in Assembly	11761	haplotype1	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	Assembly Length	3032568553	haplotype2	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	% of Ref covered by Assembly	0.9126	haplotype2	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	% of Ref duplicated in Assembly	0.0332	haplotype2	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	% of Assembly covered by Ref	0.9722	haplotype2	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	NG75	54528350	haplotype2	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	NG50	98443080	haplotype2	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	NGA50	3167931	haplotype2	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	Average Ungapped Alignment length	4142182	haplotype2	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	Number of Breaks in Assembly	10024	haplotype2	phased_verkko	asmstat	NA
1	0	TUE_02	TUE_02_01UL	Variants	4993670	both	phased_verkko	whatshap_stats	ALL
1	0	TUE_02	TUE_02_01UL	Variants Phased	3379787	both	phased_verkko	whatshap_stats	ALL
1	0	TUE_02	TUE_02_01UL	Variants Unphased	144816	both	phased_verkko	whatshap_stats	ALL
1	0	TUE_02	TUE_02_01UL	singletons	0	both	phased_verkko	whatshap_stats	ALL
1	0	TUE_02	TUE_02_01UL	Phase Blocks	23	both	phased_verkko	whatshap_stats	ALL
1	0	TUE_02	TUE_02_01UL	Quality Value	52.5174	assembly	unphased_verkko	merqury	NA
1	0	TUE_02	TUE_02_01UL	Error Rate	5.6009e-6	assembly	unphased_verkko	merqury	NA
1	0	TUE_02	TUE_02_01UL	Quality Value	59.174	haplotype1	phased_verkko	merqury	NA
1	0	TUE_02	TUE_02_01UL	Error Rate	1.20947e-6	haplotype1	phased_verkko	merqury	NA
1	0	TUE_02	TUE_02_01UL	Quality Value	58.8408	haplotype2	phased_verkko	merqury	NA
1	0	TUE_02	TUE_02_01UL	Error Rate	1.30593e-6	haplotype2	phased_verkko	merqury	NA
1	0	TUE_02	TUE_02_01UL	Quality Value	59.0007	both	phased_verkko	merqury	NA
1	0	TUE_02	TUE_02_01UL	Error Rate	1.25873e-6	both	phased_verkko	merqury	NA
1	0	TUE_02	TUE_02_01UL	Number of T2T chromosomes	0	both	unphased_verkko	t2t_alignment	NA
1	0	TUE_02	TUE_02_01UL	Number of T2T chromosomes	9	both	phased_verkko	t2t_alignment	NA
1	0	TUE_02	TUE_02_01UL	Number of T2T chromosomes	5	haplotype1	phased_verkko	t2t_alignment	NA
1	0	TUE_02	TUE_02_01UL	Number of T2T chromosomes	4	haplotype2	phased_verkko	t2t_alignment	NA
1	0	TUE_02	TUE_02_01UL	Number of Y Chromosomes	1	both	unphased_verkko	sex_determination	NA
1	0	TUE_02	TUE_02_01UL	Number of Y Chromosomes	1	both	phased_verkko	sex_determination	NA
2	0	TUE_02	TUE_02_02UL	Assembly Length	6362135574	both	unphased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	% of Ref covered by Assembly	0.9619	both	unphased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	% of Ref duplicated in Assembly	0.9162	both	unphased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	% of Assembly covered by Ref	0.9685	both	unphased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	NG75	7981137	both	unphased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	NG50	11184237	both	unphased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	NGA50	3705349	both	unphased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	Average Ungapped Alignment length	4339352	both	unphased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	Number of Breaks in Assembly	26232	both	unphased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	Assembly Length	6063822728	both	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	% of Ref covered by Assembly	0.9616	both	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	% of Ref duplicated in Assembly	0.9184	both	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	% of Assembly covered by Ref	0.9665	both	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	NG75	171583303	both	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	NG50	192333606	both	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	NGA50	6368752	both	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	Average Ungapped Alignment length	7199309	both	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	Number of Breaks in Assembly	26679	both	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	Assembly Length	2932836912	haplotype1	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	% of Ref covered by Assembly	0.8996	haplotype1	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	% of Ref duplicated in Assembly	0.0108	haplotype1	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	% of Assembly covered by Ref	0.9667	haplotype1	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	NG75	96270682	haplotype1	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	NG50	136565302	haplotype1	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	NGA50	3380895	haplotype1	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	Average Ungapped Alignment length	4267078	haplotype1	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	Number of Breaks in Assembly	13050	haplotype1	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	Assembly Length	3052770571	haplotype2	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	% of Ref covered by Assembly	0.9363	haplotype2	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	% of Ref duplicated in Assembly	0.00939999999999999	haplotype2	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	% of Assembly covered by Ref	0.9673	haplotype2	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	NG75	107943815	haplotype2	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	NG50	145925934	haplotype2	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	NGA50	3415403	haplotype2	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	Average Ungapped Alignment length	4395535	haplotype2	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	Number of Breaks in Assembly	12994	haplotype2	phased_verkko	asmstat	NA
2	0	TUE_02	TUE_02_02UL	Variants	5098764	both	phased_verkko	whatshap_stats	ALL
2	0	TUE_02	TUE_02_02UL	Variants Phased	3508470	both	phased_verkko	whatshap_stats	ALL
2	0	TUE_02	TUE_02_02UL	Variants Unphased	64776	both	phased_verkko	whatshap_stats	ALL
2	0	TUE_02	TUE_02_02UL	singletons	0	both	phased_verkko	whatshap_stats	ALL
2	0	TUE_02	TUE_02_02UL	Phase Blocks	23	both	phased_verkko	whatshap_stats	ALL
2	0	TUE_02	TUE_02_02UL	Quality Value	58.0251	assembly	unphased_verkko	merqury	NA
2	0	TUE_02	TUE_02_02UL	Error Rate	1.57574e-6	assembly	unphased_verkko	merqury	NA
2	0	TUE_02	TUE_02_02UL	Quality Value	63.218	haplotype1	phased_verkko	merqury	NA
2	0	TUE_02	TUE_02_02UL	Error Rate	4.76647e-7	haplotype1	phased_verkko	merqury	NA
2	0	TUE_02	TUE_02_02UL	Quality Value	62.7368	haplotype2	phased_verkko	merqury	NA
2	0	TUE_02	TUE_02_02UL	Error Rate	5.32495e-7	haplotype2	phased_verkko	merqury	NA
2	0	TUE_02	TUE_02_02UL	Quality Value	62.966	both	phased_verkko	merqury	NA
2	0	TUE_02	TUE_02_02UL	Error Rate	5.0513e-7	both	phased_verkko	merqury	NA
2	0	TUE_02	TUE_02_02UL	Number of T2T chromosomes	0	both	unphased_verkko	t2t_alignment	NA
2	0	TUE_02	TUE_02_02UL	Number of T2T chromosomes	36	both	phased_verkko	t2t_alignment	NA
2	0	TUE_02	TUE_02_02UL	Number of T2T chromosomes	19	haplotype1	phased_verkko	t2t_alignment	NA
2	0	TUE_02	TUE_02_02UL	Number of T2T chromosomes	17	haplotype2	phased_verkko	t2t_alignment	NA
2	0	TUE_02	TUE_02_02UL	Number of Y Chromosomes	1	both	unphased_verkko	sex_determination	NA
2	0	TUE_02	TUE_02_02UL	Number of Y Chromosomes	1	both	phased_verkko	sex_determination	NA
3	0	TUE_02	TUE_02_03UL	Assembly Length	6221161103	both	unphased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	% of Ref covered by Assembly	0.9619	both	unphased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	% of Ref duplicated in Assembly	0.9162	both	unphased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	% of Assembly covered by Ref	0.9703	both	unphased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	NG75	14363189	both	unphased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	NG50	18772608	both	unphased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	NGA50	4467808	both	unphased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	Average Ungapped Alignment length	5147297	both	unphased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	Number of Breaks in Assembly	26255	both	unphased_verkko	asmstat	NA
