sample	haplotype	pipeline	total	total_unmapped	total_single_sided_mapped	total_mapped	total_dups	total_nodups	cis	trans	cis_1kb	cis_2kb	cis_10kb	cis_40kb	frac_cis	frac_cis_1kb	frac_cis_2kb	frac_cis_10kb	frac_cis_40kb	frac_dups	complexity_naive	convergence_dist	mapping_rate	single_sided_rate	unmapped_rate
T2T00	unphased	wf-pore-c	1068098594	73796572	308022596	686279426	0	686279426	364510652	321768774	206329322	188148657	179969480	167792989	0.5311402880377183	0.30064914404122034	0.27415750767384944	0.2622393637078084	0.24449660392412814	0.0	inf	7499	0.6425244166176667	0.2883840478119757	0.06909153557035766
T2T00	hp1	dip3d	418598456	154440	34777267	383666749	0	383666749	383666749	0	382924003	382186428	377446356	367028230	1.0	0.9980640855587931	0.9961416489600458	0.9837869895782916	0.9566328876730467	0.0	inf	1334	0.9165507982666806	0.0830802562730905	0.00036894546022883564
T2T00	hp2	dip3d	416633433	153583	34604227	381875623	0	381875623	381875623	0	381136089	380401917	375669111	365284042	1.0	0.9980634165800104	0.9961408743809761	0.9837472946001583	0.9565523955950443	0.0	inf	1334	0.9165746019235091	0.08305676947437869	0.00036862860211220734
T2T00_1	unphased	wf-pore-c	747394328	51961393	218532880	476900055	0	476900055	243362799	233537256	130795977	116557643	112081500	105542432	0.5103014697702226	0.274262868348799	0.24440685585578303	0.23502094165201973	0.2213093307359757	0.0	inf	10000	0.6380835887210533	0.2923930137184557	0.06952339756049099
T2T00_1	hp1	dip3d	248963028	97804	25278299	223586925	0	223586925	223586925	0	223161887	222783244	220460883	215182358	1.0	0.9980990033294657	0.9964055098481273	0.9860186726035075	0.9624102929990204	0.0	inf	750	0.8980728054126976	0.10153434910825394	0.0003928454790483991
T2T00_1	hp2	dip3d	249619598	97448	25099977	224422173	0	224422173	224422173	0	223996565	223619302	221299699	216026051	1.0	0.9981035385483056	0.9964224969874077	0.9860866065136977	0.9625878232629002	0.0	inf	750	0.8990567038730669	0.10055291011245039	0.000390386014482725
T2T00_2	unphased	wf-pore-c	732818362	47544782	207882205	477391375	0	477391375	265267907	212123468	159978377	146851316	140469779	130899333	0.5556612894399275	0.3351094832829772	0.30761200074048256	0.29424448441281537	0.27419710504824263	0.0	inf	7499	0.651445705723187	0.2836749401756939	0.06487935410111899
T2T00_2	hp1	dip3d	357698327	120756	25414725	332162846	0	332162846	332162846	0	331512179	330890347	326967356	318359545	1.0	0.9980411204689642	0.9961690507673456	0.9843586058387759	0.9584441753006897	0.0	inf	1000	0.9286116845606606	0.07105072370103649	0.0003375917383029862
T2T00_2	hp2	dip3d	357644977	124193	25352043	332168741	0	332168741	332168741	0	331519186	330898430	326986324	318390370	1.0	0.9980445029293109	0.9961757057687737	0.9843982399295061	0.958519965007785	0.0	inf	1000	0.9287666886483352	0.070886059165875	0.00034725218578982026
T2T01	unphased	wf-pore-c	804077556	61801505	231895148	510380903	0	510380903	306939517	203441386	158007693	140682738	133763350	124479047	0.6013930286102417	0.30958778447868374	0.27564263704435665	0.2620853351168588	0.243894405665096	0.0	inf	7499	0.6347408893477434	0.2883989812544898	0.0768601293977667
