asm_name	haplotype	Metric	Value
TUE_02_03UL	both	% of Assembly covered by Ref	1.94
TUE_02_03UL	haplotype1	% of Assembly covered by Ref	0.97
TUE_02_03UL	haplotype2	% of Assembly covered by Ref	0.97
TUE_02_03UL	both	% of Ref covered by Assembly	1.92
TUE_02_03UL	haplotype1	% of Ref covered by Assembly	0.9
TUE_02_03UL	haplotype2	% of Ref covered by Assembly	0.94
TUE_02_03UL	both	% of Ref duplicated in Assembly	1.83
TUE_02_03UL	haplotype1	% of Ref duplicated in Assembly	0.01
TUE_02_03UL	haplotype2	% of Ref duplicated in Assembly	0.01
TUE_02_03UL	both	Assembly Length	12256710154
TUE_02_03UL	haplotype1	Assembly Length	2934985356
TUE_02_03UL	haplotype2	Assembly Length	3028541959
TUE_02_03UL	both	Average Ungapped Alignment length	12330763
TUE_02_03UL	haplotype1	Average Ungapped Alignment length	4167916
TUE_02_03UL	haplotype2	Average Ungapped Alignment length	4482112
TUE_02_03UL	both	Covered Variants (Total)	402000
TUE_02_03UL	both	Error Rate	0%
TUE_02_03UL	haplotype1	Error Rate	0%
TUE_02_03UL	haplotype2	Error Rate	0%
TUE_02_03UL	both	Genome Completeness	11.57
TUE_02_03UL	haplotype1	Genome Completeness	94.61
TUE_02_03UL	haplotype2	Genome Completeness	98.41
TUE_02_03UL	both	Missing Multi-Copy Genes (%)	0.02
TUE_02_03UL	haplotype1	Missing Multi-Copy Genes (%)	0.19
TUE_02_03UL	haplotype2	Missing Multi-Copy Genes (%)	0.22
TUE_02_03UL	both	NG50	210809700
TUE_02_03UL	haplotype1	NG50	137904320
TUE_02_03UL	haplotype2	NG50	145923310
TUE_02_03UL	both	NG75	186484529
TUE_02_03UL	haplotype1	NG75	101150053
TUE_02_03UL	haplotype2	NG75	103627408
TUE_02_03UL	both	NGA50	10836556
TUE_02_03UL	haplotype1	NGA50	3281239
TUE_02_03UL	haplotype2	NGA50	3562253
TUE_02_03UL	both	Number of Breaks in Assembly	52750
TUE_02_03UL	haplotype1	Number of Breaks in Assembly	12532
TUE_02_03UL	haplotype2	Number of Breaks in Assembly	13179
TUE_02_03UL	both	Number of T2T chromosomes	38
TUE_02_03UL	haplotype1	Number of T2T chromosomes	20
TUE_02_03UL	haplotype2	Number of T2T chromosomes	18
TUE_02_03UL	both	Number of Y Chromosomes	2
TUE_02_03UL	both	Overall Switch Flip Rate (%)	0.04
TUE_02_03UL	both	Overall Switch Rate (%)	0.05
TUE_02_03UL	both	Phase Blocks	23
TUE_02_03UL	both	Quality Value	122.04
TUE_02_03UL	haplotype1	Quality Value	63.76
TUE_02_03UL	haplotype2	Quality Value	63.36
TUE_02_03UL	both	Variants	5095873
TUE_02_03UL	both	Variants Phased	3520818
TUE_02_03UL	both	Variants Unphased	46751
TUE_02_03UL	both	singletons	0
