asm_name	haplotype	MMC	asm_covered	blocks	candidate_inversions_at_contig_ends	candidate_inversions_in_the_middle	genome_completeness	inter-chromosomal_misjoins	intra-chromosomal_gaps	length	n_T2T	n_contigs	n_contigs_over_10mb	overall_switch_rate	qv	ref_covered	total_gaps	total_n_count	variants
T2T00	both	-0.01	0.97	46	2	5	NA	3	17	6012131472	77	690	46	0.05	63.83	0.96	72	1660375	10189196
T2T00	haplotype1	-0.07	0.97	NA	0	4	94.62	2	9	2926888795	39	44	23	NA	64.2	0.9	29	694539	NA
T2T00	haplotype2	-0.04	0.97	NA	2	1	98.39	1	8	3038358603	37	73	23	NA	63.5	0.93	43	965836	NA
T2T01	both	-0.02	0.98	46	0	5	NA	3	16	6098900266	0	751	46	0.05	33.37	0.95	32	1382414	10294264
T2T01	haplotype1	-0.04	0.98	NA	0	2	98.57	2	8	3012154039	35	47	23	NA	33.33	0.94	11	539000	NA
T2T01	haplotype2	-0.04	0.98	NA	0	3	98.58	1	8	3020126942	35	64	23	NA	33.42	0.94	21	843414	NA
T2T04	both	-0.01	0.97	46	2	4	NA	0	14	6048398635	67	938	49	0.05	33.26	0.96	46	1956661	10117364
T2T04	haplotype1	-0.07	0.96	NA	0	2	94.61	0	7	2927884430	33	67	24	NA	33.28	0.9	24	1342716	NA
T2T04	haplotype2	-0.04	0.97	NA	2	2	98.54	0	7	3024269354	33	55	25	NA	33.25	0.94	22	613945	NA
T2T05	both	0	0.97	46	1	0	NA	0	3	14965870624	0	92274	3	0.06	32.69	0.97	1327	77931145	5845708
T2T05	haplotype1	-1.99	0.92	NA	0	0	18.97	0	1	1425448805	0	3296	0	NA	32.77	0.31	410	22841446	NA
T2T05	haplotype2	-1.35	0.95	NA	1	0	24.98	0	2	1888741135	0	4115	3	NA	32.63	0.41	607	35713099	NA
T2T06	both	-0.01	0.98	46	1	1	NA	0	1	13762884430	0	76870	3	0.05	32.3	0.97	656	35021019	4568206
T2T06	haplotype1	-3.32	0.93	NA	0	1	17.2	0	1	855672677	0	1202	1	NA	32.18	0.21	224	12551034	NA
T2T06	haplotype2	-2.28	0.91	NA	0	0	20.38	0	0	1358246326	0	3075	2	NA	32.38	0.28	293	15183707	NA
T2T07	both	-0.02	0.97	46	0	4	NA	0	15	6165246524	0	8886	33	0.06	32.91	0.95	148	6047549	10385798
T2T07	haplotype1	-0.04	0.98	NA	0	2	98.29	0	7	3019969976	27	158	24	NA	32.94	0.94	72	2833615	NA
T2T07	haplotype2	-0.03	0.97	NA	0	2	98.16	0	8	3052187571	25	235	27	NA	32.87	0.94	76	3213934	NA
T2T09	both	-0.01	0.96	46	0	2	NA	1	79	6257650918	0	5492	106	0.06	32.9	0.96	965	41710713	9839754
T2T09	haplotype1	-0.15	0.97	NA	0	1	82.28	1	38	2848905054	0	1242	52	NA	33	0.85	477	20355084	NA
T2T09	haplotype2	-0.11	0.97	NA	0	1	82.65	0	41	3007870832	0	1416	54	NA	32.81	0.87	487	21255629	NA
T2T10	both	-0.02	0.97	46	2	0	NA	1	145	6627966085	0	10058	136	0.05	33.18	0.94	1342	58772412	9568100
T2T10	haplotype1	-0.12	0.97	NA	0	0	81.56	1	76	2969497498	0	2170	68	NA	33.17	0.87	657	28071018	NA
T2T10	haplotype2	-0.09	0.96	NA	2	0	83.18	0	69	3139581042	0	2660	68	NA	33.19	0.89	683	30501394	NA
