tool	version	workflows	source
alfred	0.3.1	qc_assembly	binary:bin/alfred
bandage_ng	2022.09	qc_assembly	conda:bandage
bcftools	1.21	call_variants,dip3d,parent_of_origin,qc_extended	conda:bcftools
bedtools	2.31.1	qc_assembly	conda:gqc
cenmap	1.1.1	qc_assembly	conda:cenmap
cooler	0.10.3	porec	conda:cooler
cooler	0.10.4	porec	conda:cooltools
cooltools	0.7.1	porec	conda:cooltools
cov_cal	UNKNOWN (no --version)	qc_assembly	binary:bin/T2T_Sequences/cov_cal
dorado	1.1.1	basecalling	binary:bin/dorado-1.1.1-linux-x64/bin/dorado
falign	UNKNOWN (no --version)	dip3d	binary:bin/Falign/Linux-amd64/bin/falign
fastcat	0.18.6	qc_input	conda:fastcat
filtlong	0.2.1	data_preparation	conda:filtlong
GFAse	dev (no release tag)	assembly	binary:bin/GFAse/build/phase_contacts_with_monte_carlo
herro	herro-v1	error_correction	binary:bin/herro.sif (singularity)
hicexplorer	3.7.6	porec	conda:hicexplorer
hifiasm	0.25.0-r726	assembly	binary:bin/hifiasm-0.25.0/hifiasm
hmm_flagger	1.1.0	assembly	container:mobinasri/flagger:v1.1.0 hmm_flagger
liftoff	1.6.3	qc_assembly	conda:liftoff
longdust	1.2-r75	qc_assembly	binary:bin/longdust/longdust
longphase	2.0	methylation	binary:bin/longphase_linux-x64
mashmap	3.1.3	qc_assembly	binary:bin/MashMap/build/bin/mashmap
medaka	2.0.1	polishing	conda:medaka
merqury	1.3	assembly,qc_assembly	conda:merqury
meryl	1.3	assembly,qc_assembly	conda:merqury
minimap2	2.28	assembly,data_preparation,mapping,qc_assembly	conda:minimap2
minimap2	2.28	qc_assembly	conda:gqc
minimap2	2.28	polishing	conda:medaka
modkit	0.5.1	methylation	binary:bin/dist_modkit_v0.5.1_8fa79e3/modkit
mosdepth	0.3.8	call_variants,dip3d,qc_extended,qc_input	conda:mosdepth
nucflag	0.3.3	qc_assembly	conda:nucflag
pairtools	1.1.3	porec	conda:pairtools
patmat	1.4.0	parent_of_origin	binary:bin/PatMat/patmat
r-base	4.4.1	qc_assembly,qc_input	conda:R
r-base	4.4.3	qc_assembly	conda:gqc
repeatmasker	4.1.8	qc_assembly	conda:repeatmasker
samtools	1.21	assembly,qc_assembly	conda:merqury
samtools	1.24	assembly,data_preparation,mapping,qc_assembly	conda:minimap2
samtools	1.22.1	data_preparation	conda:py_samtools
samtools	1.21	dip3d,mapping,qc_assembly,qc_extended	conda:samtools
samtools	1.22	qc_assembly	conda:gqc
samtools	1.21	polishing	conda:medaka
seqkit	2.3.0	qc_assembly	binary:bin/T2T_Sequences/seqkit
tidk	0.2.0	qc_assembly	binary:bin/T2T_Sequences/tidk
verkko	2.2.1	assembly	conda:verkko
whatshap	2.3-0	call_variants,dip3d,qc_extended	conda:whatshap
winnowmap	2.03	qc_assembly	conda:gqc
yak	0.1	assembly	conda:yak
