[M::mm_idx_gen::36.886*1.49] collected minimizers
[M::mm_idx_gen::39.687*3.14] sorted minimizers
[M::main::39.687*3.14] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::40.878*3.08] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::41.517*3.05] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::107.037*21.53] mapped 14603 sequences
[M::worker_pipeline::111.036*21.82] mapped 13934 sequences
[M::worker_pipeline::122.578*25.19] mapped 13619 sequences
[M::worker_pipeline::130.569*27.18] mapped 12717 sequences
[M::worker_pipeline::140.506*29.28] mapped 12607 sequences
[M::worker_pipeline::150.020*31.08] mapped 12111 sequences
[M::worker_pipeline::195.919*32.50] mapped 13113 sequences
[M::worker_pipeline::385.043*41.76] mapped 11753 sequences
[M::worker_pipeline::416.459*41.93] mapped 13310 sequences
[M::worker_pipeline::424.506*42.24] mapped 13653 sequences
[M::worker_pipeline::434.525*42.62] mapped 12134 sequences
[M::worker_pipeline::441.729*42.87] mapped 12843 sequences
[M::worker_pipeline::487.630*41.12] mapped 13428 sequences
[M::worker_pipeline::497.673*41.39] mapped 13208 sequences
[M::worker_pipeline::507.728*41.72] mapped 13719 sequences
[M::worker_pipeline::513.431*41.85] mapped 13223 sequences
[M::worker_pipeline::522.083*42.12] mapped 12579 sequences
[M::worker_pipeline::530.719*42.36] mapped 12811 sequences
[M::worker_pipeline::539.618*42.62] mapped 12677 sequences
[M::worker_pipeline::625.833*43.44] mapped 13173 sequences
[M::worker_pipeline::633.067*43.61] mapped 13320 sequences
[M::worker_pipeline::680.203*41.92] mapped 13456 sequences
[M::worker_pipeline::682.114*41.80] mapped 12253 sequences
[M::worker_pipeline::693.856*41.96] mapped 12392 sequences
[M::worker_pipeline::702.627*42.14] mapped 12576 sequences
[M::worker_pipeline::711.566*42.34] mapped 12150 sequences
[M::worker_pipeline::719.917*42.53] mapped 12989 sequences
[M::worker_pipeline::729.248*42.64] mapped 13717 sequences
[M::worker_pipeline::737.612*42.80] mapped 13231 sequences
[M::worker_pipeline::746.325*42.98] mapped 12796 sequences
[M::worker_pipeline::755.302*43.17] mapped 13294 sequences
[M::worker_pipeline::762.411*43.31] mapped 13775 sequences
[M::worker_pipeline::770.831*43.48] mapped 12433 sequences
[M::worker_pipeline::1057.968*45.42] mapped 10721 sequences
[M::worker_pipeline::1065.588*45.51] mapped 12299 sequences
[M::worker_pipeline::1074.363*45.60] mapped 12915 sequences
[M::worker_pipeline::1083.656*45.71] mapped 13090 sequences
[M::worker_pipeline::1093.214*45.81] mapped 12488 sequences
[M::worker_pipeline::1102.676*45.92] mapped 12091 sequences
[M::worker_pipeline::1124.864*45.74] mapped 12852 sequences
[M::worker_pipeline::1148.085*45.57] mapped 13855 sequences
[M::worker_pipeline::1155.399*45.65] mapped 12059 sequences
[M::worker_pipeline::1172.704*45.51] mapped 12117 sequences
[M::worker_pipeline::1325.695*45.00] mapped 11619 sequences
[M::worker_pipeline::1327.715*44.93] mapped 12302 sequences
[M::worker_pipeline::1340.573*45.00] mapped 12656 sequences
[M::worker_pipeline::1350.125*45.10] mapped 12437 sequences
[M::worker_pipeline::1359.777*45.19] mapped 12147 sequences
[M::worker_pipeline::1369.857*45.28] mapped 11981 sequences
[M::worker_pipeline::1378.953*45.36] mapped 12596 sequences
[M::worker_pipeline::1388.881*45.46] mapped 12028 sequences
[M::worker_pipeline::1403.734*45.55] mapped 13335 sequences
[M::worker_pipeline::1415.136*45.62] mapped 12903 sequences
