[M::mm_idx_gen::56.450*1.51] collected minimizers
[M::mm_idx_gen::61.918*2.64] sorted minimizers
[M::main::61.918*2.64] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::63.720*2.60] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::64.598*2.58] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::151.508*17.03] mapped 28864 sequences
[M::worker_pipeline::163.545*20.11] mapped 28661 sequences
[M::worker_pipeline::174.800*22.65] mapped 28245 sequences
[M::worker_pipeline::188.228*25.13] mapped 27704 sequences
[M::worker_pipeline::199.520*27.06] mapped 27126 sequences
[M::worker_pipeline::212.245*28.95] mapped 26206 sequences
[M::worker_pipeline::225.387*30.72] mapped 26726 sequences
[M::worker_pipeline::241.988*32.51] mapped 26231 sequences
[M::worker_pipeline::254.156*33.80] mapped 27145 sequences
[M::worker_pipeline::439.714*42.88] mapped 23064 sequences
[M::worker_pipeline::530.580*44.34] mapped 19310 sequences
[M::worker_pipeline::542.383*44.50] mapped 27228 sequences
[M::worker_pipeline::553.639*44.80] mapped 27235 sequences
[M::worker_pipeline::570.682*45.22] mapped 26919 sequences
[M::worker_pipeline::584.892*45.55] mapped 25645 sequences
[M::worker_pipeline::594.798*45.77] mapped 26824 sequences
[M::worker_pipeline::604.891*46.00] mapped 26786 sequences
[M::worker_pipeline::642.387*45.68] mapped 27583 sequences
[M::worker_pipeline::652.326*45.89] mapped 26732 sequences
[M::worker_pipeline::664.906*46.13] mapped 27822 sequences
[M::worker_pipeline::679.915*46.42] mapped 27230 sequences
[M::worker_pipeline::742.348*44.09] mapped 27477 sequences
[M::worker_pipeline::746.756*43.83] mapped 26799 sequences
[M::worker_pipeline::765.069*44.20] mapped 26157 sequences
[M::worker_pipeline::774.468*44.38] mapped 26784 sequences
[M::worker_pipeline::787.961*44.64] mapped 26617 sequences
[M::worker_pipeline::881.565*45.89] mapped 25633 sequences
[M::worker_pipeline::889.107*45.92] mapped 27393 sequences
[M::worker_pipeline::900.012*46.09] mapped 27145 sequences
[M::worker_pipeline::914.183*46.25] mapped 27431 sequences
[M::worker_pipeline::925.254*46.41] mapped 26473 sequences
[M::worker_pipeline::935.546*46.55] mapped 26326 sequences
[M::worker_pipeline::949.170*46.72] mapped 26337 sequences
[M::worker_pipeline::966.737*46.89] mapped 27124 sequences
[M::worker_pipeline::977.687*47.01] mapped 25860 sequences
[M::worker_pipeline::988.770*47.15] mapped 26202 sequences
[M::worker_pipeline::1001.220*47.29] mapped 26471 sequences
[M::worker_pipeline::1013.903*47.45] mapped 27140 sequences
[M::worker_pipeline::1027.714*47.60] mapped 27630 sequences
[M::worker_pipeline::1041.142*47.75] mapped 27155 sequences
[M::worker_pipeline::1054.560*47.90] mapped 26991 sequences
[M::worker_pipeline::1065.224*48.01] mapped 26531 sequences
[M::worker_pipeline::1076.504*48.12] mapped 27455 sequences
[M::worker_pipeline::1166.189*45.40] mapped 27806 sequences
[M::worker_pipeline::1170.062*45.31] mapped 27014 sequences
[M::worker_pipeline::1186.620*45.50] mapped 26044 sequences
[M::worker_pipeline::1424.519*46.94] mapped 22398 sequences
[M::worker_pipeline::1514.303*46.49] mapped 25683 sequences
[M::worker_pipeline::1521.942*46.55] mapped 26130 sequences
[M::worker_pipeline::1533.390*46.64] mapped 26729 sequences
