[M::mm_idx_gen::51.625*1.54] collected minimizers
[M::mm_idx_gen::55.120*2.70] sorted minimizers
[M::main::55.120*2.70] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::56.589*2.66] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::57.326*2.63] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::158.506*30.39] mapped 20092 sequences
[M::worker_pipeline::170.336*31.85] mapped 19792 sequences
[M::worker_pipeline::186.643*34.15] mapped 19613 sequences
[M::worker_pipeline::197.794*35.43] mapped 19854 sequences
[M::worker_pipeline::208.652*36.60] mapped 19581 sequences
[M::worker_pipeline::220.218*37.77] mapped 19565 sequences
[M::worker_pipeline::234.809*39.10] mapped 19808 sequences
[M::worker_pipeline::246.774*39.99] mapped 19510 sequences
[M::worker_pipeline::258.489*40.82] mapped 19575 sequences
[M::worker_pipeline::274.746*41.75] mapped 19200 sequences
[M::worker_pipeline::289.470*42.56] mapped 19196 sequences
[M::worker_pipeline::300.264*43.15] mapped 19251 sequences
[M::worker_pipeline::314.725*43.88] mapped 19385 sequences
[M::worker_pipeline::330.937*44.49] mapped 19366 sequences
[M::worker_pipeline::349.520*45.10] mapped 18918 sequences
[M::worker_pipeline::360.662*45.50] mapped 19106 sequences
[M::worker_pipeline::374.839*46.00] mapped 19528 sequences
[M::worker_pipeline::445.742*47.05] mapped 17401 sequences
[M::worker_pipeline::805.848*50.32] mapped 15010 sequences
[M::worker_pipeline::903.723*51.10] mapped 11368 sequences
[M::worker_pipeline::1026.555*49.48] mapped 18196 sequences
[M::worker_pipeline::1032.344*49.32] mapped 19263 sequences
[M::worker_pipeline::1052.320*49.45] mapped 19413 sequences
[M::worker_pipeline::1066.044*49.56] mapped 19787 sequences
[M::worker_pipeline::1082.140*49.70] mapped 19649 sequences
[M::worker_pipeline::1094.394*49.80] mapped 19548 sequences
[M::worker_pipeline::1107.319*49.89] mapped 19075 sequences
[M::worker_pipeline::1124.457*50.00] mapped 18662 sequences
[M::worker_pipeline::1139.584*50.07] mapped 18787 sequences
[M::worker_pipeline::1151.286*50.14] mapped 19705 sequences
[M::worker_pipeline::1163.445*50.23] mapped 19362 sequences
[M::worker_pipeline::1176.779*50.33] mapped 19519 sequences
[M::worker_pipeline::1195.502*50.44] mapped 19654 sequences
[M::worker_pipeline::1268.753*49.38] mapped 19695 sequences
[M::worker_pipeline::1283.249*49.45] mapped 19417 sequences
[M::worker_pipeline::1298.509*49.54] mapped 19443 sequences
[M::worker_pipeline::1313.189*49.65] mapped 20353 sequences
[M::worker_pipeline::1325.115*49.73] mapped 19525 sequences
[M::worker_pipeline::1337.101*49.80] mapped 19501 sequences
[M::worker_pipeline::1347.752*49.88] mapped 19654 sequences
[M::worker_pipeline::1358.532*49.95] mapped 19621 sequences
[M::worker_pipeline::1375.185*50.05] mapped 18786 sequences
[M::worker_pipeline::1439.325*48.67] mapped 19291 sequences
[M::worker_pipeline::1444.112*48.51] mapped 19053 sequences
[M::worker_pipeline::1465.008*48.59] mapped 19148 sequences
[M::worker_pipeline::1480.145*48.70] mapped 19467 sequences
[M::worker_pipeline::1494.750*48.78] mapped 19239 sequences
[M::worker_pipeline::1511.448*48.87] mapped 19389 sequences
[M::worker_pipeline::1527.550*48.97] mapped 19499 sequences
[M::worker_pipeline::1611.073*49.40] mapped 19405 sequences
[M::worker_pipeline::1730.616*49.65] mapped 17900 sequences
[M::worker_pipeline::1738.102*49.67] mapped 19375 sequences
[M::worker_pipeline::1751.922*49.74] mapped 19779 sequences
[M::worker_pipeline::1762.353*49.80] mapped 19498 sequences
[M::worker_pipeline::1770.861*49.84] mapped 19656 sequences
[M::worker_pipeline::1782.561*49.90] mapped 19931 sequences
[M::worker_pipeline::1795.670*49.97] mapped 19556 sequences
[M::worker_pipeline::1806.934*50.02] mapped 18953 sequences
[M::worker_pipeline::1819.969*50.08] mapped 19260 sequences
[M::worker_pipeline::1835.281*50.14] mapped 18984 sequences
[M::worker_pipeline::1848.150*50.20] mapped 19093 sequences
[M::worker_pipeline::1863.122*50.26] mapped 19580 sequences
[M::worker_pipeline::1876.579*50.33] mapped 19697 sequences
[M::worker_pipeline::1889.269*50.39] mapped 19329 sequences
[M::worker_pipeline::1950.228*49.55] mapped 19227 sequences
[M::worker_pipeline::1954.403*49.45] mapped 18814 sequences
[M::worker_pipeline::1973.123*49.53] mapped 19188 sequences
[M::worker_pipeline::1985.433*49.59] mapped 19253 sequences
[M::worker_pipeline::2000.826*49.66] mapped 19230 sequences
[M::worker_pipeline::2012.820*49.72] mapped 19948 sequences
[M::worker_pipeline::2024.168*49.77] mapped 19763 sequences
[M::worker_pipeline::2039.052*49.82] mapped 19662 sequences
[M::worker_pipeline::2052.444*49.84] mapped 20133 sequences
[M::worker_pipeline::2066.080*49.89] mapped 19228 sequences
[M::worker_pipeline::2079.987*49.95] mapped 19324 sequences
[M::worker_pipeline::2095.643*49.99] mapped 19537 sequences
[M::worker_pipeline::2108.990*50.05] mapped 19407 sequences
[M::worker_pipeline::2120.013*50.09] mapped 19137 sequences
[M::worker_pipeline::2133.448*50.15] mapped 19664 sequences
[M::worker_pipeline::2147.860*50.19] mapped 19499 sequences
[M::worker_pipeline::2160.402*50.24] mapped 19479 sequences
[M::worker_pipeline::2174.171*50.28] mapped 19844 sequences
[M::worker_pipeline::2183.591*50.31] mapped 19939 sequences
[M::worker_pipeline::2193.747*50.35] mapped 19588 sequences
[M::worker_pipeline::2206.924*50.39] mapped 19272 sequences
[M::worker_pipeline::2215.889*50.43] mapped 18872 sequences
[M::worker_pipeline::2540.664*50.80] mapped 18244 sequences
[M::worker_pipeline::2921.674*50.86] mapped 14033 sequences
[M::worker_pipeline::2930.239*50.86] mapped 18980 sequences
[M::worker_pipeline::2944.963*50.90] mapped 18808 sequences
