[M::mm_idx_gen::37.498*1.53] collected minimizers
[M::mm_idx_gen::40.654*2.91] sorted minimizers
[M::main::40.654*2.91] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::41.971*2.85] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::42.614*2.82] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::117.157*27.24] mapped 19292 sequences
[M::worker_pipeline::129.126*29.02] mapped 18947 sequences
[M::worker_pipeline::135.610*30.44] mapped 18851 sequences
[M::worker_pipeline::142.836*31.86] mapped 19055 sequences
[M::worker_pipeline::149.746*33.06] mapped 18759 sequences
[M::worker_pipeline::158.573*34.47] mapped 19059 sequences
[M::worker_pipeline::166.325*35.56] mapped 19016 sequences
[M::worker_pipeline::173.830*36.50] mapped 18730 sequences
[M::worker_pipeline::182.412*37.57] mapped 18737 sequences
[M::worker_pipeline::191.576*38.58] mapped 18472 sequences
[M::worker_pipeline::200.116*39.38] mapped 18537 sequences
[M::worker_pipeline::208.665*40.15] mapped 18729 sequences
[M::worker_pipeline::217.006*40.82] mapped 18725 sequences
[M::worker_pipeline::227.596*41.53] mapped 18245 sequences
[M::worker_pipeline::235.214*42.09] mapped 18622 sequences
[M::worker_pipeline::244.254*42.72] mapped 18774 sequences
[M::worker_pipeline::375.540*46.41] mapped 14988 sequences
[M::worker_pipeline::558.997*48.79] mapped 11556 sequences
[M::worker_pipeline::627.517*48.69] mapped 14040 sequences
[M::worker_pipeline::649.199*48.79] mapped 18386 sequences
[M::worker_pipeline::683.844*47.48] mapped 18791 sequences
[M::worker_pipeline::685.885*47.34] mapped 19012 sequences
[M::worker_pipeline::697.477*47.53] mapped 18920 sequences
[M::worker_pipeline::705.270*47.65] mapped 18918 sequences
[M::worker_pipeline::714.007*47.78] mapped 18308 sequences
[M::worker_pipeline::722.135*47.89] mapped 18029 sequences
[M::worker_pipeline::730.035*48.00] mapped 18461 sequences
[M::worker_pipeline::737.666*48.10] mapped 18776 sequences
[M::worker_pipeline::745.698*48.21] mapped 18899 sequences
[M::worker_pipeline::754.621*48.34] mapped 18845 sequences
[M::worker_pipeline::796.585*47.63] mapped 18919 sequences
[M::worker_pipeline::805.602*47.75] mapped 18863 sequences
[M::worker_pipeline::813.428*47.85] mapped 18777 sequences
[M::worker_pipeline::823.918*47.99] mapped 19500 sequences
[M::worker_pipeline::831.235*48.08] mapped 18872 sequences
[M::worker_pipeline::839.164*48.18] mapped 18859 sequences
[M::worker_pipeline::845.988*48.26] mapped 18978 sequences
[M::worker_pipeline::853.975*48.33] mapped 18616 sequences
[M::worker_pipeline::863.346*48.43] mapped 18246 sequences
[M::worker_pipeline::871.275*48.51] mapped 18774 sequences
[M::worker_pipeline::879.150*48.59] mapped 18342 sequences
[M::worker_pipeline::887.450*48.68] mapped 18635 sequences
[M::worker_pipeline::923.005*47.77] mapped 18697 sequences
[M::worker_pipeline::925.029*47.66] mapped 18761 sequences
[M::worker_pipeline::935.934*47.78] mapped 18679 sequences
[M::worker_pipeline::976.447*47.46] mapped 18956 sequences
[M::worker_pipeline::1083.913*47.88] mapped 17041 sequences
[M::worker_pipeline::1088.787*47.92] mapped 18630 sequences
[M::worker_pipeline::1097.392*48.00] mapped 19115 sequences
[M::worker_pipeline::1106.054*48.08] mapped 18934 sequences
[M::worker_pipeline::1113.971*48.15] mapped 18892 sequences
[M::worker_pipeline::1125.253*48.24] mapped 19268 sequences
[M::worker_pipeline::1133.182*48.31] mapped 18569 sequences
[M::worker_pipeline::1140.114*48.38] mapped 18462 sequences
[M::worker_pipeline::1149.092*48.45] mapped 18550 sequences
[M::worker_pipeline::1157.909*48.52] mapped 18409 sequences
[M::worker_pipeline::1166.754*48.59] mapped 18834 sequences
[M::worker_pipeline::1174.880*48.67] mapped 18940 sequences
[M::worker_pipeline::1182.572*48.73] mapped 18820 sequences
[M::worker_pipeline::1192.350*48.81] mapped 18613 sequences
[M::worker_pipeline::1201.359*48.87] mapped 18200 sequences
[M::worker_pipeline::1209.964*48.94] mapped 18511 sequences
[M::worker_pipeline::1219.137*48.99] mapped 18599 sequences
[M::worker_pipeline::1228.322*49.05] mapped 18748 sequences
[M::worker_pipeline::1263.589*48.31] mapped 19211 sequences
[M::worker_pipeline::1265.557*48.24] mapped 19131 sequences
[M::worker_pipeline::1276.797*48.29] mapped 19041 sequences
[M::worker_pipeline::1285.382*48.36] mapped 18973 sequences
[M::worker_pipeline::1293.437*48.42] mapped 18459 sequences
[M::worker_pipeline::1301.569*48.48] mapped 18890 sequences
[M::worker_pipeline::1311.188*48.55] mapped 18751 sequences
[M::worker_pipeline::1319.639*48.61] mapped 18641 sequences
[M::worker_pipeline::1328.994*48.67] mapped 18957 sequences
[M::worker_pipeline::1338.248*48.74] mapped 18732 sequences
[M::worker_pipeline::1346.068*48.80] mapped 18859 sequences
[M::worker_pipeline::1353.587*48.85] mapped 19111 sequences
[M::worker_pipeline::1360.983*48.91] mapped 19227 sequences
[M::worker_pipeline::1369.476*48.97] mapped 18716 sequences
[M::worker_pipeline::1378.040*49.03] mapped 18523 sequences
[M::worker_pipeline::1386.564*49.08] mapped 18295 sequences
[M::worker_pipeline::1758.905*50.60] mapped 13287 sequences
[M::worker_pipeline::1840.223*49.98] mapped 17901 sequences
[M::worker_pipeline::1848.333*50.01] mapped 18231 sequences
[M::worker_pipeline::1858.031*50.05] mapped 18629 sequences
[M::worker_pipeline::1866.122*50.09] mapped 18385 sequences
[M::worker_pipeline::1874.879*50.13] mapped 18553 sequences
[M::worker_pipeline::1910.855*49.70] mapped 18727 sequences
[M::worker_pipeline::1912.815*49.65] mapped 18885 sequences
[M::worker_pipeline::1924.940*49.70] mapped 18593 sequences
[M::worker_pipeline::1934.393*49.74] mapped 18729 sequences
