[M::mm_idx_gen::72.859*1.53] collected minimizers
[M::mm_idx_gen::77.892*2.42] sorted minimizers
[M::main::77.892*2.42] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::80.123*2.38] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::81.241*2.36] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::234.754*27.39] mapped 28587 sequences
[M::worker_pipeline::247.581*28.88] mapped 28713 sequences
[M::worker_pipeline::266.418*30.94] mapped 28662 sequences
[M::worker_pipeline::278.838*32.02] mapped 29490 sequences
[M::worker_pipeline::294.194*33.38] mapped 28226 sequences
[M::worker_pipeline::308.907*34.53] mapped 28242 sequences
[M::worker_pipeline::327.255*35.61] mapped 28689 sequences
[M::worker_pipeline::342.821*36.44] mapped 28014 sequences
[M::worker_pipeline::356.501*37.21] mapped 28175 sequences
[M::worker_pipeline::373.356*38.11] mapped 27685 sequences
[M::worker_pipeline::390.708*38.97] mapped 27333 sequences
[M::worker_pipeline::408.337*39.79] mapped 27547 sequences
[M::worker_pipeline::425.447*40.36] mapped 27707 sequences
[M::worker_pipeline::440.608*40.91] mapped 28021 sequences
[M::worker_pipeline::460.936*41.53] mapped 26874 sequences
[M::worker_pipeline::477.638*41.83] mapped 27279 sequences
[M::worker_pipeline::495.938*42.38] mapped 28174 sequences
[M::worker_pipeline::604.713*43.52] mapped 27227 sequences
[M::worker_pipeline::871.745*45.51] mapped 17534 sequences
[M::worker_pipeline::1295.308*48.56] mapped 21911 sequences
[M::worker_pipeline::1310.143*48.44] mapped 23171 sequences
[M::worker_pipeline::1390.889*48.80] mapped 27244 sequences
[M::worker_pipeline::1399.312*48.75] mapped 28208 sequences
[M::worker_pipeline::1416.880*48.85] mapped 27954 sequences
[M::worker_pipeline::1431.059*48.94] mapped 28433 sequences
[M::worker_pipeline::1447.634*49.05] mapped 28672 sequences
[M::worker_pipeline::1463.426*49.13] mapped 28072 sequences
[M::worker_pipeline::1480.951*49.23] mapped 26861 sequences
[M::worker_pipeline::1496.868*49.32] mapped 26465 sequences
[M::worker_pipeline::1512.475*49.35] mapped 27750 sequences
[M::worker_pipeline::1528.588*49.43] mapped 28296 sequences
[M::worker_pipeline::1546.133*49.51] mapped 27971 sequences
[M::worker_pipeline::1563.492*49.56] mapped 27898 sequences
[M::worker_pipeline::1654.777*48.65] mapped 28575 sequences
[M::worker_pipeline::1672.771*48.74] mapped 27914 sequences
[M::worker_pipeline::1687.474*48.82] mapped 27571 sequences
[M::worker_pipeline::1706.807*48.91] mapped 28911 sequences
[M::worker_pipeline::1722.906*48.99] mapped 27534 sequences
[M::worker_pipeline::1737.499*49.06] mapped 28000 sequences
[M::worker_pipeline::1826.119*47.36] mapped 28272 sequences
[M::worker_pipeline::1831.618*47.22] mapped 28240 sequences
[M::worker_pipeline::1854.836*47.33] mapped 27101 sequences
[M::worker_pipeline::1870.256*47.42] mapped 27284 sequences
[M::worker_pipeline::1885.723*47.50] mapped 28100 sequences
[M::worker_pipeline::1902.164*47.56] mapped 27367 sequences
[M::worker_pipeline::1919.551*47.64] mapped 27893 sequences
[M::worker_pipeline::1937.347*47.71] mapped 27837 sequences
[M::worker_pipeline::1953.626*47.79] mapped 27785 sequences
[M::worker_pipeline::1970.064*47.87] mapped 27577 sequences
[M::worker_pipeline::2017.097*47.59] mapped 27137 sequences
[M::worker_pipeline::2266.964*48.47] mapped 26750 sequences
[M::worker_pipeline::2284.423*48.52] mapped 26502 sequences
[M::worker_pipeline::2298.237*48.57] mapped 28106 sequences
[M::worker_pipeline::2318.772*48.65] mapped 27094 sequences
[M::worker_pipeline::2359.035*48.16] mapped 28304 sequences
[M::worker_pipeline::2386.330*48.07] mapped 27622 sequences
[M::worker_pipeline::2408.848*48.14] mapped 28807 sequences
[M::worker_pipeline::2423.864*48.19] mapped 27489 sequences
[M::worker_pipeline::2437.997*48.24] mapped 27013 sequences
[M::worker_pipeline::2528.662*47.14] mapped 27609 sequences
[M::worker_pipeline::2534.484*47.03] mapped 27627 sequences
[M::worker_pipeline::2556.605*47.09] mapped 27126 sequences
[M::worker_pipeline::2573.208*47.15] mapped 28394 sequences
[M::worker_pipeline::2587.056*47.19] mapped 28424 sequences
[M::worker_pipeline::2606.185*47.26] mapped 27274 sequences
[M::worker_pipeline::2622.002*47.32] mapped 27686 sequences
[M::worker_pipeline::2636.605*47.38] mapped 26978 sequences
[M::worker_pipeline::2650.154*47.43] mapped 27681 sequences
[M::worker_pipeline::2664.568*47.49] mapped 27640 sequences
[M::worker_pipeline::2678.136*47.54] mapped 27895 sequences
[M::worker_pipeline::2690.445*47.59] mapped 28405 sequences
[M::worker_pipeline::2702.267*47.63] mapped 28322 sequences
[M::worker_pipeline::2719.363*47.64] mapped 27944 sequences
[M::worker_pipeline::2734.345*47.70] mapped 28198 sequences
[M::worker_pipeline::2747.340*47.74] mapped 27747 sequences
[M::worker_pipeline::2759.109*47.78] mapped 28398 sequences
[M::worker_pipeline::2774.841*47.83] mapped 27779 sequences
[M::worker_pipeline::2788.385*47.88] mapped 27592 sequences
[M::worker_pipeline::2802.054*47.92] mapped 27969 sequences
[M::worker_pipeline::2818.899*47.98] mapped 28352 sequences
[M::worker_pipeline::2909.527*46.94] mapped 27808 sequences
[M::worker_pipeline::2914.932*46.85] mapped 28900 sequences
[M::worker_pipeline::2937.138*46.91] mapped 28483 sequences
[M::worker_pipeline::2950.427*46.95] mapped 28550 sequences
[M::worker_pipeline::2966.990*47.01] mapped 27647 sequences
[M::worker_pipeline::2983.310*47.06] mapped 27288 sequences
[M::worker_pipeline::3001.071*47.12] mapped 26775 sequences
[M::worker_pipeline::3740.267*49.21] mapped 25692 sequences
[M::worker_pipeline::4053.939*49.04] mapped 27180 sequences
[M::worker_pipeline::4061.201*48.97] mapped 27139 sequences
[M::worker_pipeline::4082.320*49.02] mapped 27214 sequences
[M::worker_pipeline::4100.468*49.06] mapped 27522 sequences
[M::worker_pipeline::4116.689*49.09] mapped 27187 sequences
[M::worker_pipeline::4132.850*49.11] mapped 28305 sequences
[M::worker_pipeline::4151.415*49.15] mapped 28053 sequences
[M::worker_pipeline::4167.698*49.17] mapped 28387 sequences
[M::worker_pipeline::4188.102*49.21] mapped 27422 sequences
[M::worker_pipeline::4206.687*49.25] mapped 27711 sequences
[M::worker_pipeline::4222.615*49.28] mapped 27886 sequences
[M::worker_pipeline::4241.886*49.32] mapped 26667 sequences
[M::worker_pipeline::4257.379*49.35] mapped 27429 sequences
[M::worker_pipeline::4351.168*48.64] mapped 27174 sequences
[M::worker_pipeline::4356.552*48.58] mapped 27795 sequences
[M::worker_pipeline::4382.655*48.62] mapped 27232 sequences
[M::worker_pipeline::4464.365*48.38] mapped 27600 sequences
[M::worker_pipeline::4482.927*48.41] mapped 28925 sequences
[M::worker_pipeline::4520.431*48.42] mapped 27699 sequences
[M::worker_pipeline::4534.867*48.45] mapped 27443 sequences
[M::worker_pipeline::4552.286*48.48] mapped 27975 sequences
[M::worker_pipeline::4567.533*48.50] mapped 26709 sequences
[M::worker_pipeline::4585.027*48.52] mapped 26503 sequences
[M::worker_pipeline::4699.987*47.57] mapped 27456 sequences
[M::worker_pipeline::5010.821*47.77] mapped 27062 sequences
[M::worker_pipeline::5124.417*47.93] mapped 26788 sequences
[M::worker_pipeline::5136.250*47.94] mapped 26999 sequences
[M::worker_pipeline::5153.131*47.97] mapped 27176 sequences
[M::worker_pipeline::5170.267*48.01] mapped 27105 sequences
[M::worker_pipeline::5186.363*48.03] mapped 27766 sequences
[M::worker_pipeline::5202.154*48.06] mapped 28081 sequences
[M::worker_pipeline::5221.026*48.10] mapped 27474 sequences
[M::worker_pipeline::5242.610*48.13] mapped 26955 sequences
[M::worker_pipeline::5332.450*47.63] mapped 27678 sequences
[M::worker_pipeline::5338.177*47.58] mapped 28315 sequences
[M::worker_pipeline::5363.988*47.61] mapped 27530 sequences
[M::worker_pipeline::5381.445*47.64] mapped 27459 sequences
[M::worker_pipeline::5401.850*47.67] mapped 26919 sequences
[M::worker_pipeline::5424.182*47.71] mapped 26834 sequences
[M::worker_pipeline::5440.134*47.74] mapped 27133 sequences
[M::worker_pipeline::5457.687*47.77] mapped 27957 sequences
[M::worker_pipeline::5475.061*47.80] mapped 27916 sequences
[M::worker_pipeline::5492.073*47.82] mapped 27617 sequences
[M::worker_pipeline::5515.183*47.86] mapped 27253 sequences
[M::worker_pipeline::5534.065*47.90] mapped 27022 sequences
[M::worker_pipeline::5549.369*47.92] mapped 28000 sequences
[M::worker_pipeline::5564.683*47.95] mapped 27769 sequences
[M::worker_pipeline::5609.269*48.00] mapped 28014 sequences
[M::worker_pipeline::5646.550*47.91] mapped 26542 sequences
[M::worker_pipeline::5660.840*47.93] mapped 28227 sequences
[M::worker_pipeline::5685.813*47.97] mapped 26956 sequences
