[M::mm_idx_gen::62.589*1.37] collected minimizers
[M::mm_idx_gen::66.411*2.68] sorted minimizers
[M::main::66.411*2.68] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::68.425*2.63] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::69.470*2.60] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::171.291*26.56] mapped 7819 sequences
[M::worker_pipeline::185.523*28.88] mapped 7708 sequences
[M::worker_pipeline::195.792*30.45] mapped 7496 sequences
[M::worker_pipeline::206.782*31.95] mapped 7483 sequences
[M::worker_pipeline::219.411*33.43] mapped 7361 sequences
[M::worker_pipeline::232.321*34.74] mapped 6968 sequences
[M::worker_pipeline::248.025*36.22] mapped 6878 sequences
[M::worker_pipeline::260.941*37.30] mapped 6972 sequences
[M::worker_pipeline::273.874*38.29] mapped 6983 sequences
[M::worker_pipeline::289.966*39.26] mapped 6681 sequences
[M::worker_pipeline::299.527*39.83] mapped 7251 sequences
[M::worker_pipeline::464.482*43.96] mapped 7103 sequences
[M::worker_pipeline::695.913*48.99] mapped 7047 sequences
[M::worker_pipeline::766.870*49.61] mapped 7141 sequences
[M::worker_pipeline::771.723*49.49] mapped 7347 sequences
[M::worker_pipeline::788.975*49.65] mapped 7316 sequences
[M::worker_pipeline::803.232*49.79] mapped 7223 sequences
[M::worker_pipeline::816.896*49.92] mapped 6672 sequences
[M::worker_pipeline::831.632*50.06] mapped 6558 sequences
[M::worker_pipeline::843.817*50.17] mapped 7372 sequences
[M::worker_pipeline::910.015*49.48] mapped 6950 sequences
[M::worker_pipeline::919.667*49.02] mapped 7475 sequences
[M::worker_pipeline::937.849*49.21] mapped 7197 sequences
[M::worker_pipeline::951.663*49.34] mapped 7476 sequences
[M::worker_pipeline::963.960*49.45] mapped 7184 sequences
[M::worker_pipeline::975.374*49.56] mapped 7307 sequences
[M::worker_pipeline::987.309*49.66] mapped 7178 sequences
[M::worker_pipeline::1000.094*49.77] mapped 7035 sequences
[M::worker_pipeline::1011.589*49.86] mapped 7070 sequences
[M::worker_pipeline::1026.530*49.95] mapped 6999 sequences
[M::worker_pipeline::1038.914*50.05] mapped 7248 sequences
[M::worker_pipeline::1051.797*50.14] mapped 6908 sequences
[M::worker_pipeline::1228.592*50.77] mapped 7265 sequences
[M::worker_pipeline::1235.941*50.68] mapped 7232 sequences
[M::worker_pipeline::1251.059*50.73] mapped 7148 sequences
[M::worker_pipeline::1263.073*50.81] mapped 7192 sequences
[M::worker_pipeline::1274.128*50.87] mapped 7268 sequences
[M::worker_pipeline::1283.842*50.92] mapped 6784 sequences
[M::worker_pipeline::1300.500*51.02] mapped 6869 sequences
[M::worker_pipeline::1312.680*51.08] mapped 6828 sequences
[M::worker_pipeline::1325.556*51.16] mapped 7168 sequences
[M::worker_pipeline::1338.579*51.22] mapped 6872 sequences
[M::worker_pipeline::1407.533*49.66] mapped 6672 sequences
[M::worker_pipeline::1409.734*49.58] mapped 7131 sequences
[M::worker_pipeline::1433.744*49.56] mapped 6833 sequences
[M::worker_pipeline::1443.899*49.62] mapped 7434 sequences
[M::worker_pipeline::1457.617*49.62] mapped 7371 sequences
[M::worker_pipeline::1470.766*49.69] mapped 7382 sequences
[M::worker_pipeline::1479.268*49.71] mapped 7312 sequences
[M::worker_pipeline::1492.165*49.78] mapped 6956 sequences
[M::worker_pipeline::1504.804*49.85] mapped 7039 sequences
[M::worker_pipeline::1516.579*49.92] mapped 7310 sequences
[M::worker_pipeline::1527.259*49.94] mapped 7437 sequences
[M::worker_pipeline::1542.364*50.02] mapped 7291 sequences
[M::worker_pipeline::1554.606*50.08] mapped 7030 sequences
[M::worker_pipeline::1563.885*50.13] mapped 6700 sequences
[M::worker_pipeline::2121.207*51.21] mapped 6173 sequences
[M::worker_pipeline::2127.592*51.17] mapped 6787 sequences
[M::worker_pipeline::2141.064*51.20] mapped 6907 sequences
[M::worker_pipeline::2155.088*51.25] mapped 6869 sequences
[M::worker_pipeline::2170.765*51.30] mapped 7366 sequences
[M::worker_pipeline::2182.677*51.34] mapped 7315 sequences
[M::worker_pipeline::2195.498*51.34] mapped 6863 sequences
[M::worker_pipeline::2212.646*51.40] mapped 6918 sequences
[M::worker_pipeline::2273.589*50.51] mapped 6860 sequences
[M::worker_pipeline::2276.014*50.46] mapped 6781 sequences
[M::worker_pipeline::2293.079*50.40] mapped 6996 sequences
[M::worker_pipeline::2328.091*50.36] mapped 7595 sequences
[M::worker_pipeline::2351.420*50.32] mapped 7497 sequences
[M::worker_pipeline::2361.759*50.35] mapped 7026 sequences
[M::worker_pipeline::2371.765*50.38] mapped 6689 sequences
[M::worker_pipeline::2385.046*50.40] mapped 6955 sequences
[M::worker_pipeline::2597.105*50.91] mapped 6629 sequences
[M::worker_pipeline::2604.172*50.90] mapped 6864 sequences
[M::worker_pipeline::2618.649*50.94] mapped 6628 sequences
[M::worker_pipeline::2632.013*50.98] mapped 7078 sequences
[M::worker_pipeline::2643.330*51.01] mapped 7070 sequences
[M::worker_pipeline::2654.723*51.04] mapped 6741 sequences
[M::worker_pipeline::2669.169*51.08] mapped 6809 sequences
[M::worker_pipeline::2682.825*51.11] mapped 6805 sequences
[M::worker_pipeline::2694.670*51.14] mapped 6796 sequences
[M::worker_pipeline::2707.266*51.18] mapped 6562 sequences
[M::worker_pipeline::2718.063*51.21] mapped 7086 sequences
[M::worker_pipeline::2732.147*51.24] mapped 6946 sequences
[M::worker_pipeline::2749.460*51.28] mapped 6846 sequences
[M::worker_pipeline::2760.326*51.30] mapped 6811 sequences
[M::worker_pipeline::2776.069*51.29] mapped 7132 sequences
[M::worker_pipeline::2849.891*50.70] mapped 7361 sequences
[M::worker_pipeline::2854.412*50.62] mapped 7266 sequences
[M::worker_pipeline::2878.010*50.63] mapped 6590 sequences
[M::worker_pipeline::2891.910*50.67] mapped 6843 sequences
[M::worker_pipeline::2926.848*50.60] mapped 6984 sequences
[M::worker_pipeline::3200.884*50.28] mapped 6916 sequences
[M::worker_pipeline::3206.801*50.25] mapped 7084 sequences
[M::worker_pipeline::3227.397*50.31] mapped 7228 sequences
[M::worker_pipeline::3239.731*50.34] mapped 6949 sequences
[M::worker_pipeline::3251.097*50.36] mapped 6814 sequences
[M::worker_pipeline::3262.899*50.39] mapped 6766 sequences
[M::worker_pipeline::3276.754*50.41] mapped 6799 sequences
[M::worker_pipeline::3295.840*50.46] mapped 6924 sequences
[M::worker_pipeline::3312.235*50.50] mapped 7046 sequences
[M::worker_pipeline::3323.633*50.52] mapped 7376 sequences
[M::worker_pipeline::3333.831*50.55] mapped 7196 sequences
[M::worker_pipeline::3346.447*50.58] mapped 7172 sequences
[M::worker_pipeline::3356.614*50.60] mapped 7253 sequences
[M::worker_pipeline::3371.334*50.64] mapped 7544 sequences
[M::worker_pipeline::3382.950*50.66] mapped 7143 sequences
[M::worker_pipeline::3392.455*50.69] mapped 7026 sequences
[M::worker_pipeline::3405.365*50.71] mapped 7408 sequences
[M::worker_pipeline::3457.379*50.25] mapped 7359 sequences
[M::worker_pipeline::3459.436*50.22] mapped 6983 sequences
