[M::mm_idx_gen::57.738*1.23] collected minimizers
[M::mm_idx_gen::61.104*2.01] sorted minimizers
[M::main::61.104*2.01] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::62.501*1.98] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::63.180*1.97] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::182.458*32.08] mapped 4577 sequences
[M::worker_pipeline::200.776*33.09] mapped 4569 sequences
[M::worker_pipeline::210.522*34.22] mapped 4520 sequences
[M::worker_pipeline::220.388*35.18] mapped 4556 sequences
[M::worker_pipeline::232.070*36.04] mapped 4525 sequences
[M::worker_pipeline::242.464*36.96] mapped 4557 sequences
[M::worker_pipeline::254.692*37.98] mapped 4544 sequences
[M::worker_pipeline::266.789*38.46] mapped 4522 sequences
[M::worker_pipeline::276.883*39.18] mapped 4518 sequences
[M::worker_pipeline::289.575*39.95] mapped 4490 sequences
[M::worker_pipeline::301.124*40.64] mapped 4487 sequences
[M::worker_pipeline::312.409*41.30] mapped 4552 sequences
[M::worker_pipeline::324.202*41.91] mapped 4514 sequences
[M::worker_pipeline::335.325*42.42] mapped 4560 sequences
[M::worker_pipeline::350.282*43.00] mapped 4512 sequences
[M::worker_pipeline::359.879*43.39] mapped 4501 sequences
[M::worker_pipeline::370.844*43.82] mapped 4503 sequences
[M::worker_pipeline::435.823*45.95] mapped 4560 sequences
[M::worker_pipeline::858.933*52.17] mapped 4622 sequences
[M::worker_pipeline::1007.007*52.42] mapped 4829 sequences
[M::worker_pipeline::1020.609*52.10] mapped 4660 sequences
[M::worker_pipeline::1049.746*52.25] mapped 4464 sequences
[M::worker_pipeline::1057.898*52.29] mapped 4539 sequences
[M::worker_pipeline::1068.675*52.34] mapped 4528 sequences
[M::worker_pipeline::1079.200*52.39] mapped 4519 sequences
[M::worker_pipeline::1089.800*52.44] mapped 4481 sequences
[M::worker_pipeline::1099.387*52.49] mapped 4491 sequences
[M::worker_pipeline::1109.769*52.54] mapped 4530 sequences
[M::worker_pipeline::1120.072*52.59] mapped 4503 sequences
[M::worker_pipeline::1128.031*52.63] mapped 4511 sequences
[M::worker_pipeline::1137.690*52.67] mapped 4536 sequences
[M::worker_pipeline::1147.250*52.72] mapped 4553 sequences
[M::worker_pipeline::1158.072*52.77] mapped 4544 sequences
[M::worker_pipeline::1212.395*52.14] mapped 4570 sequences
[M::worker_pipeline::1222.392*52.19] mapped 4568 sequences
