[M::mm_idx_gen::36.561*1.55] collected minimizers
[M::mm_idx_gen::41.074*4.04] sorted minimizers
[M::main::41.074*4.04] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::42.337*3.95] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::42.978*3.90] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::119.196*19.15] mapped 10435 sequences
[M::worker_pipeline::249.130*16.16] mapped 11068 sequences
[M::worker_pipeline::323.522*16.94] mapped 10704 sequences
[M::worker_pipeline::387.180*19.08] mapped 10631 sequences
[M::worker_pipeline::431.711*20.87] mapped 10409 sequences
[M::worker_pipeline::495.639*21.28] mapped 11266 sequences
[M::worker_pipeline::538.878*22.10] mapped 11669 sequences
[M::worker_pipeline::641.616*21.22] mapped 11724 sequences
[M::worker_pipeline::698.984*21.50] mapped 10686 sequences
[M::worker_pipeline::742.479*22.06] mapped 11439 sequences
[M::worker_pipeline::833.034*21.78] mapped 12059 sequences
[M::worker_pipeline::922.595*21.44] mapped 14558 sequences
[M::worker_pipeline::980.652*21.82] mapped 12165 sequences
[M::worker_pipeline::1081.239*21.25] mapped 11507 sequences
[M::worker_pipeline::1153.732*21.20] mapped 12583 sequences
[M::worker_pipeline::1219.136*21.45] mapped 11778 sequences
[M::worker_pipeline::1285.540*21.66] mapped 12194 sequences
[M::worker_pipeline::1341.860*21.72] mapped 11642 sequences
[M::worker_pipeline::1448.744*22.08] mapped 11317 sequences
[M::worker_pipeline::1458.700*22.16] mapped 11826 sequences
[M::worker_pipeline::1554.717*21.88] mapped 13893 sequences
[M::worker_pipeline::1613.305*21.99] mapped 11875 sequences
[M::worker_pipeline::1730.079*21.36] mapped 11474 sequences
[M::worker_pipeline::1797.308*21.44] mapped 13096 sequences
[M::worker_pipeline::1846.362*21.64] mapped 11878 sequences
[M::worker_pipeline::1918.966*21.55] mapped 11674 sequences
[M::worker_pipeline::1954.027*21.74] mapped 10895 sequences
[M::worker_pipeline::2025.297*21.72] mapped 10118 sequences
[M::worker_pipeline::2070.023*21.89] mapped 12428 sequences
[M::worker_pipeline::2118.733*21.99] mapped 10928 sequences
[M::worker_pipeline::2169.293*22.17] mapped 14057 sequences
[M::worker_pipeline::2222.920*22.20] mapped 11137 sequences
[M::worker_pipeline::2317.626*21.95] mapped 12106 sequences
[M::worker_pipeline::2377.891*21.94] mapped 10844 sequences
[M::worker_pipeline::2430.622*22.04] mapped 11051 sequences
[M::worker_pipeline::2475.277*22.18] mapped 11024 sequences
[M::worker_pipeline::2570.507*22.32] mapped 10121 sequences
[M::worker_pipeline::2578.617*22.35] mapped 10016 sequences
[M::worker_pipeline::2641.889*22.32] mapped 9999 sequences
[M::worker_pipeline::2699.341*22.43] mapped 11510 sequences
[M::worker_pipeline::2753.041*22.53] mapped 11700 sequences
[M::worker_pipeline::2861.197*22.18] mapped 12400 sequences
[M::worker_pipeline::2927.082*22.16] mapped 12049 sequences
[M::worker_pipeline::2971.668*22.24] mapped 10918 sequences
[M::worker_pipeline::3017.320*22.36] mapped 12032 sequences
[M::worker_pipeline::3063.634*22.46] mapped 11637 sequences
[M::worker_pipeline::3103.526*22.58] mapped 9774 sequences
[M::worker_pipeline::3160.299*22.66] mapped 10117 sequences
[M::worker_pipeline::3227.108*22.65] mapped 10117 sequences
[M::worker_pipeline::3273.330*22.71] mapped 10637 sequences
[M::worker_pipeline::3335.858*22.69] mapped 11162 sequences
[M::worker_pipeline::3379.366*22.82] mapped 11986 sequences
[M::worker_pipeline::3423.482*22.89] mapped 11254 sequences
[M::worker_pipeline::3477.376*22.94] mapped 12105 sequences
[M::worker_pipeline::3535.312*23.02] mapped 10109 sequences
[M::worker_pipeline::3636.350*23.03] mapped 14155 sequences
[M::worker_pipeline::3654.145*22.99] mapped 12517 sequences
[M::worker_pipeline::3699.774*23.05] mapped 10859 sequences
[M::worker_pipeline::3789.529*22.91] mapped 11814 sequences
[M::worker_pipeline::3844.180*22.94] mapped 13641 sequences
[M::worker_pipeline::3887.311*23.02] mapped 9425 sequences
[M::worker_pipeline::3970.900*22.92] mapped 14650 sequences
[M::worker_pipeline::4043.905*22.92] mapped 12149 sequences
[M::worker_pipeline::4115.866*22.86] mapped 11147 sequences
[M::worker_pipeline::4188.992*22.81] mapped 11239 sequences
[M::worker_pipeline::4286.777*22.64] mapped 11922 sequences
[M::worker_pipeline::4387.132*22.50] mapped 12344 sequences
[M::worker_pipeline::4485.126*22.34] mapped 10751 sequences
[M::worker_pipeline::4552.336*22.32] mapped 12054 sequences
[M::worker_pipeline::4623.015*22.30] mapped 13166 sequences
[M::worker_pipeline::4677.194*22.31] mapped 11347 sequences
[M::worker_pipeline::4777.233*22.13] mapped 13303 sequences
[M::worker_pipeline::4820.175*22.23] mapped 10823 sequences
[M::worker_pipeline::4921.266*22.27] mapped 10828 sequences
[M::worker_pipeline::4925.520*22.25] mapped 12976 sequences
[M::worker_pipeline::4969.385*22.34] mapped 13257 sequences
[M::worker_pipeline::5022.437*22.39] mapped 12656 sequences
[M::worker_pipeline::5082.891*22.39] mapped 13621 sequences
[M::worker_pipeline::5131.448*22.45] mapped 12945 sequences
[M::worker_pipeline::5222.968*22.33] mapped 11245 sequences
[M::worker_pipeline::5287.635*22.33] mapped 12611 sequences
[M::worker_pipeline::5352.951*22.37] mapped 12194 sequences
[M::worker_pipeline::5424.148*22.35] mapped 11575 sequences
[M::worker_pipeline::5489.533*22.33] mapped 14563 sequences
[M::worker_pipeline::5562.104*22.29] mapped 11474 sequences
[M::worker_pipeline::5650.645*22.26] mapped 12472 sequences
