[M::mm_idx_gen::37.891*1.53] collected minimizers
[M::mm_idx_gen::40.427*2.60] sorted minimizers
[M::main::40.427*2.60] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::41.740*2.55] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::42.408*2.53] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::141.776*13.48] mapped 4083 sequences
[M::worker_pipeline::387.148*9.19] mapped 3600 sequences
[M::worker_pipeline::468.187*10.66] mapped 3497 sequences
[M::worker_pipeline::528.206*12.02] mapped 3431 sequences
[M::worker_pipeline::613.995*12.69] mapped 3374 sequences
[M::worker_pipeline::685.225*13.24] mapped 3416 sequences
[M::worker_pipeline::820.374*13.32] mapped 3452 sequences
[M::worker_pipeline::897.334*13.80] mapped 3479 sequences
[M::worker_pipeline::1051.197*13.80] mapped 3809 sequences
[M::worker_pipeline::1287.570*12.56] mapped 3966 sequences
[M::worker_pipeline::1434.115*12.67] mapped 4013 sequences
[M::worker_pipeline::1497.785*13.30] mapped 4157 sequences
[M::worker_pipeline::1591.516*13.54] mapped 3781 sequences
[M::worker_pipeline::1755.615*13.41] mapped 3697 sequences
[M::worker_pipeline::1815.088*13.75] mapped 3605 sequences
[M::worker_pipeline::1942.224*13.67] mapped 3520 sequences
[M::worker_pipeline::2023.977*13.93] mapped 3468 sequences
[M::worker_pipeline::2176.849*13.65] mapped 3562 sequences
[M::worker_pipeline::2273.541*13.81] mapped 3666 sequences
[M::worker_pipeline::2395.508*13.78] mapped 3762 sequences
[M::worker_pipeline::2478.737*13.98] mapped 4017 sequences
[M::worker_pipeline::2579.230*14.52] mapped 4116 sequences
[M::worker_pipeline::2615.527*14.44] mapped 4287 sequences
[M::worker_pipeline::2822.645*14.15] mapped 3977 sequences
[M::worker_pipeline::2892.836*14.33] mapped 3660 sequences
[M::worker_pipeline::2969.188*14.51] mapped 3619 sequences
[M::worker_pipeline::3033.399*14.69] mapped 3474 sequences
[M::worker_pipeline::3103.098*14.88] mapped 3409 sequences
[M::worker_pipeline::3190.785*14.94] mapped 3440 sequences
[M::worker_pipeline::3277.818*15.00] mapped 3429 sequences
[M::worker_pipeline::3344.823*15.08] mapped 3535 sequences
[M::worker_pipeline::3409.224*15.28] mapped 3791 sequences
[M::worker_pipeline::3490.465*15.35] mapped 3945 sequences
[M::worker_pipeline::3557.919*15.44] mapped 4060 sequences
[M::worker_pipeline::3611.794*15.70] mapped 4331 sequences
[M::worker_pipeline::3663.253*15.83] mapped 4176 sequences
[M::worker_pipeline::3759.417*15.90] mapped 3603 sequences
[M::worker_pipeline::3830.489*16.08] mapped 3487 sequences
[M::worker_pipeline::3907.739*16.17] mapped 3497 sequences
[M::worker_pipeline::3988.420*16.22] mapped 3621 sequences
[M::worker_pipeline::4050.066*16.37] mapped 3929 sequences
[M::worker_pipeline::4230.375*16.10] mapped 4093 sequences
[M::worker_pipeline::4329.553*16.13] mapped 4710 sequences
[M::worker_pipeline::4411.027*16.43] mapped 3716 sequences
[M::worker_pipeline::4466.345*16.33] mapped 3712 sequences
[M::worker_pipeline::4567.496*16.30] mapped 3575 sequences
[M::worker_pipeline::4630.860*16.37] mapped 3484 sequences
[M::worker_pipeline::4717.848*16.44] mapped 3428 sequences
[M::worker_pipeline::4787.664*16.58] mapped 3479 sequences
[M::worker_pipeline::4873.935*16.64] mapped 3619 sequences
[M::worker_pipeline::4978.031*16.65] mapped 3860 sequences
[M::worker_pipeline::5040.470*16.71] mapped 4020 sequences
[M::worker_pipeline::5136.560*16.82] mapped 3982 sequences
[M::worker_pipeline::5224.790*16.89] mapped 3949 sequences
[M::worker_pipeline::5319.073*16.92] mapped 3622 sequences
[M::worker_pipeline::5428.961*16.91] mapped 3538 sequences
[M::worker_pipeline::5631.821*16.63] mapped 3466 sequences
[M::worker_pipeline::5693.387*16.73] mapped 3360 sequences
[M::worker_pipeline::5792.954*16.70] mapped 3336 sequences
[M::worker_pipeline::5913.063*16.62] mapped 3385 sequences
[M::worker_pipeline::6034.992*16.56] mapped 3411 sequences
[M::worker_pipeline::6098.550*16.66] mapped 3476 sequences
[M::worker_pipeline::6257.981*16.49] mapped 3766 sequences
[M::worker_pipeline::6340.741*16.50] mapped 3874 sequences
[M::worker_pipeline::6449.543*16.52] mapped 3981 sequences
[M::worker_pipeline::6637.780*16.53] mapped 4132 sequences
[M::worker_pipeline::6700.843*16.45] mapped 4003 sequences
[M::worker_pipeline::6796.667*16.45] mapped 3574 sequences
[M::worker_pipeline::6926.896*16.44] mapped 3516 sequences
[M::worker_pipeline::7046.469*16.42] mapped 3303 sequences
[M::worker_pipeline::7157.867*16.41] mapped 3307 sequences
[M::worker_pipeline::7286.454*16.38] mapped 3327 sequences
[M::worker_pipeline::7373.080*16.42] mapped 3415 sequences
[M::worker_pipeline::7500.471*16.40] mapped 3440 sequences
[M::worker_pipeline::7544.425*16.50] mapped 3571 sequences
[M::worker_pipeline::7608.798*16.58] mapped 3814 sequences
[M::worker_pipeline::7729.231*16.55] mapped 3849 sequences
[M::worker_pipeline::7801.790*16.60] mapped 3976 sequences
[M::worker_pipeline::7901.106*16.64] mapped 4166 sequences
[M::worker_pipeline::8019.323*16.58] mapped 3604 sequences
[M::worker_pipeline::8096.502*16.65] mapped 3571 sequences
[M::worker_pipeline::8258.519*16.55] mapped 3400 sequences
[M::worker_pipeline::8380.374*16.49] mapped 3258 sequences
[M::worker_pipeline::8436.084*16.54] mapped 3302 sequences
[M::worker_pipeline::8545.831*16.56] mapped 3314 sequences
[M::worker_pipeline::8596.516*16.63] mapped 3350 sequences
[M::worker_pipeline::8713.665*16.71] mapped 3456 sequences
[M::worker_pipeline::8767.226*16.64] mapped 3683 sequences
[M::worker_pipeline::8868.390*16.64] mapped 3833 sequences
[M::worker_pipeline::8946.702*16.67] mapped 3943 sequences
[M::worker_pipeline::9137.683*16.52] mapped 4036 sequences
[M::worker_pipeline::9215.501*16.56] mapped 4685 sequences
[M::worker_pipeline::9276.662*16.63] mapped 4769 sequences
[M::worker_pipeline::9354.131*16.70] mapped 4073 sequences
[M::worker_pipeline::9444.818*16.71] mapped 4111 sequences
[M::worker_pipeline::9511.372*16.76] mapped 3899 sequences
[M::worker_pipeline::9585.925*16.76] mapped 3927 sequences
[M::worker_pipeline::9651.290*16.80] mapped 3896 sequences
[M::worker_pipeline::9763.232*16.75] mapped 3889 sequences
[M::worker_pipeline::9854.651*16.76] mapped 4104 sequences
[M::worker_pipeline::9924.396*16.86] mapped 4407 sequences
[M::worker_pipeline::9995.241*16.91] mapped 4465 sequences
[M::worker_pipeline::10056.835*16.98] mapped 4893 sequences
[M::worker_pipeline::10207.766*16.96] mapped 4645 sequences
[M::worker_pipeline::10278.980*17.01] mapped 4132 sequences
[M::worker_pipeline::10336.179*17.07] mapped 3816 sequences
[M::worker_pipeline::10399.080*17.13] mapped 3773 sequences
[M::worker_pipeline::10457.108*17.20] mapped 3816 sequences
[M::worker_pipeline::10564.031*17.27] mapped 3764 sequences
[M::worker_pipeline::10577.448*17.27] mapped 3816 sequences
[M::worker_pipeline::10662.914*17.27] mapped 3952 sequences
[M::worker_pipeline::10785.948*17.27] mapped 4102 sequences
[M::worker_pipeline::10865.071*17.27] mapped 4092 sequences
[M::worker_pipeline::10911.711*17.31] mapped 4276 sequences
[M::worker_pipeline::10994.705*17.33] mapped 4084 sequences
[M::worker_pipeline::11066.683*17.39] mapped 4036 sequences
[M::worker_pipeline::11173.603*17.37] mapped 3796 sequences
[M::worker_pipeline::11263.172*17.38] mapped 3893 sequences
[M::worker_pipeline::11322.377*17.43] mapped 3834 sequences
[M::worker_pipeline::11405.502*17.43] mapped 3825 sequences
[M::worker_pipeline::11484.196*17.45] mapped 3876 sequences
[M::worker_pipeline::11544.004*17.48] mapped 4200 sequences
[M::worker_pipeline::11605.589*17.53] mapped 4402 sequences
[M::worker_pipeline::11668.663*17.57] mapped 4659 sequences
[M::worker_pipeline::11764.354*17.58] mapped 4197 sequences
[M::worker_pipeline::11837.381*17.61] mapped 4280 sequences
[M::worker_pipeline::11936.214*17.62] mapped 5191 sequences
[M::worker_pipeline::12005.059*17.66] mapped 5103 sequences
[M::worker_pipeline::12067.273*17.75] mapped 5671 sequences
[M::worker_pipeline::12122.680*17.80] mapped 5742 sequences
