[M::mm_idx_gen::41.462*1.57] collected minimizers
[M::mm_idx_gen::43.850*2.38] sorted minimizers
[M::main::43.850*2.38] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::45.216*2.34] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::45.892*2.32] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::203.725*14.08] mapped 3057 sequences
[M::worker_pipeline::314.483*16.81] mapped 2957 sequences
[M::worker_pipeline::471.730*15.46] mapped 2997 sequences
[M::worker_pipeline::814.618*11.96] mapped 2969 sequences
[M::worker_pipeline::924.970*12.91] mapped 3021 sequences
[M::worker_pipeline::987.908*13.69] mapped 2976 sequences
[M::worker_pipeline::1118.924*14.69] mapped 3220 sequences
[M::worker_pipeline::1233.604*15.19] mapped 3047 sequences
[M::worker_pipeline::1319.481*15.70] mapped 3022 sequences
[M::worker_pipeline::1453.624*15.95] mapped 3084 sequences
[M::worker_pipeline::1709.505*15.25] mapped 3122 sequences
[M::worker_pipeline::1816.175*15.45] mapped 2951 sequences
[M::worker_pipeline::1919.448*15.61] mapped 2902 sequences
[M::worker_pipeline::2088.311*15.71] mapped 2925 sequences
[M::worker_pipeline::2193.205*15.91] mapped 3078 sequences
[M::worker_pipeline::2429.098*15.47] mapped 2931 sequences
[M::worker_pipeline::2506.170*15.71] mapped 3234 sequences
[M::worker_pipeline::2602.226*15.93] mapped 3031 sequences
[M::worker_pipeline::2718.657*16.10] mapped 3145 sequences
[M::worker_pipeline::2815.600*16.21] mapped 3123 sequences
[M::worker_pipeline::2949.591*16.70] mapped 3158 sequences
[M::worker_pipeline::3058.970*16.31] mapped 2962 sequences
[M::worker_pipeline::3186.915*16.37] mapped 3152 sequences
[M::worker_pipeline::3308.161*16.52] mapped 3257 sequences
[M::worker_pipeline::3418.825*16.55] mapped 3079 sequences
[M::worker_pipeline::3482.682*16.78] mapped 3035 sequences
[M::worker_pipeline::3551.835*16.97] mapped 3191 sequences
[M::worker_pipeline::3628.277*17.17] mapped 3127 sequences
[M::worker_pipeline::3712.352*17.40] mapped 3106 sequences
[M::worker_pipeline::3786.568*17.54] mapped 3067 sequences
[M::worker_pipeline::3939.308*17.44] mapped 2976 sequences
[M::worker_pipeline::4005.639*17.62] mapped 3118 sequences
[M::worker_pipeline::4121.880*17.63] mapped 2885 sequences
[M::worker_pipeline::4200.953*17.79] mapped 3084 sequences
[M::worker_pipeline::4428.450*17.43] mapped 3030 sequences
[M::worker_pipeline::4539.913*17.50] mapped 3036 sequences
[M::worker_pipeline::4605.546*17.70] mapped 3154 sequences
[M::worker_pipeline::4724.561*17.79] mapped 3069 sequences
[M::worker_pipeline::4872.258*17.79] mapped 3140 sequences
[M::worker_pipeline::5034.910*17.68] mapped 3139 sequences
[M::worker_pipeline::5123.098*17.78] mapped 3001 sequences
