[M::mm_idx_gen::47.565*1.64] collected minimizers
[M::mm_idx_gen::51.455*2.42] sorted minimizers
[M::main::51.455*2.42] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::53.036*2.37] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::54.139*2.35] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::193.497*14.65] mapped 3263 sequences
[M::worker_pipeline::257.071*18.35] mapped 3256 sequences
[M::worker_pipeline::346.822*19.46] mapped 3435 sequences
[M::worker_pipeline::458.790*18.92] mapped 3396 sequences
[M::worker_pipeline::606.416*17.15] mapped 3190 sequences
[M::worker_pipeline::932.700*13.37] mapped 3391 sequences
[M::worker_pipeline::1005.084*13.75] mapped 3298 sequences
[M::worker_pipeline::1139.847*13.61] mapped 3139 sequences
[M::worker_pipeline::1216.453*13.95] mapped 3383 sequences
[M::worker_pipeline::1283.918*14.23] mapped 3104 sequences
[M::worker_pipeline::1402.403*14.47] mapped 3298 sequences
[M::worker_pipeline::1491.919*14.86] mapped 3289 sequences
[M::worker_pipeline::1625.242*14.77] mapped 3094 sequences
[M::worker_pipeline::1722.300*15.14] mapped 3272 sequences
[M::worker_pipeline::1828.124*15.26] mapped 3410 sequences
[M::worker_pipeline::1913.849*15.67] mapped 3107 sequences
[M::worker_pipeline::2100.141*15.53] mapped 3018 sequences
[M::worker_pipeline::2282.057*15.80] mapped 3034 sequences
[M::worker_pipeline::2400.331*15.24] mapped 3073 sequences
[M::worker_pipeline::2546.594*15.12] mapped 3183 sequences
[M::worker_pipeline::2698.079*14.95] mapped 3154 sequences
[M::worker_pipeline::2794.967*15.17] mapped 3157 sequences
[M::worker_pipeline::2882.663*15.38] mapped 3170 sequences
[M::worker_pipeline::3061.243*15.19] mapped 3235 sequences
[M::worker_pipeline::3144.556*15.28] mapped 3076 sequences
[M::worker_pipeline::3236.165*15.39] mapped 3205 sequences
[M::worker_pipeline::3303.684*15.56] mapped 3111 sequences
[M::worker_pipeline::3444.578*15.50] mapped 3178 sequences
[M::worker_pipeline::3513.650*15.68] mapped 2949 sequences
