[M::mm_idx_gen::37.373*1.52] collected minimizers
[M::mm_idx_gen::41.280*3.34] sorted minimizers
[M::main::41.280*3.34] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::42.605*3.27] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::43.295*3.23] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::107.483*16.49] mapped 14462 sequences
[M::worker_pipeline::160.367*18.38] mapped 10996 sequences
[M::worker_pipeline::226.740*18.65] mapped 8787 sequences
[M::worker_pipeline::289.469*19.10] mapped 8905 sequences
[M::worker_pipeline::335.852*21.09] mapped 8477 sequences
[M::worker_pipeline::364.056*22.82] mapped 8544 sequences
[M::worker_pipeline::397.479*23.89] mapped 8432 sequences
[M::worker_pipeline::436.051*24.85] mapped 8587 sequences
[M::worker_pipeline::491.804*24.35] mapped 8563 sequences
[M::worker_pipeline::533.773*24.30] mapped 8658 sequences
[M::worker_pipeline::564.194*24.85] mapped 8786 sequences
[M::worker_pipeline::612.365*24.79] mapped 9339 sequences
[M::worker_pipeline::669.509*24.36] mapped 9372 sequences
[M::worker_pipeline::707.606*24.81] mapped 12782 sequences
[M::worker_pipeline::763.102*24.42] mapped 14203 sequences
[M::worker_pipeline::805.700*24.62] mapped 11895 sequences
[M::worker_pipeline::842.701*24.84] mapped 9659 sequences
[M::worker_pipeline::927.409*24.21] mapped 9616 sequences
[M::worker_pipeline::966.280*24.54] mapped 9128 sequences
[M::worker_pipeline::997.793*24.84] mapped 9297 sequences
[M::worker_pipeline::1035.595*25.12] mapped 9315 sequences
[M::worker_pipeline::1106.882*25.61] mapped 8985 sequences
[M::worker_pipeline::1134.746*25.21] mapped 9192 sequences
[M::worker_pipeline::1168.119*25.37] mapped 9264 sequences
[M::worker_pipeline::1242.552*24.80] mapped 9571 sequences
[M::worker_pipeline::1285.237*24.84] mapped 10127 sequences
[M::worker_pipeline::1320.551*24.91] mapped 10237 sequences
[M::worker_pipeline::1369.699*25.18] mapped 8168 sequences
[M::worker_pipeline::1412.714*25.43] mapped 11238 sequences
[M::worker_pipeline::1503.071*24.95] mapped 13299 sequences
[M::worker_pipeline::1547.348*24.88] mapped 10144 sequences
[M::worker_pipeline::1615.414*24.76] mapped 8898 sequences
[M::worker_pipeline::1811.258*22.95] mapped 8452 sequences
[M::worker_pipeline::1853.662*23.12] mapped 8297 sequences
[M::worker_pipeline::1933.465*23.00] mapped 8236 sequences
[M::worker_pipeline::2036.676*22.65] mapped 8082 sequences
[M::worker_pipeline::2120.733*22.46] mapped 7973 sequences
[M::worker_pipeline::2178.117*22.52] mapped 8187 sequences
[M::worker_pipeline::2271.387*22.18] mapped 8243 sequences
[M::worker_pipeline::2329.326*22.09] mapped 7886 sequences
[M::worker_pipeline::2376.583*22.16] mapped 8015 sequences
[M::worker_pipeline::2453.365*21.97] mapped 8302 sequences
[M::worker_pipeline::2526.067*21.85] mapped 9100 sequences
[M::worker_pipeline::2608.695*22.39] mapped 11208 sequences
[M::worker_pipeline::2618.184*22.39] mapped 7861 sequences
[M::worker_pipeline::2660.844*22.59] mapped 6484 sequences
[M::worker_pipeline::2796.906*22.06] mapped 6480 sequences
[M::worker_pipeline::2868.999*22.12] mapped 6433 sequences
[M::worker_pipeline::2948.990*22.06] mapped 6301 sequences
[M::worker_pipeline::2997.326*22.18] mapped 6272 sequences
[M::worker_pipeline::3084.743*22.03] mapped 6274 sequences
[M::worker_pipeline::3176.196*21.93] mapped 6378 sequences
[M::worker_pipeline::3249.875*21.87] mapped 6423 sequences
[M::worker_pipeline::3305.584*21.87] mapped 6376 sequences
[M::worker_pipeline::3359.095*21.94] mapped 6540 sequences
[M::worker_pipeline::3405.422*21.97] mapped 6690 sequences
[M::worker_pipeline::3495.332*21.79] mapped 7482 sequences
[M::worker_pipeline::3560.780*21.74] mapped 7349 sequences
[M::worker_pipeline::3643.771*21.80] mapped 9863 sequences
[M::worker_pipeline::3706.735*21.84] mapped 9348 sequences
[M::worker_pipeline::3806.620*21.61] mapped 6686 sequences
[M::worker_pipeline::3857.308*21.68] mapped 6650 sequences
[M::worker_pipeline::3944.465*21.68] mapped 6575 sequences
[M::worker_pipeline::3992.939*21.77] mapped 6535 sequences
[M::worker_pipeline::4127.191*21.44] mapped 6412 sequences
[M::worker_pipeline::4304.890*21.21] mapped 6477 sequences
[M::worker_pipeline::4533.407*20.27] mapped 6496 sequences
[M::worker_pipeline::4625.864*20.19] mapped 6734 sequences
[M::worker_pipeline::4723.520*20.15] mapped 6524 sequences
[M::worker_pipeline::4794.978*20.11] mapped 6610 sequences
[M::worker_pipeline::4855.194*20.12] mapped 6888 sequences
[M::worker_pipeline::4923.736*20.11] mapped 7386 sequences
[M::worker_pipeline::4993.549*20.10] mapped 7585 sequences
[M::worker_pipeline::5067.698*20.13] mapped 10446 sequences
[M::worker_pipeline::5115.825*20.24] mapped 14034 sequences
[M::worker_pipeline::5176.600*20.22] mapped 10801 sequences
[M::worker_pipeline::5246.683*20.21] mapped 9430 sequences
[M::worker_pipeline::5309.703*20.27] mapped 8858 sequences
[M::worker_pipeline::5373.423*20.29] mapped 8628 sequences
[M::worker_pipeline::5413.592*20.41] mapped 8355 sequences
[M::worker_pipeline::5500.993*20.36] mapped 8255 sequences
[M::worker_pipeline::5572.078*20.35] mapped 8417 sequences
[M::worker_pipeline::5622.614*20.41] mapped 8441 sequences
[M::worker_pipeline::5686.834*20.43] mapped 8579 sequences
[M::worker_pipeline::5750.761*20.42] mapped 7967 sequences
[M::worker_pipeline::5785.886*20.48] mapped 8191 sequences
[M::worker_pipeline::5885.992*20.52] mapped 8551 sequences
[M::worker_pipeline::5918.100*20.45] mapped 9106 sequences
[M::worker_pipeline::6027.519*20.40] mapped 12186 sequences
[M::worker_pipeline::6098.671*20.42] mapped 11016 sequences
[M::worker_pipeline::6203.682*20.25] mapped 7694 sequences
[M::worker_pipeline::6271.800*20.27] mapped 7257 sequences
[M::worker_pipeline::6338.279*20.31] mapped 7084 sequences
[M::worker_pipeline::6422.136*20.30] mapped 7009 sequences
[M::worker_pipeline::6476.159*20.35] mapped 6910 sequences
[M::worker_pipeline::6567.289*20.32] mapped 7142 sequences
[M::worker_pipeline::6621.402*20.37] mapped 7191 sequences
[M::worker_pipeline::6674.798*20.39] mapped 7233 sequences
[M::worker_pipeline::6769.651*20.29] mapped 6895 sequences
[M::worker_pipeline::6824.657*20.31] mapped 7004 sequences
[M::worker_pipeline::6867.031*20.34] mapped 7229 sequences
[M::worker_pipeline::6934.508*20.34] mapped 7718 sequences
[M::worker_pipeline::7023.523*20.27] mapped 8352 sequences
[M::worker_pipeline::7085.415*20.35] mapped 11203 sequences
[M::worker_pipeline::7207.796*20.21] mapped 11426 sequences
[M::worker_pipeline::7251.239*20.25] mapped 8249 sequences
[M::worker_pipeline::7334.825*20.21] mapped 7494 sequences
[M::worker_pipeline::7410.836*20.21] mapped 7390 sequences
[M::worker_pipeline::7528.895*20.28] mapped 7330 sequences
[M::worker_pipeline::7575.357*20.20] mapped 7227 sequences
[M::worker_pipeline::7640.050*20.20] mapped 7372 sequences
[M::worker_pipeline::7709.451*20.21] mapped 7356 sequences
[M::worker_pipeline::7792.528*20.21] mapped 7400 sequences
[M::worker_pipeline::7859.607*20.19] mapped 7215 sequences
[M::worker_pipeline::7907.009*20.22] mapped 7309 sequences
[M::worker_pipeline::7960.908*20.24] mapped 7444 sequences
[M::worker_pipeline::8048.194*20.18] mapped 7992 sequences
[M::worker_pipeline::8090.417*20.22] mapped 8586 sequences
[M::worker_pipeline::8146.003*20.29] mapped 11505 sequences
[M::worker_pipeline::8184.137*20.37] mapped 11272 sequences
[M::worker_pipeline::8255.649*20.34] mapped 8152 sequences
[M::worker_pipeline::8294.057*20.41] mapped 7691 sequences
[M::worker_pipeline::8353.312*20.45] mapped 7539 sequences
[M::worker_pipeline::8410.368*20.48] mapped 7420 sequences
[M::worker_pipeline::8459.166*20.54] mapped 7404 sequences
[M::worker_pipeline::8535.598*20.54] mapped 7494 sequences
[M::worker_pipeline::8626.352*20.50] mapped 7422 sequences
[M::worker_pipeline::8684.031*20.52] mapped 7722 sequences
[M::worker_pipeline::8765.367*20.47] mapped 7335 sequences
[M::worker_pipeline::8837.676*20.46] mapped 7341 sequences
[M::worker_pipeline::8928.417*20.53] mapped 7516 sequences
[M::worker_pipeline::8965.756*20.47] mapped 8145 sequences
[M::worker_pipeline::9089.367*20.38] mapped 8551 sequences
[M::worker_pipeline::9170.888*20.35] mapped 9178 sequences
[M::worker_pipeline::9205.257*20.29] mapped 4172 sequences
[M::main] Version: 2.28-r1209
[M::main] CMD: minimap2 --MD -ax map-ont --eqx -t 60 data/ref/T2T-CHM13.v2.fasta assembly/input/T2T10/T2T10.HQ_herro.50x.fastq.gz
[M::main] Real time: 9205.747 sec; CPU: 186812.030 sec; Peak RSS: 30.812 GB
[bam_sort_core] merging from 6 files and 4 in-memory blocks...
