[M::mm_idx_gen::44.914*1.67] collected minimizers
[M::mm_idx_gen::49.732*2.95] sorted minimizers
[M::main::49.732*2.95] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::51.104*2.90] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::51.799*2.87] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::122.533*19.45] mapped 4968 sequences
[M::worker_pipeline::179.367*24.05] mapped 4887 sequences
[M::worker_pipeline::231.743*25.28] mapped 4891 sequences
[M::worker_pipeline::275.224*27.71] mapped 4934 sequences
[M::worker_pipeline::323.387*29.04] mapped 4959 sequences
[M::worker_pipeline::376.595*29.67] mapped 4947 sequences
[M::worker_pipeline::422.362*30.51] mapped 5017 sequences
[M::worker_pipeline::480.528*30.79] mapped 5050 sequences
[M::worker_pipeline::534.832*31.02] mapped 5007 sequences
[M::worker_pipeline::585.093*31.34] mapped 4994 sequences
[M::worker_pipeline::638.254*31.05] mapped 5055 sequences
[M::worker_pipeline::707.683*31.06] mapped 4984 sequences
[M::worker_pipeline::756.304*31.45] mapped 4894 sequences
[M::worker_pipeline::809.186*31.58] mapped 4973 sequences
[M::worker_pipeline::853.304*31.95] mapped 4995 sequences
[M::worker_pipeline::917.825*31.87] mapped 4934 sequences
[M::worker_pipeline::981.802*31.69] mapped 4897 sequences
[M::worker_pipeline::1037.094*31.79] mapped 4688 sequences
[M::worker_pipeline::1078.494*32.15] mapped 4761 sequences
[M::worker_pipeline::1225.608*31.06] mapped 4880 sequences
[M::worker_pipeline::1230.778*30.94] mapped 4911 sequences
[M::worker_pipeline::1307.460*30.70] mapped 4938 sequences
[M::worker_pipeline::1362.714*30.78] mapped 4901 sequences
[M::worker_pipeline::1438.589*30.52] mapped 4959 sequences
[M::worker_pipeline::1506.157*30.26] mapped 4941 sequences
[M::worker_pipeline::1582.897*30.12] mapped 4919 sequences
[M::worker_pipeline::1641.422*30.25] mapped 4946 sequences
[M::worker_pipeline::1708.320*30.32] mapped 4912 sequences
[M::worker_pipeline::1764.037*30.39] mapped 4939 sequences
[M::worker_pipeline::1833.590*30.31] mapped 4937 sequences
[M::worker_pipeline::1885.290*30.37] mapped 4951 sequences
[M::worker_pipeline::1997.914*29.55] mapped 4915 sequences
[M::worker_pipeline::2057.888*29.54] mapped 4942 sequences
[M::worker_pipeline::2126.387*29.50] mapped 4934 sequences
[M::worker_pipeline::2179.961*29.69] mapped 4931 sequences
[M::worker_pipeline::2263.441*29.52] mapped 4850 sequences
[M::worker_pipeline::2343.931*29.43] mapped 3843 sequences
[M::worker_pipeline::2421.863*29.36] mapped 3257 sequences
[M::worker_pipeline::2637.324*28.00] mapped 3318 sequences
[M::worker_pipeline::2848.002*27.31] mapped 3560 sequences
[M::worker_pipeline::2871.513*27.21] mapped 3594 sequences
[M::worker_pipeline::2944.084*27.27] mapped 3923 sequences
[M::worker_pipeline::3033.859*27.30] mapped 3879 sequences
