[M::mm_idx_gen::37.793*1.51] collected minimizers
[M::mm_idx_gen::40.223*2.56] sorted minimizers
[M::main::40.223*2.56] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::41.522*2.52] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::42.171*2.49] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::110.477*19.37] mapped 14935 sequences
[M::worker_pipeline::148.472*21.16] mapped 12686 sequences
[M::worker_pipeline::178.583*24.26] mapped 11561 sequences
[M::worker_pipeline::210.289*26.92] mapped 11192 sequences
[M::worker_pipeline::253.092*27.27] mapped 11212 sequences
[M::worker_pipeline::281.338*28.66] mapped 11180 sequences
[M::worker_pipeline::317.823*29.07] mapped 11448 sequences
[M::worker_pipeline::345.898*29.96] mapped 11992 sequences
[M::worker_pipeline::379.938*30.07] mapped 12279 sequences
[M::worker_pipeline::436.311*30.76] mapped 13683 sequences
[M::worker_pipeline::473.008*30.71] mapped 14105 sequences
[M::worker_pipeline::526.354*30.06] mapped 11919 sequences
[M::worker_pipeline::564.794*30.12] mapped 11344 sequences
[M::worker_pipeline::606.068*30.28] mapped 11225 sequences
[M::worker_pipeline::643.405*30.46] mapped 11038 sequences
[M::worker_pipeline::705.434*29.56] mapped 11236 sequences
[M::worker_pipeline::776.685*28.39] mapped 11729 sequences
[M::worker_pipeline::821.226*28.17] mapped 12010 sequences
[M::worker_pipeline::853.058*28.45] mapped 12229 sequences
[M::worker_pipeline::892.483*29.21] mapped 14490 sequences
[M::worker_pipeline::922.297*29.41] mapped 13480 sequences
[M::worker_pipeline::1008.222*29.32] mapped 11621 sequences
[M::worker_pipeline::1051.387*28.35] mapped 11413 sequences
[M::worker_pipeline::1094.030*28.37] mapped 11320 sequences
[M::worker_pipeline::1152.821*28.13] mapped 11353 sequences
[M::worker_pipeline::1190.266*28.30] mapped 11615 sequences
[M::worker_pipeline::1233.994*28.20] mapped 11948 sequences
[M::worker_pipeline::1283.628*27.95] mapped 12227 sequences
[M::worker_pipeline::1332.116*28.13] mapped 13162 sequences
[M::worker_pipeline::1373.527*28.26] mapped 14581 sequences
[M::worker_pipeline::1410.273*28.28] mapped 12249 sequences
[M::worker_pipeline::1438.987*28.55] mapped 11437 sequences
[M::worker_pipeline::1497.965*28.31] mapped 11282 sequences
[M::worker_pipeline::1564.452*27.99] mapped 11285 sequences
[M::worker_pipeline::1616.414*27.96] mapped 11363 sequences
[M::worker_pipeline::1657.781*27.95] mapped 11554 sequences
[M::worker_pipeline::1695.447*27.95] mapped 12068 sequences
[M::worker_pipeline::1755.158*27.67] mapped 12422 sequences
[M::worker_pipeline::1797.672*28.08] mapped 14434 sequences
[M::worker_pipeline::1826.532*28.21] mapped 13468 sequences
[M::worker_pipeline::1863.555*28.26] mapped 11503 sequences
[M::worker_pipeline::1908.787*28.22] mapped 11395 sequences
[M::worker_pipeline::1966.961*28.51] mapped 11130 sequences
[M::worker_pipeline::2013.362*27.98] mapped 11178 sequences
[M::worker_pipeline::2046.531*28.11] mapped 11474 sequences
[M::worker_pipeline::2081.594*28.21] mapped 11817 sequences
[M::worker_pipeline::2113.393*28.23] mapped 12156 sequences
[M::worker_pipeline::2156.863*28.40] mapped 12583 sequences
[M::worker_pipeline::2201.993*28.54] mapped 14894 sequences
[M::worker_pipeline::2231.905*28.64] mapped 12738 sequences
[M::worker_pipeline::2285.387*28.49] mapped 11572 sequences
[M::worker_pipeline::2319.060*28.62] mapped 11383 sequences
[M::worker_pipeline::2366.884*28.55] mapped 11280 sequences
[M::worker_pipeline::2396.206*28.73] mapped 11355 sequences
[M::worker_pipeline::2435.155*28.75] mapped 11613 sequences
[M::worker_pipeline::2494.514*28.56] mapped 12047 sequences
[M::worker_pipeline::2523.677*28.64] mapped 12353 sequences
[M::worker_pipeline::2566.767*28.85] mapped 13807 sequences
[M::worker_pipeline::2602.364*28.91] mapped 14307 sequences
[M::worker_pipeline::2638.436*28.94] mapped 12043 sequences
[M::worker_pipeline::2673.788*29.04] mapped 11584 sequences
[M::worker_pipeline::2714.042*29.06] mapped 11448 sequences
[M::worker_pipeline::2778.802*28.88] mapped 11510 sequences
[M::worker_pipeline::2817.975*28.91] mapped 11480 sequences
[M::worker_pipeline::2888.265*28.89] mapped 11895 sequences
[M::worker_pipeline::2891.369*28.86] mapped 12252 sequences
[M::worker_pipeline::2945.106*28.74] mapped 12555 sequences
[M::worker_pipeline::2999.467*28.87] mapped 14827 sequences
[M::worker_pipeline::3038.367*28.85] mapped 13153 sequences
[M::worker_pipeline::3072.077*28.93] mapped 11578 sequences
[M::worker_pipeline::3107.137*28.99] mapped 11540 sequences
[M::worker_pipeline::3161.189*28.90] mapped 11322 sequences
[M::worker_pipeline::3209.279*28.88] mapped 11421 sequences
[M::worker_pipeline::3259.340*28.79] mapped 11570 sequences
[M::worker_pipeline::3287.703*28.86] mapped 12135 sequences
[M::worker_pipeline::3323.018*28.89] mapped 12355 sequences
[M::worker_pipeline::3385.526*28.90] mapped 14182 sequences
[M::worker_pipeline::3416.666*28.97] mapped 14270 sequences
[M::worker_pipeline::3454.349*29.01] mapped 12065 sequences
[M::worker_pipeline::3499.695*28.97] mapped 11512 sequences
[M::worker_pipeline::3535.982*29.04] mapped 11471 sequences
[M::worker_pipeline::3615.377*28.80] mapped 11565 sequences
[M::worker_pipeline::3645.812*28.89] mapped 11463 sequences
[M::worker_pipeline::3689.793*28.85] mapped 11957 sequences
[M::worker_pipeline::3727.956*28.86] mapped 12376 sequences
[M::worker_pipeline::3791.077*29.08] mapped 12913 sequences
[M::worker_pipeline::3812.525*28.97] mapped 14624 sequences
[M::worker_pipeline::3861.172*28.92] mapped 12167 sequences
[M::worker_pipeline::3889.697*29.02] mapped 11172 sequences
[M::worker_pipeline::3926.942*29.07] mapped 10911 sequences
[M::worker_pipeline::3954.706*29.19] mapped 10963 sequences
[M::worker_pipeline::4014.439*29.08] mapped 11102 sequences
[M::worker_pipeline::4055.491*29.08] mapped 11363 sequences
[M::worker_pipeline::4093.878*29.08] mapped 11566 sequences
[M::worker_pipeline::4154.172*28.94] mapped 12143 sequences
[M::worker_pipeline::4193.187*29.07] mapped 13591 sequences
[M::worker_pipeline::4231.275*29.10] mapped 14490 sequences
[M::worker_pipeline::4257.344*29.17] mapped 12369 sequences
[M::worker_pipeline::4289.337*29.24] mapped 11948 sequences
[M::worker_pipeline::4321.629*29.30] mapped 11671 sequences
[M::worker_pipeline::4362.053*29.31] mapped 11646 sequences
[M::worker_pipeline::4409.653*29.29] mapped 11822 sequences
[M::worker_pipeline::4434.874*29.37] mapped 12147 sequences
[M::worker_pipeline::4469.379*29.38] mapped 12429 sequences
[M::worker_pipeline::4503.315*29.47] mapped 12787 sequences
[M::worker_pipeline::4576.646*29.33] mapped 14842 sequences
[M::worker_pipeline::4646.602*29.15] mapped 12438 sequences
[M::worker_pipeline::4706.981*29.25] mapped 11496 sequences
[M::worker_pipeline::4711.202*29.24] mapped 11271 sequences
[M::worker_pipeline::4773.037*29.18] mapped 11120 sequences
[M::worker_pipeline::4814.272*29.20] mapped 11307 sequences
[M::worker_pipeline::4876.236*29.07] mapped 11609 sequences
[M::worker_pipeline::4918.152*29.03] mapped 11951 sequences
[M::worker_pipeline::4973.687*28.94] mapped 12319 sequences
[M::worker_pipeline::5037.002*28.93] mapped 14103 sequences
[M::worker_pipeline::5058.427*29.00] mapped 13893 sequences
[M::worker_pipeline::5107.606*28.96] mapped 11786 sequences
[M::worker_pipeline::5159.109*28.95] mapped 11440 sequences
[M::worker_pipeline::5193.721*29.01] mapped 11306 sequences
[M::worker_pipeline::5227.369*29.09] mapped 11206 sequences
[M::worker_pipeline::5284.004*29.01] mapped 11340 sequences
[M::worker_pipeline::5319.664*29.02] mapped 12044 sequences
[M::worker_pipeline::5363.553*28.99] mapped 12296 sequences
[M::worker_pipeline::5403.804*29.07] mapped 12988 sequences
[M::worker_pipeline::5447.469*29.12] mapped 14529 sequences
[M::worker_pipeline::5488.992*29.11] mapped 12046 sequences
[M::worker_pipeline::5537.345*29.09] mapped 11424 sequences
[M::worker_pipeline::5596.216*29.02] mapped 11204 sequences
[M::worker_pipeline::5675.289*29.06] mapped 11120 sequences
[M::worker_pipeline::5688.675*29.03] mapped 11242 sequences
[M::worker_pipeline::5746.232*28.95] mapped 11691 sequences
[M::worker_pipeline::5787.230*28.92] mapped 12077 sequences
[M::worker_pipeline::5816.075*28.98] mapped 12281 sequences
[M::worker_pipeline::5858.481*29.07] mapped 12759 sequences
[M::worker_pipeline::5941.570*28.95] mapped 10049 sequences
[M::worker_pipeline::6011.556*28.85] mapped 8381 sequences
[M::worker_pipeline::6064.081*28.80] mapped 7875 sequences
[M::worker_pipeline::6175.131*28.52] mapped 7446 sequences
[M::worker_pipeline::6242.844*28.42] mapped 7385 sequences
[M::worker_pipeline::6314.789*28.32] mapped 7444 sequences
[M::worker_pipeline::6361.129*28.34] mapped 7546 sequences
[M::worker_pipeline::6492.686*27.98] mapped 7597 sequences
[M::worker_pipeline::6580.950*27.81] mapped 8451 sequences
[M::worker_pipeline::6690.987*27.61] mapped 9273 sequences
[M::worker_pipeline::6807.684*27.35] mapped 9525 sequences
[M::worker_pipeline::6873.207*27.33] mapped 9911 sequences
[M::worker_pipeline::6956.341*27.32] mapped 9647 sequences
