[M::mm_idx_gen::46.097*1.57] collected minimizers
[M::mm_idx_gen::50.027*2.53] sorted minimizers
[M::main::50.027*2.53] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::51.650*2.48] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::52.456*2.46] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::84.825*18.95] mapped 27596 sequences
[M::worker_pipeline::132.846*21.75] mapped 27523 sequences
[M::worker_pipeline::152.235*25.88] mapped 27548 sequences
[M::worker_pipeline::182.032*29.23] mapped 27556 sequences
[M::worker_pipeline::201.382*31.78] mapped 27658 sequences
[M::worker_pipeline::224.613*34.20] mapped 27631 sequences
[M::worker_pipeline::249.244*35.89] mapped 27549 sequences
[M::worker_pipeline::271.758*37.22] mapped 27641 sequences
[M::worker_pipeline::296.712*38.59] mapped 27633 sequences
[M::worker_pipeline::315.756*39.49] mapped 27625 sequences
[M::worker_pipeline::341.619*40.65] mapped 27575 sequences
[M::worker_pipeline::362.714*41.56] mapped 27468 sequences
[M::worker_pipeline::388.609*41.94] mapped 27640 sequences
[M::worker_pipeline::412.555*42.46] mapped 27610 sequences
[M::worker_pipeline::438.216*43.01] mapped 27597 sequences
[M::worker_pipeline::457.189*43.46] mapped 27615 sequences
[M::worker_pipeline::488.292*43.50] mapped 27537 sequences
[M::worker_pipeline::513.238*44.00] mapped 27879 sequences
[M::worker_pipeline::534.679*44.39] mapped 27755 sequences
[M::worker_pipeline::558.373*44.80] mapped 27843 sequences
[M::worker_pipeline::581.122*45.11] mapped 27803 sequences
[M::worker_pipeline::686.608*41.54] mapped 27766 sequences
[M::worker_pipeline::690.486*41.32] mapped 27848 sequences
[M::worker_pipeline::717.521*41.58] mapped 27826 sequences
[M::worker_pipeline::743.541*42.04] mapped 27823 sequences
[M::worker_pipeline::762.322*42.34] mapped 27812 sequences
[M::worker_pipeline::783.435*42.54] mapped 27795 sequences
[M::worker_pipeline::806.200*42.92] mapped 27809 sequences
[M::worker_pipeline::828.595*43.17] mapped 27777 sequences
[M::worker_pipeline::847.352*43.44] mapped 27895 sequences
[M::worker_pipeline::868.723*43.66] mapped 27754 sequences
[M::worker_pipeline::893.823*43.84] mapped 27729 sequences
[M::worker_pipeline::913.240*43.99] mapped 27733 sequences
[M::worker_pipeline::951.112*43.70] mapped 31459 sequences
[M::worker_pipeline::999.965*43.02] mapped 37588 sequences
[M::worker_pipeline::1046.454*42.12] mapped 30580 sequences
[M::worker_pipeline::1068.526*42.25] mapped 26047 sequences
[M::worker_pipeline::1110.529*42.07] mapped 21398 sequences
[M::worker_pipeline::1138.231*42.25] mapped 21218 sequences
[M::worker_pipeline::1174.655*42.45] mapped 20448 sequences
[M::worker_pipeline::1205.937*42.60] mapped 20548 sequences
[M::worker_pipeline::1242.815*42.39] mapped 20180 sequences
[M::worker_pipeline::1347.271*41.03] mapped 20409 sequences
[M::worker_pipeline::1350.944*40.94] mapped 20540 sequences
[M::worker_pipeline::1391.925*40.81] mapped 22038 sequences
[M::worker_pipeline::1430.004*40.61] mapped 22325 sequences
[M::worker_pipeline::1465.262*40.42] mapped 23488 sequences
[M::worker_pipeline::1507.997*40.31] mapped 23445 sequences
[M::worker_pipeline::1555.871*40.34] mapped 39451 sequences
[M::worker_pipeline::1588.874*40.24] mapped 31488 sequences
[M::worker_pipeline::1620.260*40.19] mapped 27036 sequences
[M::worker_pipeline::1665.684*39.92] mapped 22027 sequences
[M::worker_pipeline::1712.709*39.64] mapped 21141 sequences
[M::worker_pipeline::1750.019*39.71] mapped 20259 sequences
[M::worker_pipeline::1804.063*39.36] mapped 20154 sequences
[M::worker_pipeline::1838.595*39.41] mapped 19922 sequences
[M::worker_pipeline::1882.995*39.21] mapped 19993 sequences
[M::worker_pipeline::1945.685*38.69] mapped 20424 sequences
[M::worker_pipeline::2032.068*37.77] mapped 21566 sequences
[M::worker_pipeline::2088.393*37.26] mapped 21989 sequences
[M::worker_pipeline::2131.733*37.12] mapped 22847 sequences
[M::worker_pipeline::2156.472*37.22] mapped 23516 sequences
[M::worker_pipeline::2202.231*37.31] mapped 36167 sequences
[M::worker_pipeline::2284.269*36.97] mapped 32667 sequences
[M::worker_pipeline::2287.709*36.92] mapped 28466 sequences
[M::worker_pipeline::2322.651*36.97] mapped 23195 sequences
[M::worker_pipeline::2381.039*36.72] mapped 21189 sequences
[M::worker_pipeline::2428.820*36.59] mapped 20905 sequences
[M::worker_pipeline::2503.870*36.10] mapped 20441 sequences
[M::worker_pipeline::2540.905*36.18] mapped 20410 sequences
[M::worker_pipeline::2611.919*35.83] mapped 20395 sequences
[M::worker_pipeline::2662.237*35.72] mapped 20685 sequences
[M::worker_pipeline::2709.324*35.58] mapped 21521 sequences
[M::worker_pipeline::2755.593*35.55] mapped 21929 sequences
[M::worker_pipeline::2815.805*35.28] mapped 22992 sequences
[M::worker_pipeline::2853.828*35.26] mapped 23310 sequences
[M::worker_pipeline::2904.690*35.22] mapped 33850 sequences
[M::worker_pipeline::2941.059*35.27] mapped 34384 sequences
[M::worker_pipeline::2980.603*35.22] mapped 29464 sequences
[M::worker_pipeline::3024.408*35.07] mapped 24231 sequences
[M::worker_pipeline::3070.923*34.96] mapped 21378 sequences
[M::worker_pipeline::3102.389*35.04] mapped 21343 sequences
[M::worker_pipeline::3169.931*34.73] mapped 20530 sequences
[M::worker_pipeline::3259.869*34.40] mapped 20515 sequences
[M::worker_pipeline::3309.753*34.31] mapped 20734 sequences
[M::worker_pipeline::3411.726*34.04] mapped 20499 sequences
[M::worker_pipeline::3415.076*34.00] mapped 21368 sequences
[M::worker_pipeline::3465.734*34.02] mapped 22199 sequences
[M::worker_pipeline::3551.745*33.61] mapped 23215 sequences
[M::worker_pipeline::3579.943*33.70] mapped 23359 sequences
[M::worker_pipeline::3617.176*33.84] mapped 31787 sequences
[M::worker_pipeline::3651.728*33.90] mapped 35020 sequences
[M::worker_pipeline::3693.515*33.85] mapped 29626 sequences
[M::worker_pipeline::3723.616*33.86] mapped 24573 sequences
[M::worker_pipeline::3781.286*33.74] mapped 21109 sequences
[M::worker_pipeline::3829.846*33.77] mapped 20996 sequences
[M::worker_pipeline::3881.474*33.80] mapped 20233 sequences
[M::worker_pipeline::3924.436*33.84] mapped 20038 sequences
[M::worker_pipeline::4024.116*33.44] mapped 19952 sequences
[M::worker_pipeline::4069.254*33.49] mapped 20459 sequences
[M::worker_pipeline::4135.189*33.33] mapped 20771 sequences
[M::worker_pipeline::4190.385*33.29] mapped 21775 sequences
[M::worker_pipeline::4225.245*33.34] mapped 22236 sequences
[M::worker_pipeline::4274.831*33.35] mapped 23043 sequences
[M::worker_pipeline::4327.469*33.40] mapped 26904 sequences
[M::worker_pipeline::4373.951*33.48] mapped 37711 sequences
[M::worker_pipeline::4417.562*33.44] mapped 30514 sequences
[M::worker_pipeline::4515.780*33.30] mapped 26354 sequences
[M::worker_pipeline::4543.127*33.20] mapped 21765 sequences
[M::worker_pipeline::4610.134*32.97] mapped 21262 sequences
[M::worker_pipeline::4660.386*32.99] mapped 20412 sequences
