[M::mm_idx_gen::67.273*1.50] collected minimizers
[M::mm_idx_gen::71.129*2.21] sorted minimizers
[M::main::71.129*2.21] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::73.050*2.17] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::74.043*2.16] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::144.759*18.22] mapped 37340 sequences
[M::worker_pipeline::218.396*21.47] mapped 36813 sequences
[M::worker_pipeline::289.924*23.05] mapped 33410 sequences
[M::worker_pipeline::334.029*25.45] mapped 45020 sequences
[M::worker_pipeline::375.608*27.30] mapped 42762 sequences
[M::worker_pipeline::414.860*28.95] mapped 38766 sequences
[M::worker_pipeline::468.161*29.49] mapped 37788 sequences
[M::worker_pipeline::520.881*30.31] mapped 37559 sequences
[M::worker_pipeline::597.209*29.72] mapped 40628 sequences
[M::worker_pipeline::663.380*29.85] mapped 36409 sequences
[M::worker_pipeline::725.082*30.16] mapped 31839 sequences
[M::worker_pipeline::770.848*30.75] mapped 37772 sequences
[M::worker_pipeline::839.106*30.96] mapped 41369 sequences
[M::worker_pipeline::910.970*30.58] mapped 39851 sequences
[M::worker_pipeline::1000.595*30.58] mapped 12218 sequences
[M::worker_pipeline::1062.615*30.67] mapped 44769 sequences
[M::worker_pipeline::1136.734*30.45] mapped 38600 sequences
[M::worker_pipeline::1200.532*30.96] mapped 20064 sequences
[M::worker_pipeline::1239.462*31.20] mapped 43846 sequences
[M::worker_pipeline::1291.800*31.08] mapped 38796 sequences
[M::worker_pipeline::1462.761*29.38] mapped 39646 sequences
[M::worker_pipeline::1467.335*29.29] mapped 37122 sequences
[M::worker_pipeline::1533.093*29.42] mapped 34574 sequences
[M::worker_pipeline::1624.988*29.07] mapped 31209 sequences
[M::worker_pipeline::1680.998*29.10] mapped 41139 sequences
[M::worker_pipeline::1759.301*28.99] mapped 35185 sequences
[M::worker_pipeline::1859.611*28.34] mapped 37033 sequences
[M::worker_pipeline::1898.689*28.59] mapped 40253 sequences
[M::worker_pipeline::1954.596*28.70] mapped 35057 sequences
[M::worker_pipeline::2003.169*28.83] mapped 35629 sequences
[M::worker_pipeline::2068.414*28.94] mapped 31197 sequences
[M::worker_pipeline::2129.312*28.95] mapped 40508 sequences
[M::worker_pipeline::2186.948*29.00] mapped 36902 sequences
[M::worker_pipeline::2227.753*29.24] mapped 34343 sequences
[M::worker_pipeline::2281.976*29.45] mapped 37845 sequences
[M::worker_pipeline::2339.630*29.40] mapped 37531 sequences
[M::worker_pipeline::2451.748*28.96] mapped 35191 sequences
[M::worker_pipeline::2485.965*29.27] mapped 41281 sequences
[M::worker_pipeline::2541.261*29.39] mapped 35073 sequences
[M::worker_pipeline::2592.702*29.46] mapped 36266 sequences
[M::worker_pipeline::2756.864*28.68] mapped 35262 sequences
[M::worker_pipeline::2763.628*28.62] mapped 40104 sequences
[M::worker_pipeline::2820.224*28.87] mapped 37849 sequences
[M::worker_pipeline::2887.953*28.85] mapped 36207 sequences
[M::worker_pipeline::2979.331*28.60] mapped 29885 sequences
[M::worker_pipeline::3046.979*28.54] mapped 38202 sequences
[M::worker_pipeline::3109.886*28.52] mapped 37432 sequences
[M::worker_pipeline::3165.840*28.67] mapped 27789 sequences
[M::worker_pipeline::3239.442*28.64] mapped 31305 sequences
[M::worker_pipeline::3318.969*28.67] mapped 37322 sequences
[M::worker_pipeline::3370.270*28.83] mapped 37187 sequences
[M::worker_pipeline::3475.713*28.44] mapped 38916 sequences
[M::worker_pipeline::3549.820*28.45] mapped 33034 sequences
[M::worker_pipeline::3606.864*28.56] mapped 32152 sequences
[M::worker_pipeline::3652.965*28.74] mapped 40236 sequences
[M::worker_pipeline::3774.861*28.32] mapped 46088 sequences
[M::worker_pipeline::3838.315*28.41] mapped 38630 sequences
[M::worker_pipeline::3882.213*28.55] mapped 45265 sequences
[M::worker_pipeline::3952.803*28.56] mapped 40599 sequences
[M::worker_pipeline::4037.305*28.52] mapped 32369 sequences
[M::worker_pipeline::4238.076*28.07] mapped 40404 sequences
[M::worker_pipeline::4245.356*28.02] mapped 39039 sequences
[M::worker_pipeline::4335.468*28.03] mapped 36910 sequences
[M::worker_pipeline::4384.342*28.12] mapped 37147 sequences
[M::worker_pipeline::4435.954*28.28] mapped 30295 sequences
[M::worker_pipeline::4487.960*28.38] mapped 40171 sequences
[M::worker_pipeline::4536.201*28.49] mapped 40311 sequences
[M::worker_pipeline::4592.075*28.53] mapped 37125 sequences
[M::worker_pipeline::4654.006*28.59] mapped 32938 sequences
[M::worker_pipeline::4725.574*28.59] mapped 38714 sequences
[M::worker_pipeline::4855.940*28.31] mapped 31038 sequences
[M::worker_pipeline::4918.867*28.28] mapped 39217 sequences
