[M::mm_idx_gen::54.343*1.50] collected minimizers
[M::mm_idx_gen::58.236*2.38] sorted minimizers
[M::main::58.236*2.38] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::59.966*2.34] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::60.814*2.32] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::109.620*20.00] mapped 27596 sequences
[M::worker_pipeline::160.838*23.14] mapped 27523 sequences
[M::worker_pipeline::184.942*27.34] mapped 27548 sequences
[M::worker_pipeline::217.629*30.47] mapped 27556 sequences
[M::worker_pipeline::244.833*33.25] mapped 27658 sequences
[M::worker_pipeline::269.583*35.24] mapped 27631 sequences
[M::worker_pipeline::301.232*37.34] mapped 27549 sequences
[M::worker_pipeline::328.528*38.66] mapped 27641 sequences
[M::worker_pipeline::363.472*39.74] mapped 27633 sequences
[M::worker_pipeline::391.073*40.62] mapped 27625 sequences
[M::worker_pipeline::418.554*41.39] mapped 27575 sequences
[M::worker_pipeline::449.399*42.28] mapped 27468 sequences
[M::worker_pipeline::474.953*42.81] mapped 27640 sequences
[M::worker_pipeline::504.910*43.44] mapped 27610 sequences
[M::worker_pipeline::536.867*43.97] mapped 27597 sequences
[M::worker_pipeline::564.619*44.37] mapped 27615 sequences
[M::worker_pipeline::597.156*44.21] mapped 27537 sequences
[M::worker_pipeline::624.233*44.62] mapped 27879 sequences
[M::worker_pipeline::651.227*45.00] mapped 27755 sequences
[M::worker_pipeline::682.135*45.42] mapped 27843 sequences
[M::worker_pipeline::710.107*45.71] mapped 27803 sequences
[M::worker_pipeline::827.344*42.92] mapped 27766 sequences
[M::worker_pipeline::832.146*42.68] mapped 27848 sequences
[M::worker_pipeline::874.698*42.96] mapped 27826 sequences
[M::worker_pipeline::897.725*43.27] mapped 27823 sequences
[M::worker_pipeline::918.943*43.52] mapped 27812 sequences
[M::worker_pipeline::951.658*43.74] mapped 27795 sequences
[M::worker_pipeline::970.594*43.97] mapped 27809 sequences
[M::worker_pipeline::995.425*44.26] mapped 27777 sequences
[M::worker_pipeline::1014.998*44.48] mapped 27895 sequences
[M::worker_pipeline::1042.322*44.71] mapped 27754 sequences
[M::worker_pipeline::1072.263*44.82] mapped 27729 sequences
[M::worker_pipeline::1103.169*44.97] mapped 27733 sequences
[M::worker_pipeline::1172.356*43.81] mapped 23522 sequences
[M::worker_pipeline::1295.290*42.33] mapped 3656 sequences
[M::worker_pipeline::1431.816*40.73] mapped 3680 sequences
[M::worker_pipeline::1529.108*39.97] mapped 3696 sequences
[M::worker_pipeline::1626.036*39.53] mapped 3715 sequences
[M::worker_pipeline::1770.874*38.12] mapped 3684 sequences
[M::worker_pipeline::1920.019*37.33] mapped 3713 sequences
[M::worker_pipeline::2027.508*36.97] mapped 3671 sequences
[M::worker_pipeline::2194.872*35.92] mapped 3528 sequences
[M::worker_pipeline::2441.046*34.43] mapped 3069 sequences
[M::worker_pipeline::2477.221*34.14] mapped 2987 sequences
[M::worker_pipeline::2697.980*32.77] mapped 3067 sequences
[M::worker_pipeline::2852.735*32.50] mapped 3183 sequences
[M::worker_pipeline::3022.235*31.70] mapped 3054 sequences
[M::worker_pipeline::3228.385*30.88] mapped 3020 sequences
[M::worker_pipeline::3569.342*28.90] mapped 3083 sequences
[M::worker_pipeline::3751.733*28.83] mapped 3209 sequences
[M::worker_pipeline::3898.215*28.52] mapped 3122 sequences
[M::worker_pipeline::4289.335*26.52] mapped 3010 sequences
[M::worker_pipeline::4448.251*26.14] mapped 3109 sequences
[M::worker_pipeline::4679.196*25.87] mapped 3246 sequences
[M::worker_pipeline::4831.278*25.65] mapped 3147 sequences
[M::worker_pipeline::5055.366*25.09] mapped 3090 sequences
[M::worker_pipeline::5396.938*24.13] mapped 3133 sequences
[M::worker_pipeline::5581.538*24.13] mapped 3261 sequences
[M::worker_pipeline::5762.941*23.94] mapped 3135 sequences
[M::worker_pipeline::5880.656*23.91] mapped 3060 sequences
[M::worker_pipeline::6095.788*23.62] mapped 3178 sequences
[M::worker_pipeline::6257.603*23.70] mapped 3176 sequences
[M::worker_pipeline::6349.153*23.67] mapped 3024 sequences
[M::worker_pipeline::6520.115*23.88] mapped 3020 sequences
