[M::mm_idx_gen::63.663*1.51] collected minimizers
[M::mm_idx_gen::66.124*2.08] sorted minimizers
[M::main::66.124*2.08] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::67.437*2.06] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::68.088*2.05] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::120.222*13.93] mapped 37686 sequences
[M::worker_pipeline::147.903*21.35] mapped 37332 sequences
[M::worker_pipeline::193.364*24.78] mapped 37272 sequences
[M::worker_pipeline::211.974*27.40] mapped 37365 sequences
[M::worker_pipeline::241.112*30.70] mapped 37531 sequences
[M::worker_pipeline::275.422*32.80] mapped 37846 sequences
[M::worker_pipeline::299.449*34.37] mapped 37554 sequences
[M::worker_pipeline::321.086*35.52] mapped 37444 sequences
[M::worker_pipeline::349.734*36.75] mapped 37683 sequences
[M::worker_pipeline::386.932*36.66] mapped 37485 sequences
[M::worker_pipeline::417.207*37.81] mapped 37482 sequences
[M::worker_pipeline::440.323*38.70] mapped 37642 sequences
[M::worker_pipeline::461.317*39.42] mapped 37438 sequences
[M::worker_pipeline::496.333*39.88] mapped 37189 sequences
[M::worker_pipeline::530.955*40.02] mapped 37649 sequences
[M::worker_pipeline::562.565*40.28] mapped 37504 sequences
[M::worker_pipeline::596.602*41.10] mapped 37324 sequences
[M::worker_pipeline::619.604*41.57] mapped 37609 sequences
[M::worker_pipeline::640.070*41.98] mapped 37525 sequences
[M::worker_pipeline::672.949*42.10] mapped 37416 sequences
[M::worker_pipeline::699.832*42.61] mapped 40850 sequences
[M::worker_pipeline::833.289*38.94] mapped 41135 sequences
[M::worker_pipeline::840.269*38.63] mapped 40914 sequences
[M::worker_pipeline::872.700*39.12] mapped 40956 sequences
[M::worker_pipeline::898.775*39.57] mapped 41013 sequences
[M::worker_pipeline::929.949*40.01] mapped 40709 sequences
[M::worker_pipeline::952.904*40.37] mapped 41028 sequences
[M::worker_pipeline::979.222*40.76] mapped 41026 sequences
[M::worker_pipeline::999.876*40.73] mapped 41219 sequences
[M::worker_pipeline::1032.331*41.10] mapped 40881 sequences
[M::worker_pipeline::1052.760*41.35] mapped 40830 sequences
[M::worker_pipeline::1078.160*41.67] mapped 41000 sequences
[M::worker_pipeline::1107.996*41.98] mapped 40959 sequences
[M::worker_pipeline::1129.739*42.12] mapped 40675 sequences
[M::worker_pipeline::1158.059*42.46] mapped 40851 sequences
[M::worker_pipeline::1178.681*42.67] mapped 41030 sequences
[M::worker_pipeline::1205.516*42.87] mapped 40833 sequences
[M::worker_pipeline::1230.225*43.06] mapped 40897 sequences
[M::worker_pipeline::1258.072*43.19] mapped 40638 sequences
[M::worker_pipeline::1283.408*43.42] mapped 40832 sequences
[M::worker_pipeline::1303.882*43.58] mapped 41135 sequences
[M::worker_pipeline::1367.928*43.10] mapped 40982 sequences
[M::worker_pipeline::1528.229*40.37] mapped 32031 sequences
[M::worker_pipeline::1532.152*40.27] mapped 27710 sequences
[M::worker_pipeline::1581.330*40.15] mapped 22247 sequences
[M::worker_pipeline::1628.372*39.98] mapped 21179 sequences
[M::worker_pipeline::1664.314*40.07] mapped 20687 sequences
[M::worker_pipeline::1709.283*40.13] mapped 20513 sequences
[M::worker_pipeline::1767.309*39.84] mapped 20329 sequences
[M::worker_pipeline::1801.166*39.95] mapped 20288 sequences
[M::worker_pipeline::1858.758*39.65] mapped 20484 sequences
[M::worker_pipeline::1898.145*39.59] mapped 21444 sequences
[M::worker_pipeline::1932.285*39.63] mapped 22298 sequences
[M::worker_pipeline::1970.990*39.66] mapped 23168 sequences
[M::worker_pipeline::2027.809*39.40] mapped 23491 sequences
[M::worker_pipeline::2085.744*39.36] mapped 35796 sequences
[M::worker_pipeline::2130.855*39.25] mapped 33168 sequences
[M::worker_pipeline::2165.317*39.17] mapped 28560 sequences
[M::worker_pipeline::2215.575*39.15] mapped 23048 sequences
[M::worker_pipeline::2268.673*38.86] mapped 21284 sequences
[M::worker_pipeline::2303.781*38.83] mapped 20530 sequences
[M::worker_pipeline::2376.622*38.50] mapped 20209 sequences
[M::worker_pipeline::2409.031*38.49] mapped 19940 sequences
[M::worker_pipeline::2521.966*38.14] mapped 20029 sequences
[M::worker_pipeline::2538.121*38.04] mapped 20224 sequences
[M::worker_pipeline::2605.139*37.56] mapped 21272 sequences
[M::worker_pipeline::2676.273*37.09] mapped 21812 sequences
[M::worker_pipeline::2730.134*36.84] mapped 22802 sequences
[M::worker_pipeline::2769.898*36.85] mapped 23139 sequences
[M::worker_pipeline::2817.189*36.91] mapped 31817 sequences
[M::worker_pipeline::2868.239*36.92] mapped 34770 sequences
[M::worker_pipeline::2905.231*36.89] mapped 29594 sequences
[M::worker_pipeline::2941.520*36.86] mapped 24877 sequences
[M::worker_pipeline::3015.475*36.51] mapped 21431 sequences
[M::worker_pipeline::3067.434*36.41] mapped 20903 sequences
[M::worker_pipeline::3160.676*35.95] mapped 20649 sequences
[M::worker_pipeline::3197.841*36.04] mapped 20285 sequences
[M::worker_pipeline::3259.586*35.85] mapped 20377 sequences
[M::worker_pipeline::3320.380*35.77] mapped 20705 sequences
[M::worker_pipeline::3382.829*35.58] mapped 21106 sequences
[M::worker_pipeline::3440.186*35.48] mapped 21897 sequences
[M::worker_pipeline::3502.800*35.26] mapped 22831 sequences
[M::worker_pipeline::3543.434*35.26] mapped 22931 sequences
[M::worker_pipeline::3589.699*35.33] mapped 28241 sequences
[M::worker_pipeline::3640.585*35.38] mapped 37600 sequences
[M::worker_pipeline::3739.532*35.01] mapped 30623 sequences
[M::worker_pipeline::3743.310*34.98] mapped 25984 sequences
[M::worker_pipeline::3782.732*35.11] mapped 21712 sequences
[M::worker_pipeline::3822.328*35.18] mapped 21289 sequences
[M::worker_pipeline::3905.822*34.79] mapped 20977 sequences
[M::worker_pipeline::4006.385*34.39] mapped 20143 sequences
[M::worker_pipeline::4067.953*34.30] mapped 20776 sequences
[M::worker_pipeline::4144.609*34.06] mapped 20543 sequences
[M::worker_pipeline::4191.721*33.98] mapped 21053 sequences
[M::worker_pipeline::4239.409*33.90] mapped 21935 sequences
[M::worker_pipeline::4286.132*33.80] mapped 22792 sequences
[M::worker_pipeline::4355.959*33.60] mapped 23553 sequences
[M::worker_pipeline::4399.950*33.70] mapped 25504 sequences
