[M::mm_idx_gen::1761.751*0.03] collected minimizers
[M::mm_idx_gen::1766.921*0.10] sorted minimizers
[M::main::1766.921*0.10] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::1768.219*0.10] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::1768.897*0.10] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::1880.641*0.95] mapped 12106 sequences
[M::worker_pipeline::1979.929*1.71] mapped 12050 sequences
[M::worker_pipeline::2058.557*2.40] mapped 12082 sequences
[M::worker_pipeline::2148.418*2.93] mapped 12074 sequences
[M::worker_pipeline::2256.812*3.49] mapped 12091 sequences
[M::worker_pipeline::2341.334*4.00] mapped 12082 sequences
[M::worker_pipeline::2419.047*4.39] mapped 12108 sequences
[M::worker_pipeline::2507.061*4.72] mapped 12028 sequences
[M::worker_pipeline::2614.521*5.03] mapped 12070 sequences
[M::worker_pipeline::2721.238*5.30] mapped 12089 sequences
[M::worker_pipeline::2851.425*5.54] mapped 12026 sequences
[M::worker_pipeline::2962.333*5.76] mapped 12057 sequences
[M::worker_pipeline::3057.690*6.04] mapped 12045 sequences
[M::worker_pipeline::3148.898*6.28] mapped 12027 sequences
[M::worker_pipeline::3232.510*6.53] mapped 12040 sequences
[M::worker_pipeline::3327.288*6.77] mapped 12028 sequences
[M::worker_pipeline::3416.898*7.05] mapped 12063 sequences
[M::worker_pipeline::3513.575*7.25] mapped 12087 sequences
[M::worker_pipeline::3599.442*7.50] mapped 12046 sequences
[M::worker_pipeline::3689.014*7.71] mapped 11995 sequences
[M::worker_pipeline::3772.636*7.94] mapped 12015 sequences
[M::worker_pipeline::4802.202*6.77] mapped 12052 sequences
[M::worker_pipeline::4805.370*6.77] mapped 12036 sequences
[M::worker_pipeline::4928.725*6.94] mapped 12023 sequences
[M::worker_pipeline::5003.602*7.16] mapped 12026 sequences
[M::worker_pipeline::5089.247*7.37] mapped 12023 sequences
[M::worker_pipeline::5169.074*7.55] mapped 12061 sequences
[M::worker_pipeline::5256.565*7.74] mapped 12058 sequences
[M::worker_pipeline::5324.529*7.88] mapped 12064 sequences
[M::worker_pipeline::5408.204*7.99] mapped 12059 sequences
[M::worker_pipeline::5494.298*8.11] mapped 12027 sequences
[M::worker_pipeline::5585.049*8.21] mapped 11991 sequences
[M::worker_pipeline::5681.605*8.31] mapped 11999 sequences
[M::worker_pipeline::5778.573*8.40] mapped 11977 sequences
[M::worker_pipeline::5866.459*8.50] mapped 11978 sequences
[M::worker_pipeline::5960.354*8.59] mapped 12047 sequences
[M::worker_pipeline::6052.244*8.68] mapped 11990 sequences
[M::worker_pipeline::6127.595*8.78] mapped 12044 sequences
[M::worker_pipeline::6228.055*8.86] mapped 11982 sequences
[M::worker_pipeline::6330.441*8.94] mapped 12064 sequences
[M::worker_pipeline::6427.435*9.02] mapped 11983 sequences
[M::worker_pipeline::6534.707*9.08] mapped 12041 sequences
[M::worker_pipeline::7382.831*8.40] mapped 11968 sequences
[M::worker_pipeline::7385.405*8.39] mapped 12022 sequences
[M::worker_pipeline::7505.765*8.43] mapped 11998 sequences
[M::worker_pipeline::7594.177*8.52] mapped 11978 sequences
[M::worker_pipeline::7684.814*8.61] mapped 11955 sequences
[M::worker_pipeline::7789.617*8.68] mapped 11946 sequences
[M::worker_pipeline::7876.247*8.78] mapped 11929 sequences
[M::worker_pipeline::7960.134*8.87] mapped 11973 sequences
[M::worker_pipeline::8050.136*8.95] mapped 11929 sequences
[M::worker_pipeline::8140.784*9.03] mapped 11996 sequences
[M::worker_pipeline::8232.942*9.08] mapped 11948 sequences
[M::worker_pipeline::8321.516*9.13] mapped 12001 sequences
[M::worker_pipeline::8430.570*9.18] mapped 11986 sequences
[M::worker_pipeline::8504.730*9.28] mapped 11975 sequences
[M::worker_pipeline::8589.042*9.36] mapped 12108 sequences
[M::worker_pipeline::8685.849*9.42] mapped 12047 sequences
[M::worker_pipeline::8777.134*9.48] mapped 12106 sequences
[M::worker_pipeline::8872.168*9.54] mapped 12081 sequences
[M::worker_pipeline::8964.604*9.60] mapped 12033 sequences
[M::worker_pipeline::9053.160*9.64] mapped 12080 sequences
[M::worker_pipeline::9142.849*9.70] mapped 12075 sequences
[M::worker_pipeline::9650.122*9.48] mapped 12090 sequences
[M::worker_pipeline::9652.796*9.48] mapped 12128 sequences
