[M::mm_idx_gen::35.075*1.35] collected minimizers
[M::mm_idx_gen::38.604*3.20] sorted minimizers
[M::main::38.604*3.20] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::41.854*3.03] mid_occ = 177
[M::mm_idx_stat] kmer size: 19; skip: 19; is_hpc: 0; #seq: 25
[M::mm_idx_stat::45.130*2.88] distinct minimizers: 215125355 (92.06% are singletons); average occurrences: 1.455; average spacing: 9.958; total length: 3117292070
[M::worker_pipeline::62.971*9.44] mapped 14041 sequences
[M::worker_pipeline::71.675*13.55] mapped 14032 sequences
[M::worker_pipeline::78.931*15.94] mapped 14115 sequences
[M::worker_pipeline::88.798*19.80] mapped 14080 sequences
[M::worker_pipeline::95.602*20.11] mapped 14037 sequences
[M::worker_pipeline::104.607*22.11] mapped 14087 sequences
[M::worker_pipeline::112.986*23.27] mapped 14117 sequences
[M::worker_pipeline::122.263*25.06] mapped 14057 sequences
[M::worker_pipeline::129.979*25.35] mapped 14043 sequences
[M::worker_pipeline::139.782*25.79] mapped 14027 sequences
[M::worker_pipeline::150.960*26.57] mapped 14059 sequences
[M::worker_pipeline::158.499*26.93] mapped 14016 sequences
[M::worker_pipeline::168.212*27.50] mapped 14094 sequences
[M::worker_pipeline::176.154*27.91] mapped 14023 sequences
[M::worker_pipeline::186.018*28.77] mapped 13980 sequences
[M::worker_pipeline::193.122*28.89] mapped 14019 sequences
[M::worker_pipeline::203.417*29.72] mapped 14032 sequences
[M::worker_pipeline::209.917*29.82] mapped 13999 sequences
[M::worker_pipeline::217.982*30.23] mapped 13972 sequences
[M::worker_pipeline::226.713*30.98] mapped 13977 sequences
[M::worker_pipeline::232.854*30.93] mapped 13970 sequences
[M::worker_pipeline::320.025*24.51] mapped 14046 sequences
[M::worker_pipeline::323.102*24.29] mapped 14091 sequences
[M::worker_pipeline::337.375*24.66] mapped 14096 sequences
[M::worker_pipeline::345.125*24.76] mapped 13966 sequences
[M::worker_pipeline::354.237*25.15] mapped 14007 sequences
[M::worker_pipeline::363.415*25.64] mapped 13915 sequences
[M::worker_pipeline::371.113*25.85] mapped 14001 sequences
[M::worker_pipeline::380.105*26.14] mapped 14027 sequences
[M::worker_pipeline::388.945*26.52] mapped 13975 sequences
[M::worker_pipeline::396.956*26.86] mapped 14001 sequences
[M::worker_pipeline::404.699*27.22] mapped 14028 sequences
[M::worker_pipeline::412.297*27.54] mapped 14017 sequences
[M::worker_pipeline::419.829*27.81] mapped 14031 sequences
[M::worker_pipeline::428.911*28.20] mapped 14056 sequences
[M::worker_pipeline::434.694*28.17] mapped 14003 sequences
[M::worker_pipeline::443.236*28.53] mapped 14020 sequences
[M::worker_pipeline::450.808*28.68] mapped 14043 sequences
[M::worker_pipeline::459.250*28.97] mapped 14032 sequences
[M::worker_pipeline::467.540*29.00] mapped 14032 sequences
[M::worker_pipeline::476.265*29.23] mapped 14028 sequences
[M::worker_pipeline::484.676*29.42] mapped 14000 sequences
[M::worker_pipeline::552.690*26.84] mapped 13991 sequences
[M::worker_pipeline::555.868*26.70] mapped 13975 sequences
[M::worker_pipeline::567.966*27.03] mapped 13911 sequences
[M::worker_pipeline::574.419*27.03] mapped 13977 sequences
[M::worker_pipeline::583.698*27.38] mapped 13958 sequences
[M::worker_pipeline::590.442*27.50] mapped 13947 sequences
[M::worker_pipeline::600.141*27.85] mapped 14043 sequences
[M::worker_pipeline::606.410*27.83] mapped 13863 sequences
[M::worker_pipeline::616.983*28.21] mapped 13960 sequences
[M::worker_pipeline::623.440*28.16] mapped 14012 sequences
[M::worker_pipeline::633.015*28.45] mapped 14106 sequences
[M::worker_pipeline::640.419*28.49] mapped 13968 sequences
[M::worker_pipeline::649.052*28.64] mapped 13956 sequences
[M::worker_pipeline::657.848*28.83] mapped 14028 sequences
[M::worker_pipeline::665.815*28.95] mapped 13889 sequences
[M::worker_pipeline::673.070*29.03] mapped 13939 sequences
[M::worker_pipeline::681.998*29.32] mapped 14035 sequences
[M::worker_pipeline::689.144*29.38] mapped 13980 sequences
[M::worker_pipeline::697.670*29.61] mapped 13897 sequences
[M::worker_pipeline::704.803*29.73] mapped 13919 sequences
[M::worker_pipeline::712.253*29.86] mapped 13915 sequences
[M::worker_pipeline::787.026*27.79] mapped 13848 sequences
[M::worker_pipeline::789.938*27.69] mapped 13777 sequences
[M::worker_pipeline::803.221*27.88] mapped 13887 sequences
[M::worker_pipeline::809.659*27.86] mapped 13866 sequences
[M::worker_pipeline::819.718*27.96] mapped 13886 sequences
[M::worker_pipeline::828.494*28.12] mapped 13938 sequences
[M::worker_pipeline::836.184*28.22] mapped 13840 sequences
[M::worker_pipeline::844.787*28.34] mapped 13893 sequences
[M::worker_pipeline::852.450*28.45] mapped 13883 sequences
[M::worker_pipeline::861.414*28.57] mapped 13909 sequences
[M::worker_pipeline::869.557*28.65] mapped 13841 sequences
[M::worker_pipeline::877.804*28.77] mapped 13965 sequences
[M::worker_pipeline::886.681*28.96] mapped 14107 sequences
[M::worker_pipeline::893.868*29.05] mapped 14069 sequences
[M::worker_pipeline::901.265*29.16] mapped 14110 sequences
[M::worker_pipeline::909.715*29.36] mapped 14010 sequences
[M::worker_pipeline::916.588*29.42] mapped 14085 sequences
[M::worker_pipeline::925.534*29.61] mapped 14013 sequences
[M::worker_pipeline::931.828*29.60] mapped 14093 sequences
[M::worker_pipeline::942.212*29.84] mapped 14070 sequences
[M::worker_pipeline::947.675*29.82] mapped 14039 sequences
[M::worker_pipeline::1021.143*28.30] mapped 14116 sequences
[M::worker_pipeline::1023.840*28.23] mapped 14030 sequences
[M::worker_pipeline::1037.169*28.33] mapped 14154 sequences
[M::worker_pipeline::1043.635*28.36] mapped 14160 sequences
[M::worker_pipeline::1053.226*28.49] mapped 14056 sequences
[M::worker_pipeline::1061.512*28.57] mapped 14087 sequences
[M::worker_pipeline::1069.398*28.62] mapped 14093 sequences
[M::worker_pipeline::1077.941*28.78] mapped 14022 sequences
[M::worker_pipeline::1085.509*28.86] mapped 13977 sequences
[M::worker_pipeline::1093.092*28.94] mapped 13877 sequences
[M::worker_pipeline::1101.484*29.03] mapped 13885 sequences
[M::worker_pipeline::1109.376*29.09] mapped 13893 sequences
[M::worker_pipeline::1117.929*29.19] mapped 13940 sequences
[M::worker_pipeline::1126.698*29.32] mapped 13877 sequences
[M::worker_pipeline::1134.046*29.36] mapped 13930 sequences
[M::worker_pipeline::1143.597*29.50] mapped 13906 sequences
[M::worker_pipeline::1149.548*29.50] mapped 13872 sequences
[M::worker_pipeline::1159.003*29.65] mapped 13939 sequences
[M::worker_pipeline::1166.037*29.65] mapped 13921 sequences
[M::worker_pipeline::1176.744*29.80] mapped 13902 sequences
[M::worker_pipeline::1183.217*29.78] mapped 13891 sequences
[M::worker_pipeline::1192.850*29.97] mapped 13826 sequences
[M::worker_pipeline::1265.244*28.66] mapped 13902 sequences
[M::worker_pipeline::1268.317*28.59] mapped 13905 sequences
[M::worker_pipeline::1280.176*28.71] mapped 13885 sequences
[M::worker_pipeline::1286.769*28.73] mapped 13825 sequences
[M::worker_pipeline::1294.869*28.83] mapped 13960 sequences
[M::worker_pipeline::1302.309*28.89] mapped 13921 sequences
[M::worker_pipeline::1310.170*28.98] mapped 13870 sequences
[M::worker_pipeline::1317.974*29.03] mapped 13930 sequences
[M::worker_pipeline::1326.563*29.13] mapped 13954 sequences
[M::worker_pipeline::1334.466*29.19] mapped 13945 sequences
[M::worker_pipeline::1341.750*29.22] mapped 14024 sequences
[M::worker_pipeline::1351.012*29.35] mapped 13994 sequences
[M::worker_pipeline::1357.628*29.35] mapped 13920 sequences
[M::worker_pipeline::1367.311*29.47] mapped 13984 sequences
[M::worker_pipeline::1374.111*29.48] mapped 13981 sequences
[M::worker_pipeline::1383.298*29.60] mapped 14081 sequences
[M::worker_pipeline::1390.884*29.66] mapped 14015 sequences
[M::worker_pipeline::1398.827*29.69] mapped 14018 sequences
[M::worker_pipeline::1408.287*29.81] mapped 14063 sequences
[M::worker_pipeline::1415.133*29.83] mapped 13962 sequences
[M::worker_pipeline::1423.258*29.88] mapped 14027 sequences
[M::worker_pipeline::1497.481*28.60] mapped 13989 sequences
[M::main] Version: 2.28-r1209
[M::main] CMD: minimap2 --MD -ax lr:hq --eqx -t 60 data/ref/T2T-CHM13.v2.fasta assembly/input/published/published.HQ_duplex.20x.fastq.gz
[M::main] Real time: 1498.172 sec; CPU: 42823.900 sec; Peak RSS: 31.913 GB
[bam_sort_core] merging from 6 files and 4 in-memory blocks...
