[M::mm_idx_gen::36.792*1.47] collected minimizers
[M::mm_idx_gen::40.301*3.17] sorted minimizers
[M::main::40.301*3.17] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::41.558*3.10] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::42.198*3.07] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::78.057*22.44] mapped 17944 sequences
[M::worker_pipeline::107.846*28.67] mapped 17528 sequences
[M::worker_pipeline::133.876*33.62] mapped 18215 sequences
[M::worker_pipeline::161.145*35.72] mapped 17601 sequences
[M::worker_pipeline::191.141*36.54] mapped 17551 sequences
[M::worker_pipeline::218.110*38.34] mapped 18333 sequences
[M::worker_pipeline::251.992*38.86] mapped 17442 sequences
[M::worker_pipeline::281.079*39.34] mapped 17697 sequences
[M::worker_pipeline::308.313*39.95] mapped 18202 sequences
[M::worker_pipeline::332.151*40.32] mapped 17420 sequences
[M::worker_pipeline::366.816*38.94] mapped 17902 sequences
[M::worker_pipeline::402.772*39.19] mapped 17974 sequences
[M::worker_pipeline::426.898*39.64] mapped 17524 sequences
[M::worker_pipeline::452.073*40.04] mapped 18222 sequences
[M::worker_pipeline::483.772*40.15] mapped 17698 sequences
[M::worker_pipeline::509.100*40.51] mapped 17531 sequences
[M::worker_pipeline::534.690*40.73] mapped 18153 sequences
[M::worker_pipeline::559.292*40.89] mapped 17388 sequences
[M::worker_pipeline::582.602*40.82] mapped 17924 sequences
[M::worker_pipeline::606.917*41.11] mapped 18422 sequences
[M::worker_pipeline::627.936*41.49] mapped 18007 sequences
[M::worker_pipeline::681.385*41.25] mapped 18517 sequences
[M::worker_pipeline::684.120*41.09] mapped 18107 sequences
[M::worker_pipeline::711.409*41.31] mapped 18077 sequences
[M::worker_pipeline::742.384*41.34] mapped 18580 sequences
[M::worker_pipeline::775.811*41.05] mapped 17980 sequences
[M::worker_pipeline::801.217*41.24] mapped 18073 sequences
[M::worker_pipeline::826.479*41.28] mapped 18358 sequences
[M::worker_pipeline::851.413*41.45] mapped 17629 sequences
[M::worker_pipeline::875.808*41.70] mapped 17957 sequences
[M::worker_pipeline::908.465*41.79] mapped 18283 sequences
[M::worker_pipeline::935.028*42.01] mapped 17734 sequences
[M::worker_pipeline::968.860*41.90] mapped 18009 sequences
[M::worker_pipeline::997.288*42.12] mapped 18211 sequences
[M::worker_pipeline::1025.279*42.28] mapped 17645 sequences
[M::worker_pipeline::1066.954*41.96] mapped 18250 sequences
[M::worker_pipeline::1098.113*41.87] mapped 18115 sequences
[M::worker_pipeline::1123.930*41.99] mapped 17676 sequences
[M::worker_pipeline::1149.444*42.23] mapped 18310 sequences
[M::worker_pipeline::1183.707*42.23] mapped 18048 sequences
[M::worker_pipeline::1210.501*42.47] mapped 17713 sequences
[M::worker_pipeline::1254.176*42.04] mapped 18277 sequences
[M::worker_pipeline::1313.855*41.38] mapped 18061 sequences
[M::worker_pipeline::1382.492*41.17] mapped 17528 sequences
[M::worker_pipeline::1388.006*41.09] mapped 17824 sequences
[M::worker_pipeline::1415.772*41.24] mapped 17975 sequences
[M::worker_pipeline::1446.242*41.42] mapped 17447 sequences
[M::worker_pipeline::1475.518*41.49] mapped 18110 sequences
[M::worker_pipeline::1503.188*41.72] mapped 17875 sequences
[M::worker_pipeline::1532.868*41.80] mapped 17643 sequences
[M::worker_pipeline::1576.310*41.63] mapped 18348 sequences
[M::worker_pipeline::1604.971*41.69] mapped 17553 sequences
[M::worker_pipeline::1631.508*41.84] mapped 17723 sequences
[M::worker_pipeline::1658.818*42.00] mapped 18340 sequences
[M::worker_pipeline::1682.658*42.07] mapped 17545 sequences
[M::worker_pipeline::1706.776*42.10] mapped 17709 sequences
[M::worker_pipeline::1746.290*42.13] mapped 18337 sequences
[M::worker_pipeline::1791.661*41.77] mapped 17451 sequences
[M::worker_pipeline::1833.969*41.47] mapped 17895 sequences
[M::worker_pipeline::1857.570*41.64] mapped 18138 sequences
[M::worker_pipeline::1883.130*41.76] mapped 17438 sequences
[M::worker_pipeline::1903.568*41.85] mapped 18059 sequences
[M::worker_pipeline::1927.477*42.01] mapped 17837 sequences
[M::worker_pipeline::1948.487*42.01] mapped 18528 sequences
[M::worker_pipeline::1970.162*41.99] mapped 18454 sequences
[M::worker_pipeline::2020.837*41.86] mapped 18807 sequences
[M::worker_pipeline::2022.965*41.82] mapped 18323 sequences
[M::worker_pipeline::2040.212*41.90] mapped 18741 sequences
[M::worker_pipeline::2064.495*41.88] mapped 18707 sequences
[M::worker_pipeline::2083.718*41.92] mapped 17891 sequences
[M::worker_pipeline::2100.851*41.98] mapped 17742 sequences
[M::worker_pipeline::2124.685*41.95] mapped 18373 sequences
[M::worker_pipeline::2143.685*42.03] mapped 17548 sequences
[M::worker_pipeline::2161.410*42.06] mapped 17772 sequences
[M::worker_pipeline::2180.107*42.14] mapped 18275 sequences
[M::worker_pipeline::2196.978*42.22] mapped 17531 sequences
[M::worker_pipeline::2221.809*42.12] mapped 17859 sequences
[M::worker_pipeline::2240.099*42.17] mapped 18194 sequences
[M::worker_pipeline::2264.479*42.11] mapped 17452 sequences
[M::worker_pipeline::2282.783*42.15] mapped 17977 sequences
[M::worker_pipeline::2303.358*42.21] mapped 18080 sequences
[M::worker_pipeline::2323.588*42.26] mapped 17615 sequences
[M::worker_pipeline::2349.669*42.21] mapped 18324 sequences
[M::worker_pipeline::2368.701*42.25] mapped 17753 sequences
[M::worker_pipeline::2387.068*42.33] mapped 17679 sequences
[M::worker_pipeline::2404.629*42.41] mapped 18408 sequences
[M::worker_pipeline::2429.825*42.37] mapped 17519 sequences
[M::worker_pipeline::2481.849*42.19] mapped 17647 sequences
[M::worker_pipeline::2484.196*42.15] mapped 18238 sequences
[M::worker_pipeline::2508.726*42.17] mapped 17714 sequences
[M::worker_pipeline::2531.398*42.12] mapped 17836 sequences
[M::worker_pipeline::2550.231*42.18] mapped 18201 sequences
[M::worker_pipeline::2570.171*42.21] mapped 17562 sequences
[M::worker_pipeline::2587.426*42.24] mapped 18078 sequences
[M::worker_pipeline::2613.536*42.20] mapped 18033 sequences
[M::worker_pipeline::2632.209*42.21] mapped 17534 sequences
[M::worker_pipeline::2648.687*42.27] mapped 18264 sequences
[M::worker_pipeline::2668.031*42.32] mapped 17793 sequences
[M::worker_pipeline::2695.699*42.21] mapped 17818 sequences
[M::worker_pipeline::2719.566*42.15] mapped 18378 sequences
[M::worker_pipeline::2735.901*42.20] mapped 17684 sequences
[M::worker_pipeline::2754.682*42.20] mapped 17850 sequences
[M::worker_pipeline::2773.513*42.23] mapped 18320 sequences
[M::worker_pipeline::2792.790*42.25] mapped 17643 sequences
[M::worker_pipeline::2808.658*42.30] mapped 18055 sequences
[M::worker_pipeline::2837.442*42.24] mapped 17877 sequences
[M::worker_pipeline::2863.430*42.20] mapped 17984 sequences
[M::worker_pipeline::2882.064*42.25] mapped 17541 sequences
[M::worker_pipeline::2898.885*42.31] mapped 18250 sequences
