[M::mm_idx_gen::36.030*1.51] collected minimizers
[M::mm_idx_gen::39.677*3.32] sorted minimizers
[M::main::39.678*3.32] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::40.970*3.25] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::41.645*3.21] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::78.791*22.52] mapped 24646 sequences
[M::worker_pipeline::102.623*26.72] mapped 19464 sequences
[M::worker_pipeline::130.977*28.23] mapped 18655 sequences
[M::worker_pipeline::161.906*29.96] mapped 18590 sequences
[M::worker_pipeline::181.962*32.25] mapped 18447 sequences
[M::worker_pipeline::204.595*33.27] mapped 18459 sequences
[M::worker_pipeline::230.685*34.02] mapped 18304 sequences
[M::worker_pipeline::253.581*35.51] mapped 18510 sequences
[M::worker_pipeline::274.725*36.35] mapped 19012 sequences
[M::worker_pipeline::294.171*37.21] mapped 19082 sequences
[M::worker_pipeline::316.388*37.41] mapped 19409 sequences
[M::worker_pipeline::333.518*38.01] mapped 19939 sequences
[M::worker_pipeline::365.369*38.76] mapped 24684 sequences
[M::worker_pipeline::388.901*39.03] mapped 20271 sequences
[M::worker_pipeline::411.354*39.25] mapped 18475 sequences
[M::worker_pipeline::432.826*39.80] mapped 18319 sequences
[M::worker_pipeline::454.383*40.11] mapped 18271 sequences
[M::worker_pipeline::477.801*40.25] mapped 18248 sequences
[M::worker_pipeline::500.115*40.55] mapped 18328 sequences
[M::worker_pipeline::523.240*40.84] mapped 18214 sequences
[M::worker_pipeline::543.014*41.09] mapped 18813 sequences
[M::worker_pipeline::590.233*40.32] mapped 19004 sequences
[M::worker_pipeline::592.236*40.19] mapped 19446 sequences
[M::worker_pipeline::623.996*40.12] mapped 19612 sequences
[M::worker_pipeline::651.979*40.64] mapped 24088 sequences
[M::worker_pipeline::672.153*40.92] mapped 21035 sequences
[M::worker_pipeline::690.452*41.17] mapped 18556 sequences
[M::worker_pipeline::713.654*41.23] mapped 18443 sequences
[M::worker_pipeline::738.770*41.57] mapped 18208 sequences
[M::worker_pipeline::759.505*41.82] mapped 18191 sequences
[M::worker_pipeline::785.789*41.75] mapped 18248 sequences
[M::worker_pipeline::808.695*41.75] mapped 18444 sequences
[M::worker_pipeline::827.596*41.96] mapped 18650 sequences
[M::worker_pipeline::857.651*41.45] mapped 19064 sequences
[M::worker_pipeline::876.282*41.60] mapped 19189 sequences
[M::worker_pipeline::910.926*41.22] mapped 19501 sequences
[M::worker_pipeline::937.951*41.52] mapped 23371 sequences
[M::worker_pipeline::961.539*41.57] mapped 22362 sequences
[M::worker_pipeline::978.757*41.70] mapped 18523 sequences
[M::worker_pipeline::995.667*41.88] mapped 18211 sequences
[M::worker_pipeline::1018.719*41.92] mapped 18100 sequences
[M::worker_pipeline::1039.412*42.00] mapped 18190 sequences
[M::worker_pipeline::1061.777*42.10] mapped 18011 sequences
