[M::mm_idx_gen::64.636*1.45] collected minimizers
[M::mm_idx_gen::73.625*2.46] sorted minimizers
[M::main::73.625*2.46] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::75.644*2.42] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::76.585*2.41] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::300.547*11.87] mapped 4438 sequences
[M::worker_pipeline::401.285*16.33] mapped 4445 sequences
[M::worker_pipeline::495.696*18.94] mapped 4413 sequences
[M::worker_pipeline::647.484*18.72] mapped 4485 sequences
[M::worker_pipeline::728.984*20.25] mapped 4455 sequences
[M::worker_pipeline::856.014*20.50] mapped 4553 sequences
[M::worker_pipeline::977.444*20.48] mapped 4478 sequences
[M::worker_pipeline::1079.046*21.05] mapped 4515 sequences
[M::worker_pipeline::1185.719*21.39] mapped 4469 sequences
[M::worker_pipeline::1281.502*21.92] mapped 4444 sequences
[M::worker_pipeline::1413.722*21.88] mapped 4542 sequences
[M::worker_pipeline::1603.376*21.27] mapped 4395 sequences
[M::worker_pipeline::1752.479*20.94] mapped 4368 sequences
[M::worker_pipeline::1883.203*21.08] mapped 4508 sequences
[M::worker_pipeline::1981.318*21.50] mapped 4461 sequences
[M::worker_pipeline::2165.251*20.96] mapped 4469 sequences
[M::worker_pipeline::2231.212*21.41] mapped 4497 sequences
[M::worker_pipeline::2323.943*21.70] mapped 4510 sequences
[M::worker_pipeline::2426.274*21.91] mapped 4391 sequences
[M::worker_pipeline::2595.318*22.72] mapped 4462 sequences
[M::worker_pipeline::2710.487*21.99] mapped 4482 sequences
[M::worker_pipeline::2822.035*22.09] mapped 4574 sequences
[M::worker_pipeline::2890.689*22.46] mapped 4553 sequences
[M::worker_pipeline::2992.077*22.68] mapped 4460 sequences
[M::worker_pipeline::3099.487*22.77] mapped 4468 sequences
[M::worker_pipeline::3208.022*22.88] mapped 4474 sequences
[M::worker_pipeline::3319.879*23.03] mapped 4419 sequences
[M::worker_pipeline::3406.993*23.29] mapped 4512 sequences
[M::worker_pipeline::3569.302*23.09] mapped 4486 sequences
[M::worker_pipeline::3663.679*23.15] mapped 4478 sequences
[M::worker_pipeline::3815.754*23.10] mapped 4468 sequences
[M::worker_pipeline::3959.302*23.08] mapped 4465 sequences
[M::worker_pipeline::4074.014*23.20] mapped 4465 sequences
[M::worker_pipeline::4231.444*23.08] mapped 4427 sequences
[M::worker_pipeline::4328.832*23.21] mapped 4503 sequences
[M::worker_pipeline::4467.536*22.99] mapped 4460 sequences
[M::worker_pipeline::4545.667*23.10] mapped 4459 sequences
[M::worker_pipeline::4630.970*23.18] mapped 4508 sequences
[M::worker_pipeline::4771.031*23.43] mapped 4448 sequences
[M::worker_pipeline::4825.120*23.26] mapped 4378 sequences
[M::worker_pipeline::4920.616*23.28] mapped 4428 sequences
[M::worker_pipeline::5015.012*23.25] mapped 4482 sequences
[M::worker_pipeline::5107.662*23.26] mapped 4445 sequences
[M::worker_pipeline::5167.986*23.35] mapped 4458 sequences
[M::worker_pipeline::5264.439*23.32] mapped 4576 sequences
[M::worker_pipeline::5404.037*23.21] mapped 4422 sequences
[M::worker_pipeline::5486.241*23.30] mapped 4495 sequences
[M::worker_pipeline::5708.859*22.82] mapped 4453 sequences
[M::worker_pipeline::5792.168*22.88] mapped 4413 sequences
[M::worker_pipeline::5912.906*22.83] mapped 4499 sequences
[M::worker_pipeline::6035.465*22.86] mapped 4416 sequences
[M::worker_pipeline::6112.906*22.95] mapped 4450 sequences
[M::worker_pipeline::6278.013*22.82] mapped 4464 sequences
[M::worker_pipeline::6369.887*22.85] mapped 4417 sequences
[M::worker_pipeline::6434.292*22.99] mapped 4455 sequences
[M::worker_pipeline::6555.859*23.06] mapped 4475 sequences
[M::worker_pipeline::6744.101*22.81] mapped 4479 sequences
[M::worker_pipeline::6957.481*22.87] mapped 4524 sequences
[M::worker_pipeline::6993.249*22.82] mapped 4455 sequences
[M::worker_pipeline::7128.034*22.77] mapped 4509 sequences
[M::worker_pipeline::7311.640*22.69] mapped 4524 sequences
[M::worker_pipeline::7466.402*22.55] mapped 4437 sequences
[M::worker_pipeline::7556.509*22.68] mapped 4537 sequences
[M::worker_pipeline::7746.304*22.47] mapped 4472 sequences
[M::worker_pipeline::7843.472*22.53] mapped 4494 sequences
[M::worker_pipeline::7952.773*22.56] mapped 4505 sequences
[M::worker_pipeline::8058.312*22.64] mapped 4488 sequences
[M::worker_pipeline::8207.106*22.56] mapped 4408 sequences
[M::worker_pipeline::8327.130*22.60] mapped 4435 sequences
[M::worker_pipeline::8431.061*22.65] mapped 4447 sequences
[M::worker_pipeline::8863.586*21.91] mapped 4456 sequences
[M::worker_pipeline::8949.645*21.98] mapped 4482 sequences
[M::worker_pipeline::9068.515*21.98] mapped 4485 sequences
[M::worker_pipeline::9196.327*21.96] mapped 4515 sequences
[M::worker_pipeline::9281.421*22.01] mapped 4433 sequences
[M::worker_pipeline::9355.064*22.06] mapped 4420 sequences
[M::worker_pipeline::9467.503*22.05] mapped 4540 sequences
[M::worker_pipeline::9623.139*22.15] mapped 4483 sequences
[M::worker_pipeline::9676.757*22.08] mapped 4469 sequences
[M::worker_pipeline::9769.994*22.13] mapped 4414 sequences
[M::worker_pipeline::9878.916*22.14] mapped 4449 sequences
[M::worker_pipeline::10000.517*22.07] mapped 4489 sequences
[M::worker_pipeline::10085.868*22.08] mapped 4480 sequences
[M::worker_pipeline::10193.234*22.05] mapped 4447 sequences
[M::worker_pipeline::10262.382*22.07] mapped 4465 sequences
[M::worker_pipeline::10318.300*22.12] mapped 4435 sequences
[M::worker_pipeline::10404.193*22.12] mapped 4478 sequences
[M::worker_pipeline::10497.522*22.08] mapped 4404 sequences
[M::worker_pipeline::10586.066*22.09] mapped 4426 sequences
[M::worker_pipeline::10681.811*22.08] mapped 4471 sequences
[M::worker_pipeline::10753.442*22.09] mapped 4529 sequences
[M::worker_pipeline::10892.780*21.99] mapped 4496 sequences
[M::worker_pipeline::10986.155*22.00] mapped 4517 sequences
[M::worker_pipeline::11051.476*22.05] mapped 4456 sequences
[M::worker_pipeline::11140.769*22.07] mapped 4523 sequences
[M::worker_pipeline::11230.457*22.10] mapped 4435 sequences
[M::worker_pipeline::11717.871*21.57] mapped 4512 sequences
[M::worker_pipeline::11775.769*21.50] mapped 4484 sequences
[M::worker_pipeline::12054.903*21.19] mapped 4450 sequences
[M::worker_pipeline::12124.733*21.24] mapped 4318 sequences
[M::worker_pipeline::12210.167*21.26] mapped 4374 sequences
[M::worker_pipeline::12312.958*21.29] mapped 4345 sequences
[M::worker_pipeline::12409.631*21.30] mapped 4323 sequences
[M::worker_pipeline::12484.173*21.37] mapped 4351 sequences
[M::worker_pipeline::12549.331*21.44] mapped 4360 sequences
[M::worker_pipeline::12635.309*21.46] mapped 4412 sequences
[M::worker_pipeline::12718.194*21.49] mapped 4444 sequences
[M::worker_pipeline::12822.465*21.50] mapped 4347 sequences
[M::worker_pipeline::12932.474*21.53] mapped 4338 sequences
[M::worker_pipeline::13002.852*21.61] mapped 4418 sequences
[M::worker_pipeline::13171.930*21.52] mapped 4393 sequences
[M::worker_pipeline::13268.012*21.55] mapped 4346 sequences
[M::worker_pipeline::13383.573*21.57] mapped 4409 sequences
[M::worker_pipeline::13502.336*21.58] mapped 4395 sequences
[M::worker_pipeline::13830.841*21.28] mapped 4346 sequences
[M::worker_pipeline::14024.091*21.25] mapped 4363 sequences
[M::worker_pipeline::14061.611*21.22] mapped 4253 sequences
[M::worker_pipeline::14179.792*21.20] mapped 4267 sequences
[M::worker_pipeline::14236.967*21.27] mapped 4336 sequences
[M::worker_pipeline::14326.535*21.32] mapped 4422 sequences
[M::worker_pipeline::14403.150*21.38] mapped 4393 sequences
[M::worker_pipeline::14491.966*21.40] mapped 4379 sequences
[M::worker_pipeline::14602.250*21.40] mapped 4386 sequences
[M::worker_pipeline::14754.407*21.31] mapped 4448 sequences
[M::worker_pipeline::14844.025*21.36] mapped 4383 sequences
[M::worker_pipeline::14943.199*21.39] mapped 4357 sequences
[M::worker_pipeline::15095.892*21.33] mapped 4331 sequences
[M::worker_pipeline::15174.668*21.38] mapped 4384 sequences
[M::worker_pipeline::15290.581*21.40] mapped 4368 sequences
[M::worker_pipeline::15358.278*21.43] mapped 4404 sequences
[M::worker_pipeline::15506.393*21.36] mapped 4385 sequences
[M::worker_pipeline::15596.829*21.35] mapped 4434 sequences
[M::worker_pipeline::15695.802*21.33] mapped 4309 sequences
[M::worker_pipeline::15748.960*21.37] mapped 4443 sequences
[M::worker_pipeline::15868.639*21.43] mapped 4307 sequences
[M::worker_pipeline::15925.029*21.38] mapped 4346 sequences
[M::worker_pipeline::16049.266*21.34] mapped 4403 sequences
[M::worker_pipeline::16139.639*21.36] mapped 4425 sequences
[M::worker_pipeline::16237.239*21.38] mapped 4487 sequences
[M::worker_pipeline::16317.229*21.38] mapped 4482 sequences
[M::worker_pipeline::16417.948*21.39] mapped 4468 sequences
[M::worker_pipeline::16528.231*21.38] mapped 4474 sequences
[M::worker_pipeline::16595.228*21.39] mapped 4480 sequences
[M::worker_pipeline::16667.950*21.41] mapped 4536 sequences
[M::worker_pipeline::16757.223*21.44] mapped 4519 sequences
[M::worker_pipeline::16831.094*21.45] mapped 4464 sequences
[M::worker_pipeline::16956.896*21.41] mapped 4516 sequences
[M::worker_pipeline::17115.551*21.35] mapped 4486 sequences
[M::worker_pipeline::17202.068*21.35] mapped 4448 sequences
[M::worker_pipeline::17272.769*21.37] mapped 4444 sequences
[M::worker_pipeline::17356.176*21.37] mapped 4475 sequences
[M::worker_pipeline::17429.232*21.37] mapped 4498 sequences
[M::worker_pipeline::17482.144*21.40] mapped 4410 sequences
[M::worker_pipeline::17586.692*21.45] mapped 4507 sequences
[M::worker_pipeline::17598.936*21.45] mapped 4477 sequences
[M::worker_pipeline::17712.202*21.41] mapped 4468 sequences
[M::worker_pipeline::17798.920*21.42] mapped 4478 sequences
[M::worker_pipeline::17880.167*21.42] mapped 4428 sequences
[M::worker_pipeline::17986.712*21.40] mapped 4441 sequences
[M::worker_pipeline::18089.956*21.38] mapped 4437 sequences
[M::worker_pipeline::18195.219*21.36] mapped 4464 sequences
[M::worker_pipeline::18260.773*21.39] mapped 4481 sequences
[M::worker_pipeline::18326.771*21.40] mapped 4443 sequences
[M::worker_pipeline::18405.512*21.42] mapped 4484 sequences
[M::worker_pipeline::18485.742*21.45] mapped 4504 sequences
[M::worker_pipeline::18564.118*21.46] mapped 4502 sequences
[M::worker_pipeline::18670.727*21.45] mapped 4414 sequences
[M::worker_pipeline::18740.544*21.47] mapped 4478 sequences
[M::worker_pipeline::18895.168*21.39] mapped 4506 sequences
[M::worker_pipeline::18973.301*21.41] mapped 4497 sequences
[M::worker_pipeline::19096.532*21.38] mapped 4469 sequences
[M::worker_pipeline::19187.748*21.38] mapped 4467 sequences
[M::worker_pipeline::19358.182*21.39] mapped 4437 sequences
[M::worker_pipeline::19364.327*21.38] mapped 4481 sequences
[M::worker_pipeline::19509.264*21.36] mapped 4498 sequences
[M::worker_pipeline::19568.759*21.40] mapped 4539 sequences
[M::worker_pipeline::19678.912*21.38] mapped 4480 sequences
[M::worker_pipeline::19747.092*21.42] mapped 4440 sequences
[M::worker_pipeline::19829.795*21.43] mapped 4471 sequences
[M::worker_pipeline::19932.414*21.43] mapped 4447 sequences
[M::worker_pipeline::20020.607*21.43] mapped 4433 sequences
[M::worker_pipeline::20097.020*21.45] mapped 4492 sequences
[M::worker_pipeline::20211.407*21.43] mapped 4453 sequences
[M::worker_pipeline::20305.561*21.43] mapped 4443 sequences
[M::worker_pipeline::20399.121*21.43] mapped 4518 sequences
[M::worker_pipeline::20504.411*21.43] mapped 4467 sequences
[M::worker_pipeline::20615.831*21.40] mapped 4420 sequences
[M::worker_pipeline::20681.046*21.43] mapped 4524 sequences
