[M::mm_idx_gen::34.931*1.46] collected minimizers
[M::mm_idx_gen::37.711*3.34] sorted minimizers
[M::main::37.711*3.34] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::38.909*3.27] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::39.552*3.23] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::101.810*16.79] mapped 17826 sequences
[M::worker_pipeline::167.429*17.91] mapped 21398 sequences
[M::worker_pipeline::236.622*18.29] mapped 19838 sequences
[M::worker_pipeline::289.612*19.69] mapped 14260 sequences
[M::worker_pipeline::327.536*21.37] mapped 13698 sequences
[M::worker_pipeline::371.222*22.37] mapped 13077 sequences
[M::worker_pipeline::430.351*22.18] mapped 13087 sequences
[M::worker_pipeline::493.245*22.07] mapped 14389 sequences
[M::worker_pipeline::534.981*22.57] mapped 14026 sequences
[M::worker_pipeline::598.440*22.26] mapped 13450 sequences
[M::worker_pipeline::671.701*22.19] mapped 8326 sequences
[M::worker_pipeline::726.350*22.40] mapped 19840 sequences
[M::worker_pipeline::769.172*22.76] mapped 12569 sequences
[M::worker_pipeline::818.830*22.85] mapped 21113 sequences
[M::worker_pipeline::972.671*21.01] mapped 11782 sequences
[M::worker_pipeline::1075.598*20.39] mapped 12270 sequences
[M::worker_pipeline::1127.428*20.68] mapped 14318 sequences
[M::worker_pipeline::1183.132*20.90] mapped 12987 sequences
[M::worker_pipeline::1228.355*21.24] mapped 10647 sequences
[M::worker_pipeline::1273.372*21.53] mapped 15092 sequences
[M::worker_pipeline::1404.600*21.42] mapped 17341 sequences
[M::worker_pipeline::1407.513*21.38] mapped 12084 sequences
[M::worker_pipeline::1454.800*21.70] mapped 11454 sequences
[M::worker_pipeline::1547.367*21.41] mapped 12207 sequences
[M::worker_pipeline::1619.082*21.33] mapped 14392 sequences
[M::worker_pipeline::1697.264*21.17] mapped 14234 sequences
[M::worker_pipeline::1743.297*21.54] mapped 11820 sequences
[M::worker_pipeline::1799.957*21.60] mapped 11821 sequences
[M::worker_pipeline::1868.026*21.58] mapped 16392 sequences
[M::worker_pipeline::1930.264*21.65] mapped 20244 sequences
[M::worker_pipeline::2026.346*21.38] mapped 15160 sequences
[M::worker_pipeline::2065.748*21.56] mapped 13753 sequences
[M::worker_pipeline::2152.687*21.29] mapped 11724 sequences
[M::worker_pipeline::2195.363*21.44] mapped 12888 sequences
[M::worker_pipeline::2300.767*21.12] mapped 11953 sequences
[M::worker_pipeline::2372.360*21.09] mapped 9592 sequences
[M::worker_pipeline::2446.917*20.92] mapped 19071 sequences
[M::worker_pipeline::2524.137*20.77] mapped 14469 sequences
[M::worker_pipeline::2585.648*20.81] mapped 13998 sequences
[M::worker_pipeline::2634.059*20.89] mapped 12900 sequences
[M::worker_pipeline::2741.412*21.02] mapped 12588 sequences
[M::worker_pipeline::2752.153*21.00] mapped 12743 sequences
[M::worker_pipeline::2929.539*20.23] mapped 12204 sequences
[M::worker_pipeline::2993.965*20.22] mapped 11279 sequences
[M::worker_pipeline::3096.673*20.08] mapped 10149 sequences
[M::worker_pipeline::3154.725*20.15] mapped 16349 sequences
[M::worker_pipeline::3223.846*20.16] mapped 10902 sequences
[M::worker_pipeline::3365.853*19.79] mapped 15829 sequences
[M::worker_pipeline::3424.508*19.85] mapped 12381 sequences
[M::worker_pipeline::3475.940*19.97] mapped 11857 sequences
[M::worker_pipeline::3572.108*19.85] mapped 12134 sequences
[M::worker_pipeline::3631.430*19.93] mapped 11403 sequences
[M::worker_pipeline::3680.173*20.00] mapped 17638 sequences
