[M::mm_idx_gen::35.442*1.47] collected minimizers
[M::mm_idx_gen::39.004*3.36] sorted minimizers
[M::main::39.004*3.36] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::40.259*3.29] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::40.900*3.25] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::104.232*13.43] mapped 47196 sequences
[M::worker_pipeline::146.318*17.63] mapped 27423 sequences
[M::worker_pipeline::204.223*18.68] mapped 23827 sequences
[M::worker_pipeline::241.440*20.79] mapped 24658 sequences
[M::worker_pipeline::320.834*20.53] mapped 22493 sequences
[M::worker_pipeline::413.666*19.17] mapped 17490 sequences
[M::worker_pipeline::554.728*17.68] mapped 10678 sequences
[M::worker_pipeline::649.665*17.85] mapped 18519 sequences
[M::worker_pipeline::707.192*18.27] mapped 30421 sequences
[M::worker_pipeline::768.588*18.55] mapped 25612 sequences
[M::worker_pipeline::858.942*18.57] mapped 22790 sequences
[M::worker_pipeline::929.189*18.47] mapped 20049 sequences
[M::worker_pipeline::978.461*18.82] mapped 21947 sequences
[M::worker_pipeline::1062.182*18.83] mapped 16265 sequences
[M::worker_pipeline::1168.296*18.44] mapped 16341 sequences
[M::worker_pipeline::1210.954*18.83] mapped 18767 sequences
[M::worker_pipeline::1280.873*19.04] mapped 18438 sequences
[M::worker_pipeline::1357.711*19.31] mapped 6199 sequences
[M::worker_pipeline::1413.886*19.57] mapped 30328 sequences
[M::worker_pipeline::1481.200*19.91] mapped 18398 sequences
[M::worker_pipeline::1603.698*20.31] mapped 22374 sequences
[M::worker_pipeline::1633.116*20.13] mapped 19527 sequences
[M::worker_pipeline::1744.491*19.83] mapped 18327 sequences
[M::worker_pipeline::1835.110*19.70] mapped 17071 sequences
[M::worker_pipeline::1975.327*19.17] mapped 17881 sequences
[M::worker_pipeline::2033.718*19.49] mapped 19627 sequences
[M::worker_pipeline::2111.524*19.59] mapped 17882 sequences
[M::worker_pipeline::2245.313*19.19] mapped 10225 sequences
[M::worker_pipeline::2306.341*19.32] mapped 27412 sequences
[M::worker_pipeline::2577.512*18.19] mapped 18305 sequences
[M::worker_pipeline::2679.164*18.20] mapped 18805 sequences
[M::worker_pipeline::2754.598*18.23] mapped 22640 sequences
[M::worker_pipeline::2881.209*18.05] mapped 19091 sequences
[M::worker_pipeline::2951.446*18.40] mapped 8852 sequences
[M::worker_pipeline::3084.680*18.23] mapped 26965 sequences
[M::worker_pipeline::3393.235*17.23] mapped 18854 sequences
[M::worker_pipeline::3490.943*17.33] mapped 17819 sequences
[M::worker_pipeline::3544.400*17.62] mapped 19119 sequences
[M::worker_pipeline::3660.994*17.63] mapped 18416 sequences
[M::worker_pipeline::3752.738*17.70] mapped 17241 sequences
[M::worker_pipeline::3894.518*17.91] mapped 16547 sequences
[M::worker_pipeline::3912.586*17.90] mapped 19923 sequences
[M::worker_pipeline::4036.961*17.85] mapped 16284 sequences
[M::worker_pipeline::4123.881*17.97] mapped 21697 sequences
[M::worker_pipeline::4183.039*18.16] mapped 17939 sequences
[M::worker_pipeline::4338.028*17.95] mapped 17712 sequences
[M::worker_pipeline::4514.504*17.72] mapped 18727 sequences
[M::worker_pipeline::4587.581*17.83] mapped 16701 sequences
[M::worker_pipeline::4682.062*17.89] mapped 21608 sequences
[M::worker_pipeline::4767.456*17.96] mapped 17560 sequences
[M::worker_pipeline::4836.746*18.17] mapped 16836 sequences
[M::worker_pipeline::5000.869*17.96] mapped 17564 sequences
[M::worker_pipeline::5103.542*17.99] mapped 20043 sequences
[M::worker_pipeline::5169.782*18.13] mapped 14141 sequences
[M::worker_pipeline::5233.053*18.26] mapped 21992 sequences
[M::worker_pipeline::5329.876*18.31] mapped 18565 sequences
[M::worker_pipeline::5437.301*18.34] mapped 17826 sequences
[M::worker_pipeline::5504.380*18.49] mapped 17692 sequences
[M::worker_pipeline::5592.169*18.59] mapped 19215 sequences
[M::worker_pipeline::5742.611*18.44] mapped 17881 sequences
[M::worker_pipeline::5872.412*18.67] mapped 17024 sequences
[M::worker_pipeline::6099.395*18.08] mapped 13696 sequences
[M::worker_pipeline::6230.765*18.01] mapped 19780 sequences
[M::worker_pipeline::6327.357*18.08] mapped 16311 sequences
[M::worker_pipeline::6374.600*18.18] mapped 22281 sequences
[M::worker_pipeline::6427.536*18.32] mapped 17841 sequences
[M::worker_pipeline::6591.184*18.19] mapped 17964 sequences
[M::worker_pipeline::6725.811*18.14] mapped 19068 sequences
[M::worker_pipeline::6839.667*18.11] mapped 19445 sequences
[M::worker_pipeline::6896.307*18.24] mapped 17801 sequences
[M::worker_pipeline::6993.719*18.30] mapped 17186 sequences
[M::worker_pipeline::7152.239*18.23] mapped 15767 sequences
[M::worker_pipeline::7226.798*18.30] mapped 17479 sequences
[M::worker_pipeline::7337.615*18.25] mapped 10489 sequences
[M::worker_pipeline::7406.166*18.27] mapped 17823 sequences
[M::worker_pipeline::7456.280*18.35] mapped 20229 sequences
[M::worker_pipeline::7508.473*18.41] mapped 18459 sequences
[M::worker_pipeline::7574.312*18.42] mapped 19635 sequences
[M::worker_pipeline::7616.714*18.49] mapped 26841 sequences
[M::worker_pipeline::7665.540*18.52] mapped 25471 sequences
[M::worker_pipeline::7846.517*18.45] mapped 22476 sequences
[M::worker_pipeline::7849.867*18.44] mapped 19079 sequences
[M::worker_pipeline::7919.052*18.51] mapped 19429 sequences
[M::worker_pipeline::7969.243*18.56] mapped 17104 sequences
[M::worker_pipeline::8017.222*18.61] mapped 17009 sequences
[M::worker_pipeline::8096.589*18.64] mapped 16371 sequences
[M::worker_pipeline::8151.190*18.69] mapped 15713 sequences
[M::worker_pipeline::8192.257*18.75] mapped 19665 sequences
[M::worker_pipeline::8251.700*18.78] mapped 18385 sequences
[M::worker_pipeline::8315.310*18.82] mapped 17354 sequences
[M::worker_pipeline::8406.960*18.80] mapped 17644 sequences
[M::worker_pipeline::8446.476*18.86] mapped 18250 sequences
[M::worker_pipeline::8560.643*18.79] mapped 12426 sequences
[M::worker_pipeline::8640.136*18.77] mapped 22731 sequences
[M::worker_pipeline::8717.759*18.77] mapped 16832 sequences
[M::worker_pipeline::8781.756*18.79] mapped 17095 sequences
[M::worker_pipeline::8854.820*18.80] mapped 16337 sequences
[M::worker_pipeline::8916.414*18.82] mapped 17814 sequences
[M::worker_pipeline::8959.510*18.89] mapped 17312 sequences
[M::worker_pipeline::9014.116*18.93] mapped 16951 sequences
[M::worker_pipeline::9110.444*19.03] mapped 16804 sequences
[M::worker_pipeline::9116.919*19.02] mapped 14458 sequences
[M::worker_pipeline::9193.521*19.04] mapped 20829 sequences
[M::worker_pipeline::9233.455*19.10] mapped 23054 sequences
[M::worker_pipeline::9281.999*19.16] mapped 16745 sequences
[M::worker_pipeline::9365.448*19.18] mapped 17363 sequences
[M::worker_pipeline::9480.929*19.11] mapped 18391 sequences
[M::worker_pipeline::9551.902*19.10] mapped 16203 sequences
[M::worker_pipeline::9604.760*19.15] mapped 14361 sequences
[M::worker_pipeline::9654.290*19.21] mapped 17231 sequences
[M::worker_pipeline::9720.565*19.22] mapped 18329 sequences
[M::worker_pipeline::9782.555*19.25] mapped 17363 sequences
[M::worker_pipeline::9844.554*19.29] mapped 14307 sequences
[M::worker_pipeline::9918.218*19.28] mapped 19806 sequences
[M::worker_pipeline::9988.989*19.29] mapped 17639 sequences
[M::worker_pipeline::10040.863*19.34] mapped 14593 sequences
[M::worker_pipeline::10077.683*19.40] mapped 19709 sequences
[M::worker_pipeline::10127.172*19.44] mapped 15671 sequences
[M::worker_pipeline::10171.534*19.49] mapped 18278 sequences
[M::worker_pipeline::10231.053*19.51] mapped 16695 sequences
[M::worker_pipeline::10341.427*19.55] mapped 16472 sequences
[M::worker_pipeline::10344.511*19.55] mapped 16569 sequences
[M::worker_pipeline::10411.150*19.58] mapped 15139 sequences
[M::worker_pipeline::10506.688*19.53] mapped 19735 sequences
[M::worker_pipeline::10575.524*19.53] mapped 19047 sequences
[M::worker_pipeline::10644.288*19.56] mapped 14488 sequences
[M::worker_pipeline::10692.807*19.58] mapped 18555 sequences
[M::worker_pipeline::10771.294*19.56] mapped 17263 sequences
[M::worker_pipeline::10821.569*19.58] mapped 18650 sequences
[M::worker_pipeline::10911.952*19.54] mapped 19752 sequences
[M::worker_pipeline::11037.988*19.45] mapped 18986 sequences
[M::worker_pipeline::11094.523*19.47] mapped 18258 sequences
[M::worker_pipeline::11178.753*19.45] mapped 17794 sequences
[M::worker_pipeline::11244.429*19.45] mapped 14299 sequences
[M::worker_pipeline::11304.603*19.46] mapped 23886 sequences
[M::worker_pipeline::11367.865*19.48] mapped 17053 sequences
[M::worker_pipeline::11460.347*19.45] mapped 16773 sequences
[M::worker_pipeline::11536.655*19.43] mapped 16025 sequences
[M::worker_pipeline::11605.153*19.43] mapped 18299 sequences
[M::worker_pipeline::11664.380*19.46] mapped 17765 sequences
[M::worker_pipeline::11769.172*19.54] mapped 8420 sequences
[M::worker_pipeline::11800.535*19.51] mapped 23415 sequences
[M::worker_pipeline::11894.591*19.48] mapped 14533 sequences
[M::worker_pipeline::12024.654*19.38] mapped 23741 sequences
[M::worker_pipeline::12089.614*19.39] mapped 18837 sequences
[M::worker_pipeline::12133.690*19.43] mapped 16981 sequences
[M::worker_pipeline::12207.084*19.43] mapped 18961 sequences
[M::worker_pipeline::12290.530*19.41] mapped 18356 sequences
[M::worker_pipeline::12348.814*19.43] mapped 17929 sequences
[M::worker_pipeline::12403.515*19.46] mapped 18025 sequences
[M::worker_pipeline::12487.228*19.47] mapped 12033 sequences
[M::worker_pipeline::12553.502*19.48] mapped 22544 sequences
[M::worker_pipeline::12626.181*19.48] mapped 17363 sequences
[M::worker_pipeline::12682.776*19.51] mapped 19330 sequences
[M::worker_pipeline::12733.861*19.53] mapped 18214 sequences
[M::worker_pipeline::12784.993*19.54] mapped 17457 sequences
[M::worker_pipeline::12820.777*19.59] mapped 16947 sequences
[M::worker_pipeline::12869.488*19.63] mapped 16545 sequences
[M::worker_pipeline::12938.446*19.66] mapped 9731 sequences
[M::worker_pipeline::13006.500*19.66] mapped 23888 sequences
[M::worker_pipeline::13106.305*19.68] mapped 20849 sequences
[M::worker_pipeline::13109.306*19.67] mapped 17951 sequences
[M::worker_pipeline::13177.316*19.67] mapped 18921 sequences
[M::worker_pipeline::13328.287*19.56] mapped 18890 sequences
[M::worker_pipeline::13395.438*19.55] mapped 20904 sequences
[M::worker_pipeline::13434.162*19.58] mapped 19470 sequences
[M::worker_pipeline::13461.660*19.62] mapped 25404 sequences
[M::worker_pipeline::13531.953*19.62] mapped 21488 sequences
[M::worker_pipeline::13604.614*19.64] mapped 18388 sequences
[M::worker_pipeline::13698.714*19.61] mapped 18397 sequences
[M::worker_pipeline::13748.582*19.64] mapped 15128 sequences
[M::worker_pipeline::13834.364*19.63] mapped 22458 sequences
[M::worker_pipeline::13899.510*19.65] mapped 16361 sequences
[M::worker_pipeline::13975.531*19.65] mapped 16853 sequences
[M::worker_pipeline::14034.802*19.67] mapped 16104 sequences
[M::worker_pipeline::14101.494*19.69] mapped 16309 sequences
[M::worker_pipeline::14161.335*19.70] mapped 18290 sequences
[M::worker_pipeline::14227.765*19.71] mapped 17282 sequences
[M::worker_pipeline::14313.023*19.70] mapped 16407 sequences
[M::worker_pipeline::14404.963*19.69] mapped 15001 sequences
[M::worker_pipeline::14500.238*19.72] mapped 21545 sequences
[M::worker_pipeline::14513.295*19.71] mapped 16567 sequences
[M::worker_pipeline::14574.954*19.72] mapped 16144 sequences
[M::worker_pipeline::14660.100*19.70] mapped 17258 sequences
[M::worker_pipeline::14722.218*19.72] mapped 19294 sequences
[M::worker_pipeline::14756.436*19.76] mapped 17444 sequences
[M::worker_pipeline::14838.455*19.75] mapped 16327 sequences
[M::worker_pipeline::14882.886*19.78] mapped 16606 sequences
[M::worker_pipeline::14950.222*19.79] mapped 19701 sequences
[M::worker_pipeline::15011.682*19.79] mapped 16993 sequences
[M::worker_pipeline::15126.597*19.74] mapped 16545 sequences
[M::worker_pipeline::15179.018*19.75] mapped 19762 sequences
[M::worker_pipeline::15225.128*19.77] mapped 18215 sequences
[M::worker_pipeline::15267.151*19.80] mapped 16282 sequences
[M::worker_pipeline::15346.445*19.80] mapped 20743 sequences
[M::worker_pipeline::15419.806*19.80] mapped 17086 sequences
[M::worker_pipeline::15492.806*19.79] mapped 17163 sequences
[M::worker_pipeline::15533.300*19.83] mapped 19444 sequences
[M::worker_pipeline::15633.730*19.81] mapped 10956 sequences
[M::worker_pipeline::15766.809*19.74] mapped 23826 sequences
[M::worker_pipeline::15876.294*19.69] mapped 16346 sequences
[M::worker_pipeline::15934.845*19.74] mapped 17714 sequences
[M::worker_pipeline::15995.244*19.72] mapped 16858 sequences
[M::worker_pipeline::16064.862*19.73] mapped 19426 sequences
[M::worker_pipeline::16104.696*19.76] mapped 19821 sequences
[M::worker_pipeline::16200.944*19.72] mapped 18217 sequences
[M::worker_pipeline::16266.609*19.72] mapped 20691 sequences
[M::worker_pipeline::16324.135*19.73] mapped 20302 sequences
[M::worker_pipeline::16420.056*19.70] mapped 18101 sequences
[M::worker_pipeline::16512.498*19.68] mapped 16472 sequences
[M::worker_pipeline::16587.999*19.68] mapped 15097 sequences
[M::worker_pipeline::16702.222*19.64] mapped 13635 sequences
[M::worker_pipeline::16736.759*19.66] mapped 26826 sequences
[M::worker_pipeline::16785.277*19.68] mapped 18855 sequences
[M::worker_pipeline::16893.627*19.65] mapped 17890 sequences
[M::worker_pipeline::16984.975*19.63] mapped 19890 sequences
[M::worker_pipeline::17029.412*19.66] mapped 19160 sequences
[M::worker_pipeline::17074.754*19.68] mapped 17561 sequences
[M::worker_pipeline::17117.074*19.70] mapped 17341 sequences
[M::worker_pipeline::17183.497*19.71] mapped 20463 sequences
[M::worker_pipeline::17258.141*19.71] mapped 17401 sequences
[M::worker_pipeline::17345.011*19.70] mapped 18238 sequences
[M::worker_pipeline::17418.844*19.70] mapped 13410 sequences
[M::worker_pipeline::17456.223*19.72] mapped 24320 sequences
[M::worker_pipeline::17513.679*19.73] mapped 18361 sequences
[M::worker_pipeline::17566.438*19.74] mapped 14915 sequences
[M::worker_pipeline::17616.893*19.76] mapped 24138 sequences
[M::worker_pipeline::17678.319*19.76] mapped 21465 sequences
[M::worker_pipeline::17742.989*19.77] mapped 14333 sequences
[M::worker_pipeline::17804.051*19.77] mapped 23907 sequences
[M::worker_pipeline::17871.356*19.77] mapped 16901 sequences
[M::worker_pipeline::17914.578*19.80] mapped 15786 sequences
[M::worker_pipeline::17946.374*19.83] mapped 12753 sequences
[M::worker_pipeline::18000.448*19.84] mapped 13044 sequences
[M::worker_pipeline::18075.294*19.83] mapped 12855 sequences
[M::worker_pipeline::18108.783*19.86] mapped 14792 sequences
[M::worker_pipeline::18148.329*19.88] mapped 13537 sequences
[M::worker_pipeline::18210.240*19.89] mapped 14057 sequences
[M::worker_pipeline::18281.011*19.90] mapped 6483 sequences
[M::worker_pipeline::18330.226*19.91] mapped 21790 sequences
[M::worker_pipeline::18369.905*19.93] mapped 13953 sequences
[M::worker_pipeline::18467.211*19.98] mapped 19128 sequences
[M::worker_pipeline::18569.637*19.88] mapped 12032 sequences
[M::worker_pipeline::18669.290*19.85] mapped 12035 sequences
[M::worker_pipeline::18717.792*19.86] mapped 14348 sequences
[M::worker_pipeline::18772.287*19.88] mapped 12592 sequences
[M::worker_pipeline::18817.302*19.90] mapped 9508 sequences
[M::worker_pipeline::18858.505*19.92] mapped 16163 sequences
[M::worker_pipeline::18929.452*19.92] mapped 17929 sequences
[M::worker_pipeline::18981.229*19.94] mapped 11762 sequences
[M::worker_pipeline::19083.029*19.90] mapped 11722 sequences
[M::worker_pipeline::19146.092*19.90] mapped 12232 sequences
[M::worker_pipeline::19216.603*19.90] mapped 13558 sequences
[M::worker_pipeline::19285.576*19.91] mapped 14512 sequences
[M::worker_pipeline::19323.334*19.94] mapped 11887 sequences
[M::worker_pipeline::19377.632*19.96] mapped 11673 sequences
[M::worker_pipeline::19441.022*19.95] mapped 20436 sequences
[M::worker_pipeline::19499.051*19.97] mapped 17083 sequences
[M::worker_pipeline::19591.880*19.95] mapped 14723 sequences
[M::worker_pipeline::19634.040*19.97] mapped 13433 sequences
[M::worker_pipeline::19720.070*19.95] mapped 11624 sequences
[M::worker_pipeline::19888.080*19.91] mapped 12923 sequences
[M::worker_pipeline::19915.831*19.89] mapped 11522 sequences
[M::worker_pipeline::20005.744*19.88] mapped 9731 sequences
[M::worker_pipeline::20037.542*19.90] mapped 19359 sequences
[M::worker_pipeline::20113.987*19.89] mapped 15404 sequences
[M::worker_pipeline::20173.562*19.90] mapped 13252 sequences
[M::worker_pipeline::20219.167*19.92] mapped 12844 sequences
[M::worker_pipeline::20263.952*19.94] mapped 12776 sequences
