[M::mm_idx_gen::47.520*1.55] collected minimizers
[M::mm_idx_gen::52.445*2.64] sorted minimizers
[M::main::52.445*2.64] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::54.436*2.58] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::55.255*2.56] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::86.033*16.89] mapped 37686 sequences
[M::worker_pipeline::107.706*24.39] mapped 37332 sequences
[M::worker_pipeline::143.688*27.38] mapped 37272 sequences
[M::worker_pipeline::166.727*31.17] mapped 37365 sequences
[M::worker_pipeline::188.764*33.91] mapped 37531 sequences
[M::worker_pipeline::213.057*36.13] mapped 37846 sequences
[M::worker_pipeline::231.384*37.54] mapped 37554 sequences
[M::worker_pipeline::254.430*39.03] mapped 37444 sequences
[M::worker_pipeline::275.754*39.93] mapped 37683 sequences
[M::worker_pipeline::308.256*39.53] mapped 37485 sequences
[M::worker_pipeline::332.731*40.44] mapped 37482 sequences
[M::worker_pipeline::355.674*41.27] mapped 37642 sequences
[M::worker_pipeline::373.642*41.95] mapped 37438 sequences
[M::worker_pipeline::403.929*42.01] mapped 37189 sequences
[M::worker_pipeline::430.877*41.87] mapped 37649 sequences
[M::worker_pipeline::454.776*41.86] mapped 37504 sequences
[M::worker_pipeline::473.994*42.45] mapped 37324 sequences
[M::worker_pipeline::498.681*42.93] mapped 37609 sequences
[M::worker_pipeline::520.627*43.45] mapped 37525 sequences
[M::worker_pipeline::548.061*43.43] mapped 37416 sequences
[M::worker_pipeline::570.055*43.88] mapped 40850 sequences
[M::worker_pipeline::664.864*40.88] mapped 41135 sequences
[M::worker_pipeline::668.053*40.69] mapped 40914 sequences
[M::worker_pipeline::694.466*41.15] mapped 40956 sequences
[M::worker_pipeline::715.991*41.61] mapped 41013 sequences
[M::worker_pipeline::743.050*42.00] mapped 40709 sequences
[M::worker_pipeline::763.366*42.39] mapped 41028 sequences
[M::worker_pipeline::789.101*42.81] mapped 41026 sequences
[M::worker_pipeline::816.409*42.90] mapped 41219 sequences
[M::worker_pipeline::838.197*43.24] mapped 40881 sequences
[M::worker_pipeline::860.108*43.52] mapped 40830 sequences
[M::worker_pipeline::885.105*43.83] mapped 41000 sequences
[M::worker_pipeline::907.162*44.10] mapped 40959 sequences
[M::worker_pipeline::932.176*44.22] mapped 40675 sequences
[M::worker_pipeline::949.171*44.43] mapped 40851 sequences
[M::worker_pipeline::969.809*44.63] mapped 41030 sequences
[M::worker_pipeline::997.500*44.88] mapped 40833 sequences
[M::worker_pipeline::1018.262*45.03] mapped 40897 sequences
[M::worker_pipeline::1045.059*45.17] mapped 40638 sequences
[M::worker_pipeline::1064.133*45.30] mapped 40832 sequences
[M::worker_pipeline::1084.255*45.43] mapped 41135 sequences
[M::worker_pipeline::1147.280*44.65] mapped 40982 sequences
[M::worker_pipeline::1282.085*41.57] mapped 32031 sequences
[M::worker_pipeline::1285.979*41.48] mapped 27710 sequences
[M::worker_pipeline::1327.590*41.23] mapped 22247 sequences
[M::worker_pipeline::1366.850*41.03] mapped 21179 sequences
[M::worker_pipeline::1400.190*41.11] mapped 20687 sequences
[M::worker_pipeline::1434.887*41.18] mapped 20513 sequences
[M::worker_pipeline::1478.718*40.83] mapped 20329 sequences
[M::worker_pipeline::1509.620*40.81] mapped 20288 sequences
[M::worker_pipeline::1567.831*40.39] mapped 20484 sequences
[M::worker_pipeline::1605.455*40.24] mapped 21444 sequences
[M::worker_pipeline::1634.618*40.25] mapped 22298 sequences
[M::worker_pipeline::1666.324*40.34] mapped 23168 sequences
[M::worker_pipeline::1721.876*39.94] mapped 23491 sequences
[M::worker_pipeline::1780.577*39.90] mapped 35796 sequences
[M::worker_pipeline::1817.715*39.81] mapped 33168 sequences
[M::worker_pipeline::1859.664*39.58] mapped 28560 sequences
[M::worker_pipeline::1897.125*39.54] mapped 23048 sequences
[M::worker_pipeline::1954.123*39.17] mapped 21284 sequences
[M::worker_pipeline::1997.879*39.01] mapped 20530 sequences
[M::worker_pipeline::2050.687*38.75] mapped 20209 sequences
[M::worker_pipeline::2090.026*38.75] mapped 19940 sequences
[M::worker_pipeline::2176.424*38.42] mapped 20029 sequences
[M::worker_pipeline::2202.093*38.14] mapped 20224 sequences
[M::worker_pipeline::2264.535*37.79] mapped 21272 sequences
[M::worker_pipeline::2336.498*37.21] mapped 21812 sequences
[M::worker_pipeline::2386.478*37.11] mapped 22802 sequences
[M::worker_pipeline::2422.731*37.09] mapped 23139 sequences
[M::worker_pipeline::2468.076*37.11] mapped 31817 sequences
[M::worker_pipeline::2503.970*37.12] mapped 34770 sequences
[M::worker_pipeline::2539.755*37.06] mapped 29594 sequences
[M::worker_pipeline::2580.412*36.89] mapped 24877 sequences
[M::worker_pipeline::2640.617*36.52] mapped 21431 sequences
[M::worker_pipeline::2693.221*36.44] mapped 20903 sequences
[M::worker_pipeline::2780.867*35.92] mapped 20649 sequences
[M::worker_pipeline::2811.612*36.03] mapped 20285 sequences
[M::worker_pipeline::2875.454*35.87] mapped 20377 sequences
[M::worker_pipeline::2936.225*35.61] mapped 20705 sequences
[M::worker_pipeline::2995.847*35.38] mapped 21106 sequences
[M::worker_pipeline::3047.059*35.19] mapped 21897 sequences
