[M::mm_idx_gen::51.081*1.47] collected minimizers
[M::mm_idx_gen::61.530*2.52] sorted minimizers
[M::main::61.530*2.52] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::63.721*2.47] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::64.570*2.45] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::108.286*17.89] mapped 27596 sequences
[M::worker_pipeline::180.768*20.66] mapped 27523 sequences
[M::worker_pipeline::207.362*25.08] mapped 27548 sequences
[M::worker_pipeline::259.578*28.37] mapped 27556 sequences
[M::worker_pipeline::284.965*30.64] mapped 27658 sequences
[M::worker_pipeline::312.999*32.82] mapped 27631 sequences
[M::worker_pipeline::346.643*34.39] mapped 27549 sequences
[M::worker_pipeline::387.358*35.65] mapped 27641 sequences
[M::worker_pipeline::415.664*36.47] mapped 27633 sequences
[M::worker_pipeline::436.370*37.25] mapped 27625 sequences
[M::worker_pipeline::477.235*38.21] mapped 27575 sequences
[M::worker_pipeline::504.097*38.97] mapped 27468 sequences
[M::worker_pipeline::542.568*39.57] mapped 27640 sequences
[M::worker_pipeline::584.451*40.10] mapped 27610 sequences
[M::worker_pipeline::614.852*40.63] mapped 27597 sequences
[M::worker_pipeline::641.192*41.17] mapped 27615 sequences
[M::worker_pipeline::673.004*41.25] mapped 27537 sequences
[M::worker_pipeline::711.715*41.51] mapped 27879 sequences
[M::worker_pipeline::742.831*41.89] mapped 27755 sequences
[M::worker_pipeline::769.030*42.36] mapped 27843 sequences
[M::worker_pipeline::810.905*42.60] mapped 27803 sequences
[M::worker_pipeline::921.975*40.53] mapped 27766 sequences
[M::worker_pipeline::926.431*40.34] mapped 27848 sequences
[M::worker_pipeline::967.047*40.69] mapped 27826 sequences
[M::worker_pipeline::999.399*41.15] mapped 27823 sequences
[M::worker_pipeline::1020.153*41.47] mapped 27812 sequences
[M::worker_pipeline::1056.158*41.81] mapped 27795 sequences
[M::worker_pipeline::1081.177*42.15] mapped 27809 sequences
[M::worker_pipeline::1118.285*42.36] mapped 27777 sequences
[M::worker_pipeline::1144.237*42.65] mapped 27895 sequences
[M::worker_pipeline::1175.494*42.91] mapped 27754 sequences
[M::worker_pipeline::1204.567*43.06] mapped 27729 sequences
[M::worker_pipeline::1225.005*43.21] mapped 27733 sequences
[M::worker_pipeline::1314.196*42.06] mapped 23815 sequences
[M::worker_pipeline::1378.194*41.76] mapped 4894 sequences
[M::worker_pipeline::1465.072*41.59] mapped 5076 sequences
[M::worker_pipeline::1571.541*40.71] mapped 4928 sequences
[M::worker_pipeline::1686.932*39.65] mapped 5096 sequences
[M::worker_pipeline::1798.253*38.90] mapped 4997 sequences
[M::worker_pipeline::1912.475*38.19] mapped 5103 sequences
[M::worker_pipeline::2036.390*37.24] mapped 5000 sequences
[M::worker_pipeline::2134.836*36.97] mapped 5077 sequences
[M::worker_pipeline::2350.917*35.80] mapped 5038 sequences
[M::worker_pipeline::2356.460*35.76] mapped 5060 sequences
[M::worker_pipeline::2465.822*35.48] mapped 5100 sequences
[M::worker_pipeline::2550.574*35.35] mapped 4990 sequences
[M::worker_pipeline::2638.019*35.27] mapped 5108 sequences
[M::worker_pipeline::2721.546*35.15] mapped 4971 sequences
[M::worker_pipeline::2809.884*35.29] mapped 5092 sequences
[M::worker_pipeline::2946.477*34.70] mapped 5026 sequences
[M::worker_pipeline::3032.697*34.65] mapped 5018 sequences
[M::worker_pipeline::3157.172*34.03] mapped 5020 sequences
[M::worker_pipeline::3236.052*34.19] mapped 5121 sequences
[M::worker_pipeline::3357.163*34.00] mapped 5126 sequences
[M::worker_pipeline::3472.054*33.67] mapped 4949 sequences
[M::worker_pipeline::3566.846*33.65] mapped 5085 sequences
[M::worker_pipeline::3664.837*33.55] mapped 5010 sequences
[M::worker_pipeline::3781.113*33.22] mapped 5052 sequences
[M::worker_pipeline::3904.729*32.92] mapped 5036 sequences
[M::worker_pipeline::4047.297*32.59] mapped 4295 sequences
[M::worker_pipeline::4155.223*32.33] mapped 3951 sequences
[M::worker_pipeline::4324.712*31.65] mapped 3805 sequences
[M::worker_pipeline::4541.693*30.81] mapped 3857 sequences
[M::worker_pipeline::4761.949*30.62] mapped 3988 sequences
[M::worker_pipeline::4882.200*30.04] mapped 4216 sequences
[M::worker_pipeline::5010.430*30.03] mapped 4183 sequences
[M::worker_pipeline::5116.503*29.99] mapped 3937 sequences
[M::worker_pipeline::5238.637*29.79] mapped 3877 sequences
[M::worker_pipeline::5401.184*29.40] mapped 3858 sequences
[M::worker_pipeline::5744.035*28.25] mapped 3899 sequences
[M::worker_pipeline::5854.326*28.15] mapped 4137 sequences
[M::worker_pipeline::6053.037*27.97] mapped 4291 sequences
[M::worker_pipeline::6199.394*27.83] mapped 4186 sequences
[M::worker_pipeline::6338.659*27.61] mapped 4015 sequences
[M::worker_pipeline::6740.649*26.34] mapped 3859 sequences
[M::worker_pipeline::6808.185*26.43] mapped 3906 sequences
[M::worker_pipeline::6933.376*26.31] mapped 3988 sequences
[M::worker_pipeline::7135.215*26.05] mapped 4212 sequences
[M::worker_pipeline::7354.394*25.90] mapped 4354 sequences
[M::worker_pipeline::7435.175*25.87] mapped 4216 sequences
[M::worker_pipeline::7583.847*25.77] mapped 4014 sequences
[M::worker_pipeline::7807.158*25.38] mapped 3965 sequences
[M::worker_pipeline::8121.403*24.78] mapped 3953 sequences
[M::worker_pipeline::8217.972*24.78] mapped 4139 sequences
[M::worker_pipeline::8340.816*24.82] mapped 4380 sequences
[M::worker_pipeline::8562.029*24.84] mapped 4320 sequences
[M::worker_pipeline::8652.637*24.65] mapped 4161 sequences
[M::worker_pipeline::8745.299*24.60] mapped 3987 sequences
[M::worker_pipeline::8828.026*24.60] mapped 3948 sequences
[M::worker_pipeline::9048.261*24.33] mapped 4012 sequences
[M::worker_pipeline::9202.859*24.26] mapped 4292 sequences
[M::worker_pipeline::9347.843*24.33] mapped 4289 sequences
[M::worker_pipeline::9420.160*24.43] mapped 4090 sequences
[M::worker_pipeline::9505.196*24.43] mapped 3823 sequences
[M::worker_pipeline::9590.893*24.42] mapped 3825 sequences
[M::worker_pipeline::9685.218*24.41] mapped 3884 sequences
[M::worker_pipeline::9866.662*24.25] mapped 3948 sequences
[M::worker_pipeline::10023.963*24.21] mapped 4245 sequences
[M::worker_pipeline::10149.513*24.30] mapped 4239 sequences
[M::worker_pipeline::10269.747*24.28] mapped 4091 sequences
[M::worker_pipeline::10350.584*24.30] mapped 3851 sequences
[M::worker_pipeline::10505.857*24.14] mapped 3830 sequences
[M::worker_pipeline::10619.118*24.09] mapped 3864 sequences
[M::worker_pipeline::10730.773*24.01] mapped 3911 sequences
[M::worker_pipeline::10854.779*24.07] mapped 4309 sequences
[M::worker_pipeline::11003.651*24.11] mapped 4238 sequences
[M::worker_pipeline::11153.323*24.21] mapped 4108 sequences
[M::worker_pipeline::11206.709*24.15] mapped 3907 sequences
[M::worker_pipeline::11329.588*24.11] mapped 3852 sequences
[M::worker_pipeline::11449.250*24.08] mapped 3946 sequences
[M::worker_pipeline::11563.323*24.09] mapped 4017 sequences
[M::worker_pipeline::11710.317*24.08] mapped 4307 sequences
[M::worker_pipeline::11949.469*23.98] mapped 4185 sequences
[M::worker_pipeline::12101.332*23.90] mapped 4044 sequences
[M::worker_pipeline::12259.936*23.82] mapped 3826 sequences
[M::worker_pipeline::12324.988*23.87] mapped 3820 sequences
[M::worker_pipeline::12444.054*23.87] mapped 3903 sequences
[M::worker_pipeline::12605.095*23.79] mapped 4037 sequences
[M::worker_pipeline::12752.772*23.85] mapped 4284 sequences
[M::worker_pipeline::12849.260*23.94] mapped 4221 sequences
[M::worker_pipeline::12965.961*23.97] mapped 4033 sequences
[M::worker_pipeline::13047.144*24.00] mapped 3893 sequences
[M::worker_pipeline::13156.308*23.98] mapped 3886 sequences
[M::worker_pipeline::13272.132*24.01] mapped 3941 sequences
[M::worker_pipeline::13481.727*23.84] mapped 4136 sequences
[M::worker_pipeline::13580.203*23.92] mapped 4296 sequences
[M::worker_pipeline::13702.189*23.96] mapped 4216 sequences
[M::worker_pipeline::13774.872*24.00] mapped 3975 sequences
[M::worker_pipeline::13969.373*24.00] mapped 3863 sequences
[M::worker_pipeline::14019.542*23.95] mapped 3879 sequences
[M::worker_pipeline::14253.919*23.79] mapped 4029 sequences
[M::worker_pipeline::14347.491*23.80] mapped 4303 sequences
[M::worker_pipeline::14479.740*23.90] mapped 4328 sequences
[M::worker_pipeline::14590.359*23.91] mapped 4146 sequences
[M::worker_pipeline::14705.921*23.87] mapped 3864 sequences
[M::worker_pipeline::14771.719*23.87] mapped 3864 sequences
[M::worker_pipeline::14859.082*23.90] mapped 3847 sequences
[M::worker_pipeline::15028.151*23.80] mapped 4009 sequences
[M::worker_pipeline::15151.458*23.85] mapped 4334 sequences
[M::worker_pipeline::15292.160*23.90] mapped 4219 sequences
[M::worker_pipeline::15408.632*23.85] mapped 4190 sequences
[M::worker_pipeline::15516.256*23.85] mapped 3925 sequences
[M::worker_pipeline::15644.326*23.80] mapped 3919 sequences
[M::worker_pipeline::15779.210*23.75] mapped 4043 sequences
[M::worker_pipeline::15929.599*23.68] mapped 4142 sequences
[M::worker_pipeline::16127.058*23.65] mapped 4394 sequences
[M::worker_pipeline::16240.022*23.69] mapped 4203 sequences
[M::worker_pipeline::16397.486*23.63] mapped 3977 sequences
[M::worker_pipeline::16481.428*23.62] mapped 3812 sequences
[M::worker_pipeline::16607.136*23.67] mapped 3778 sequences
[M::worker_pipeline::16657.042*23.63] mapped 3846 sequences
[M::worker_pipeline::16771.404*23.62] mapped 4004 sequences
[M::worker_pipeline::16966.436*23.56] mapped 4248 sequences
[M::worker_pipeline::17096.544*23.55] mapped 4096 sequences
[M::worker_pipeline::17218.836*23.59] mapped 4184 sequences
[M::worker_pipeline::17308.452*23.63] mapped 4465 sequences
[M::worker_pipeline::17451.472*23.57] mapped 4329 sequences
[M::worker_pipeline::17549.554*23.59] mapped 4358 sequences
[M::worker_pipeline::17636.794*23.60] mapped 4549 sequences
[M::worker_pipeline::17778.550*23.62] mapped 4688 sequences
[M::worker_pipeline::17853.116*23.67] mapped 4461 sequences
[M::worker_pipeline::17921.575*23.71] mapped 4430 sequences
[M::worker_pipeline::17992.180*23.75] mapped 4499 sequences
[M::worker_pipeline::18057.783*23.79] mapped 4706 sequences
[M::worker_pipeline::18157.062*23.86] mapped 4635 sequences
[M::worker_pipeline::18241.175*23.90] mapped 4415 sequences
[M::worker_pipeline::18310.613*23.95] mapped 4441 sequences
[M::worker_pipeline::18453.389*23.91] mapped 4653 sequences
[M::worker_pipeline::18564.338*23.98] mapped 4678 sequences
[M::worker_pipeline::18658.709*23.99] mapped 4399 sequences
[M::worker_pipeline::18761.643*23.99] mapped 4376 sequences
[M::worker_pipeline::18898.716*24.09] mapped 4444 sequences
[M::worker_pipeline::18956.886*24.05] mapped 4649 sequences
[M::worker_pipeline::19048.416*24.12] mapped 4570 sequences
[M::worker_pipeline::19163.571*24.10] mapped 4352 sequences
[M::worker_pipeline::19267.485*24.12] mapped 4365 sequences
[M::worker_pipeline::19416.755*24.10] mapped 4480 sequences
[M::worker_pipeline::19538.625*24.15] mapped 4675 sequences
[M::worker_pipeline::19644.923*24.17] mapped 4466 sequences
[M::worker_pipeline::19701.743*24.22] mapped 4347 sequences
[M::worker_pipeline::19807.751*24.22] mapped 4406 sequences
[M::worker_pipeline::19961.278*24.15] mapped 4653 sequences
[M::worker_pipeline::20073.631*24.20] mapped 4665 sequences
[M::worker_pipeline::20207.161*24.15] mapped 4411 sequences
[M::worker_pipeline::20288.190*24.19] mapped 4336 sequences
[M::worker_pipeline::20389.719*24.19] mapped 4557 sequences
[M::worker_pipeline::20558.329*24.18] mapped 4721 sequences
[M::worker_pipeline::20662.600*24.18] mapped 4473 sequences
[M::worker_pipeline::20737.375*24.20] mapped 4385 sequences
[M::worker_pipeline::20846.847*24.19] mapped 4420 sequences
[M::worker_pipeline::21023.861*24.11] mapped 4612 sequences
[M::worker_pipeline::21105.374*24.16] mapped 4717 sequences
[M::worker_pipeline::21246.150*24.21] mapped 4494 sequences
[M::worker_pipeline::21301.823*24.17] mapped 4442 sequences
[M::worker_pipeline::21383.438*24.18] mapped 4546 sequences
[M::worker_pipeline::21519.609*24.21] mapped 4746 sequences
[M::worker_pipeline::21585.785*24.23] mapped 4547 sequences
[M::worker_pipeline::21647.552*24.27] mapped 4429 sequences
[M::worker_pipeline::21723.892*24.30] mapped 4534 sequences
[M::worker_pipeline::21852.306*24.31] mapped 4738 sequences
[M::worker_pipeline::21946.412*24.31] mapped 4509 sequences
[M::worker_pipeline::22031.030*24.31] mapped 4413 sequences
[M::worker_pipeline::22124.936*24.30] mapped 4502 sequences
[M::worker_pipeline::22182.314*24.34] mapped 4711 sequences
[M::worker_pipeline::22285.133*24.37] mapped 4589 sequences
[M::worker_pipeline::22387.310*24.34] mapped 4370 sequences
[M::worker_pipeline::22490.475*24.32] mapped 4385 sequences
[M::worker_pipeline::22603.461*24.32] mapped 4544 sequences
[M::worker_pipeline::22685.226*24.34] mapped 4714 sequences
