[M::mm_idx_gen::37.326*1.52] collected minimizers
[M::mm_idx_gen::40.649*2.77] sorted minimizers
[M::main::40.649*2.77] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::42.171*2.71] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::43.006*2.68] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::103.784*27.49] mapped 5739 sequences
[M::worker_pipeline::158.198*29.73] mapped 5555 sequences
[M::worker_pipeline::218.582*32.56] mapped 5891 sequences
[M::worker_pipeline::276.700*33.32] mapped 5635 sequences
[M::worker_pipeline::364.688*31.45] mapped 5628 sequences
[M::worker_pipeline::444.980*31.23] mapped 5909 sequences
[M::worker_pipeline::539.197*29.88] mapped 5673 sequences
[M::worker_pipeline::599.713*29.88] mapped 5822 sequences
[M::worker_pipeline::693.228*29.40] mapped 5845 sequences
[M::worker_pipeline::769.350*29.18] mapped 5634 sequences
[M::worker_pipeline::856.674*28.60] mapped 5946 sequences
[M::worker_pipeline::897.102*28.94] mapped 5698 sequences
[M::worker_pipeline::971.785*28.45] mapped 5689 sequences
[M::worker_pipeline::1044.569*28.55] mapped 5933 sequences
[M::worker_pipeline::1098.636*28.54] mapped 5663 sequences
[M::worker_pipeline::1161.895*28.55] mapped 5787 sequences
[M::worker_pipeline::1218.209*29.07] mapped 5833 sequences
[M::worker_pipeline::1290.073*28.67] mapped 5705 sequences
[M::worker_pipeline::1343.269*28.90] mapped 5961 sequences
[M::worker_pipeline::1405.129*28.93] mapped 5670 sequences
[M::worker_pipeline::1467.485*28.84] mapped 5732 sequences
[M::worker_pipeline::1564.283*29.61] mapped 5848 sequences
[M::worker_pipeline::1633.143*28.56] mapped 5647 sequences
[M::worker_pipeline::1696.025*28.77] mapped 5937 sequences
[M::worker_pipeline::1749.951*29.04] mapped 5642 sequences
[M::worker_pipeline::1819.763*29.02] mapped 5658 sequences
[M::worker_pipeline::1896.140*29.09] mapped 5957 sequences
[M::worker_pipeline::1936.955*29.23] mapped 5790 sequences
[M::worker_pipeline::1985.124*29.37] mapped 5870 sequences
[M::worker_pipeline::2062.560*29.60] mapped 5789 sequences
[M::worker_pipeline::2138.552*29.50] mapped 5622 sequences
[M::worker_pipeline::2202.298*29.58] mapped 5922 sequences
[M::worker_pipeline::2250.317*29.85] mapped 5688 sequences
[M::worker_pipeline::2307.052*29.94] mapped 5730 sequences
[M::worker_pipeline::2368.901*30.14] mapped 5869 sequences
[M::worker_pipeline::2448.748*30.11] mapped 5610 sequences
[M::worker_pipeline::2517.624*30.01] mapped 5817 sequences
[M::worker_pipeline::2617.210*30.01] mapped 4920 sequences
[M::worker_pipeline::2710.787*29.66] mapped 4444 sequences
[M::worker_pipeline::2839.890*29.15] mapped 4260 sequences
[M::worker_pipeline::2916.740*28.94] mapped 4228 sequences
[M::worker_pipeline::3058.447*28.19] mapped 4281 sequences
[M::worker_pipeline::3221.277*28.09] mapped 4591 sequences
[M::worker_pipeline::3330.188*27.38] mapped 4791 sequences
[M::worker_pipeline::3427.348*27.38] mapped 4704 sequences
[M::worker_pipeline::3502.769*27.31] mapped 4451 sequences
[M::worker_pipeline::3602.256*27.02] mapped 4267 sequences
[M::worker_pipeline::3735.012*26.57] mapped 4250 sequences
[M::worker_pipeline::3843.273*26.54] mapped 4244 sequences
[M::worker_pipeline::4073.902*25.65] mapped 4382 sequences
[M::worker_pipeline::4163.676*25.58] mapped 4690 sequences
[M::worker_pipeline::4294.659*25.45] mapped 4809 sequences
[M::worker_pipeline::4381.975*25.56] mapped 4721 sequences
[M::worker_pipeline::4487.863*25.37] mapped 4576 sequences
[M::worker_pipeline::4597.912*25.20] mapped 4362 sequences
[M::worker_pipeline::4890.332*24.06] mapped 4240 sequences
[M::worker_pipeline::4984.368*23.91] mapped 4356 sequences
[M::worker_pipeline::5038.646*23.99] mapped 4427 sequences
[M::worker_pipeline::5181.024*23.72] mapped 4740 sequences
[M::worker_pipeline::5305.363*23.67] mapped 4921 sequences
[M::worker_pipeline::5437.144*23.58] mapped 4818 sequences
[M::worker_pipeline::5535.846*23.47] mapped 4555 sequences
[M::worker_pipeline::5705.768*23.09] mapped 4449 sequences
[M::worker_pipeline::5786.091*23.10] mapped 4376 sequences
[M::worker_pipeline::6081.011*22.67] mapped 4392 sequences
[M::worker_pipeline::6132.215*22.54] mapped 4552 sequences
[M::worker_pipeline::6253.862*22.51] mapped 4926 sequences
[M::worker_pipeline::6414.803*22.52] mapped 5017 sequences
[M::worker_pipeline::6554.218*22.36] mapped 4749 sequences
[M::worker_pipeline::6636.861*22.42] mapped 4586 sequences
[M::worker_pipeline::6721.395*22.41] mapped 4401 sequences
