[M::mm_idx_gen::38.774*1.48] collected minimizers
[M::mm_idx_gen::43.487*2.96] sorted minimizers
[M::main::43.487*2.96] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::44.829*2.90] mid_occ = 892
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 25
[M::mm_idx_stat::45.457*2.87] distinct minimizers: 100277218 (38.70% are singletons); average occurrences: 5.856; average spacing: 5.308; total length: 3117292070
[M::worker_pipeline::103.975*23.08] mapped 37340 sequences
[M::worker_pipeline::158.018*24.66] mapped 36813 sequences
[M::worker_pipeline::226.538*24.48] mapped 33410 sequences
[M::worker_pipeline::305.683*25.29] mapped 45020 sequences
[M::worker_pipeline::375.250*26.77] mapped 42762 sequences
[M::worker_pipeline::441.929*27.28] mapped 38766 sequences
[M::worker_pipeline::529.099*27.20] mapped 37788 sequences
[M::worker_pipeline::596.663*27.67] mapped 37559 sequences
[M::worker_pipeline::688.867*27.32] mapped 40628 sequences
[M::worker_pipeline::782.505*27.49] mapped 36409 sequences
[M::worker_pipeline::873.788*27.47] mapped 31839 sequences
[M::worker_pipeline::968.042*27.14] mapped 37772 sequences
[M::worker_pipeline::1063.662*27.06] mapped 41369 sequences
[M::worker_pipeline::1195.229*25.96] mapped 39851 sequences
[M::worker_pipeline::1340.094*25.52] mapped 12218 sequences
[M::worker_pipeline::1438.206*25.35] mapped 44769 sequences
[M::worker_pipeline::1558.843*24.92] mapped 38600 sequences
[M::worker_pipeline::1675.415*25.06] mapped 20064 sequences
[M::worker_pipeline::1751.152*25.20] mapped 43846 sequences
[M::worker_pipeline::1847.857*25.09] mapped 38796 sequences
[M::worker_pipeline::2135.450*23.62] mapped 39646 sequences
[M::worker_pipeline::2144.974*23.53] mapped 37122 sequences
[M::worker_pipeline::2278.900*23.54] mapped 34574 sequences
[M::worker_pipeline::2430.539*23.09] mapped 31209 sequences
[M::worker_pipeline::2522.310*23.16] mapped 41139 sequences
[M::worker_pipeline::2641.842*23.10] mapped 35185 sequences
[M::worker_pipeline::2815.203*22.54] mapped 37033 sequences
[M::worker_pipeline::2903.250*22.61] mapped 40253 sequences
[M::worker_pipeline::3017.391*22.60] mapped 35057 sequences
[M::worker_pipeline::3105.938*22.73] mapped 35629 sequences
[M::worker_pipeline::3216.696*22.80] mapped 31197 sequences
[M::worker_pipeline::3300.736*22.84] mapped 40508 sequences
[M::worker_pipeline::3394.109*22.86] mapped 36902 sequences
[M::worker_pipeline::3476.061*23.02] mapped 34343 sequences
[M::worker_pipeline::3572.064*23.12] mapped 37845 sequences
[M::worker_pipeline::3672.086*23.14] mapped 37531 sequences
[M::worker_pipeline::3881.010*22.58] mapped 35191 sequences
[M::worker_pipeline::3940.390*22.79] mapped 41281 sequences
[M::worker_pipeline::4047.495*22.84] mapped 35073 sequences
[M::worker_pipeline::4142.155*22.88] mapped 36266 sequences
[M::worker_pipeline::4339.561*22.79] mapped 35262 sequences
[M::worker_pipeline::4348.034*22.75] mapped 40104 sequences
[M::worker_pipeline::4437.309*22.92] mapped 37849 sequences
[M::worker_pipeline::4549.392*22.88] mapped 36207 sequences
[M::worker_pipeline::4741.256*22.53] mapped 29885 sequences
[M::worker_pipeline::4857.725*22.47] mapped 38202 sequences
[M::worker_pipeline::4952.380*22.51] mapped 37432 sequences
[M::worker_pipeline::5045.635*22.68] mapped 27789 sequences
[M::worker_pipeline::5152.010*22.65] mapped 31305 sequences
[M::worker_pipeline::5277.941*22.64] mapped 37322 sequences
[M::worker_pipeline::5348.636*22.78] mapped 37187 sequences
[M::worker_pipeline::5529.027*22.50] mapped 38916 sequences
[M::worker_pipeline::5645.838*22.50] mapped 33034 sequences
[M::worker_pipeline::5729.825*22.57] mapped 32152 sequences
[M::worker_pipeline::5786.051*22.74] mapped 40236 sequences
[M::worker_pipeline::5967.387*22.42] mapped 46088 sequences
[M::worker_pipeline::6085.958*22.38] mapped 38630 sequences
[M::worker_pipeline::6142.664*22.51] mapped 45265 sequences
[M::worker_pipeline::6231.094*22.57] mapped 40599 sequences
[M::worker_pipeline::6336.832*22.56] mapped 32369 sequences
[M::worker_pipeline::6662.180*22.11] mapped 40404 sequences
[M::worker_pipeline::6671.985*22.08] mapped 39039 sequences
