[M::mm_idx_gen::52.799*1.48] collected minimizers
[M::mm_idx_gen::55.317*2.06] sorted minimizers
[M::main::55.317*2.06] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::60.148*1.98] mid_occ = 177
[M::mm_idx_stat] kmer size: 19; skip: 19; is_hpc: 0; #seq: 25
[M::mm_idx_stat::63.793*1.92] distinct minimizers: 215125355 (92.06% are singletons); average occurrences: 1.455; average spacing: 9.958; total length: 3117292070
[M::worker_pipeline::96.385*10.66] mapped 5636 sequences
[M::worker_pipeline::110.195*13.86] mapped 17055 sequences
[M::worker_pipeline::125.284*15.83] mapped 19791 sequences
[M::worker_pipeline::147.269*16.71] mapped 5407 sequences
[M::worker_pipeline::162.394*17.84] mapped 5614 sequences
[M::worker_pipeline::171.634*18.55] mapped 26826 sequences
[M::worker_pipeline::187.983*19.97] mapped 8265 sequences
[M::worker_pipeline::201.437*20.80] mapped 5580 sequences
[M::worker_pipeline::217.572*21.78] mapped 6068 sequences
[M::worker_pipeline::234.005*22.39] mapped 5739 sequences
[M::worker_pipeline::244.712*22.97] mapped 27114 sequences
[M::worker_pipeline::264.202*23.58] mapped 10000 sequences
[M::worker_pipeline::280.672*24.19] mapped 6067 sequences
[M::worker_pipeline::295.793*24.68] mapped 5934 sequences
[M::worker_pipeline::311.576*25.18] mapped 6203 sequences
[M::worker_pipeline::329.666*25.57] mapped 5942 sequences
[M::worker_pipeline::345.008*25.83] mapped 5839 sequences
[M::worker_pipeline::361.213*26.28] mapped 11685 sequences
[M::worker_pipeline::374.083*26.62] mapped 29079 sequences
[M::worker_pipeline::391.073*26.90] mapped 24691 sequences
[M::worker_pipeline::407.455*27.32] mapped 14705 sequences
[M::worker_pipeline::425.090*27.32] mapped 17050 sequences
[M::worker_pipeline::443.199*27.66] mapped 5988 sequences
[M::worker_pipeline::455.766*27.88] mapped 12205 sequences
[M::worker_pipeline::468.994*28.06] mapped 23468 sequences
[M::worker_pipeline::487.926*28.19] mapped 5786 sequences
[M::worker_pipeline::503.259*28.38] mapped 6231 sequences
[M::worker_pipeline::519.785*28.59] mapped 5695 sequences
[M::worker_pipeline::539.113*28.60] mapped 6150 sequences
[M::worker_pipeline::556.083*28.70] mapped 5957 sequences
[M::worker_pipeline::569.065*28.86] mapped 17059 sequences
[M::worker_pipeline::582.293*28.95] mapped 17823 sequences
[M::worker_pipeline::598.856*29.02] mapped 5987 sequences
[M::worker_pipeline::612.713*29.15] mapped 15919 sequences
[M::worker_pipeline::624.298*29.29] mapped 28721 sequences
[M::worker_pipeline::639.470*29.42] mapped 21099 sequences
[M::worker_pipeline::657.226*29.43] mapped 5868 sequences
[M::worker_pipeline::671.524*29.49] mapped 6325 sequences
[M::worker_pipeline::686.099*29.48] mapped 5648 sequences
[M::worker_pipeline::701.739*29.54] mapped 6521 sequences
[M::worker_pipeline::718.249*29.45] mapped 5646 sequences
[M::worker_pipeline::729.721*29.51] mapped 29000 sequences
[M::worker_pipeline::743.282*29.65] mapped 29645 sequences
[M::worker_pipeline::756.788*29.76] mapped 8291 sequences
[M::worker_pipeline::771.130*29.84] mapped 5845 sequences
[M::worker_pipeline::783.167*29.91] mapped 26727 sequences
[M::worker_pipeline::800.184*30.03] mapped 9730 sequences
[M::worker_pipeline::817.845*30.09] mapped 6040 sequences
[M::worker_pipeline::835.474*30.15] mapped 6182 sequences
[M::worker_pipeline::850.634*30.18] mapped 6109 sequences
[M::worker_pipeline::866.930*30.24] mapped 6246 sequences
[M::worker_pipeline::877.996*30.30] mapped 18137 sequences
[M::worker_pipeline::891.498*30.36] mapped 18572 sequences
[M::worker_pipeline::906.503*30.41] mapped 5706 sequences
[M::worker_pipeline::920.181*30.49] mapped 15500 sequences
[M::worker_pipeline::936.543*30.53] mapped 20685 sequences
[M::worker_pipeline::953.029*30.59] mapped 6495 sequences
[M::worker_pipeline::967.909*30.63] mapped 6166 sequences
[M::worker_pipeline::980.483*30.71] mapped 18419 sequences
[M::worker_pipeline::994.375*30.74] mapped 19410 sequences
[M::worker_pipeline::1010.579*30.72] mapped 23798 sequences
[M::worker_pipeline::1024.870*30.79] mapped 9042 sequences
[M::worker_pipeline::1038.447*30.85] mapped 24371 sequences
[M::worker_pipeline::1051.886*30.93] mapped 20801 sequences
[M::worker_pipeline::1065.517*30.97] mapped 18874 sequences
[M::worker_pipeline::1082.027*31.01] mapped 5589 sequences
[M::worker_pipeline::1096.732*31.00] mapped 9247 sequences
[M::worker_pipeline::1112.455*31.02] mapped 26616 sequences
[M::worker_pipeline::1135.311*30.94] mapped 5482 sequences
[M::worker_pipeline::1149.962*30.94] mapped 5567 sequences
[M::worker_pipeline::1163.088*31.00] mapped 26472 sequences
[M::worker_pipeline::1178.679*31.05] mapped 8757 sequences
[M::worker_pipeline::1193.931*31.09] mapped 5555 sequences
[M::worker_pipeline::1208.668*31.08] mapped 5522 sequences
[M::worker_pipeline::1229.973*30.94] mapped 6854 sequences
[M::worker_pipeline::1241.596*30.98] mapped 27680 sequences
[M::worker_pipeline::1257.895*31.00] mapped 5588 sequences
[M::worker_pipeline::1273.503*31.00] mapped 5671 sequences
[M::worker_pipeline::1285.011*31.05] mapped 27275 sequences
[M::worker_pipeline::1305.184*31.02] mapped 7968 sequences
[M::worker_pipeline::1517.033*27.18] mapped 5613 sequences
[M::worker_pipeline::1524.756*27.19] mapped 24190 sequences
[M::worker_pipeline::1543.775*27.27] mapped 13120 sequences
[M::worker_pipeline::1560.749*27.33] mapped 5538 sequences
[M::worker_pipeline::1575.253*27.39] mapped 5424 sequences
[M::worker_pipeline::1593.422*27.42] mapped 5794 sequences
[M::worker_pipeline::1609.117*27.45] mapped 5585 sequences
[M::worker_pipeline::1624.050*27.50] mapped 5697 sequences
[M::worker_pipeline::1636.920*27.54] mapped 5402 sequences
[M::worker_pipeline::1651.297*27.62] mapped 28907 sequences
[M::worker_pipeline::1669.895*27.68] mapped 8950 sequences
[M::worker_pipeline::1682.230*27.74] mapped 26508 sequences
[M::worker_pipeline::1699.192*27.79] mapped 9721 sequences
[M::worker_pipeline::1715.483*27.82] mapped 5773 sequences
[M::worker_pipeline::1731.005*27.85] mapped 5662 sequences
[M::worker_pipeline::1743.647*27.92] mapped 19753 sequences
[M::worker_pipeline::1757.883*27.96] mapped 18858 sequences
[M::worker_pipeline::1772.050*28.00] mapped 5699 sequences
[M::worker_pipeline::1790.258*28.02] mapped 7691 sequences
[M::worker_pipeline::1803.416*28.06] mapped 28503 sequences
[M::worker_pipeline::1820.787*28.13] mapped 5570 sequences
[M::worker_pipeline::1838.710*28.18] mapped 5710 sequences
[M::worker_pipeline::1853.751*28.21] mapped 5897 sequences
[M::worker_pipeline::1867.586*28.27] mapped 20014 sequences
[M::worker_pipeline::1884.601*28.31] mapped 17587 sequences
[M::worker_pipeline::1902.187*28.36] mapped 5799 sequences
[M::worker_pipeline::1919.708*28.36] mapped 6072 sequences
[M::worker_pipeline::1935.625*28.43] mapped 5765 sequences
[M::worker_pipeline::1948.529*28.48] mapped 12500 sequences
[M::worker_pipeline::1966.789*28.54] mapped 24707 sequences
[M::worker_pipeline::1984.713*28.56] mapped 5907 sequences
[M::worker_pipeline::2001.691*28.61] mapped 5918 sequences
[M::worker_pipeline::2013.100*28.65] mapped 29553 sequences
[M::worker_pipeline::2025.403*28.70] mapped 30941 sequences
[M::worker_pipeline::2042.120*28.74] mapped 9382 sequences
[M::worker_pipeline::2053.507*28.77] mapped 6207 sequences
[M::worker_pipeline::2065.118*28.82] mapped 28226 sequences
[M::worker_pipeline::2079.115*28.84] mapped 9248 sequences
[M::worker_pipeline::2094.473*28.87] mapped 6117 sequences
[M::worker_pipeline::2105.402*28.90] mapped 28233 sequences
[M::worker_pipeline::2125.597*28.86] mapped 9767 sequences
[M::worker_pipeline::2139.679*28.90] mapped 6328 sequences
[M::worker_pipeline::2151.673*28.92] mapped 6118 sequences
[M::worker_pipeline::2166.259*28.93] mapped 5767 sequences
[M::worker_pipeline::2176.928*28.97] mapped 21631 sequences
[M::worker_pipeline::2191.556*29.01] mapped 16018 sequences
[M::worker_pipeline::2207.401*29.05] mapped 6270 sequences
[M::worker_pipeline::2224.420*29.07] mapped 18186 sequences
[M::worker_pipeline::2240.162*29.11] mapped 19892 sequences
[M::worker_pipeline::2256.124*29.16] mapped 6445 sequences
[M::worker_pipeline::2269.132*29.19] mapped 11847 sequences
[M::worker_pipeline::2283.768*29.22] mapped 25890 sequences
[M::worker_pipeline::2299.145*29.26] mapped 13641 sequences
[M::worker_pipeline::2313.730*29.30] mapped 26144 sequences
[M::worker_pipeline::2333.980*29.31] mapped 6260 sequences
[M::worker_pipeline::2349.455*29.34] mapped 15851 sequences
[M::worker_pipeline::2365.626*29.34] mapped 5906 sequences
[M::worker_pipeline::2378.842*29.38] mapped 19973 sequences
[M::worker_pipeline::2394.492*29.40] mapped 20600 sequences
[M::worker_pipeline::2415.211*29.42] mapped 6118 sequences
[M::worker_pipeline::2428.857*29.46] mapped 17928 sequences
[M::worker_pipeline::2447.052*29.47] mapped 21122 sequences
[M::worker_pipeline::2465.714*29.48] mapped 6148 sequences
[M::worker_pipeline::2482.207*29.46] mapped 12990 sequences
[M::worker_pipeline::2498.265*29.48] mapped 25648 sequences
[M::worker_pipeline::2518.204*29.50] mapped 6527 sequences
[M::worker_pipeline::2533.564*29.53] mapped 18915 sequences
[M::worker_pipeline::2564.943*29.42] mapped 14308 sequences
[M::worker_pipeline::2578.081*29.45] mapped 16310 sequences
[M::worker_pipeline::2594.311*29.49] mapped 15723 sequences
[M::worker_pipeline::2610.842*29.53] mapped 15370 sequences
[M::worker_pipeline::2626.341*29.56] mapped 16102 sequences
[M::worker_pipeline::2647.069*29.56] mapped 14991 sequences
[M::worker_pipeline::2663.271*29.61] mapped 20555 sequences
[M::worker_pipeline::2676.798*29.63] mapped 17076 sequences
[M::worker_pipeline::2691.234*29.67] mapped 14969 sequences
[M::worker_pipeline::2708.710*29.69] mapped 20046 sequences
[M::worker_pipeline::2724.076*29.72] mapped 18268 sequences
[M::worker_pipeline::2740.375*29.75] mapped 21416 sequences
[M::worker_pipeline::2965.803*27.72] mapped 11104 sequences
[M::worker_pipeline::2975.539*27.74] mapped 20908 sequences
[M::worker_pipeline::2990.544*27.77] mapped 16119 sequences
[M::worker_pipeline::3005.513*27.81] mapped 5896 sequences
[M::worker_pipeline::3019.370*27.85] mapped 16675 sequences
[M::worker_pipeline::3033.760*27.88] mapped 17407 sequences
[M::worker_pipeline::3048.748*27.91] mapped 6209 sequences
[M::worker_pipeline::3061.179*27.94] mapped 6066 sequences
[M::worker_pipeline::3073.409*27.97] mapped 5986 sequences
[M::worker_pipeline::3086.593*28.01] mapped 13769 sequences
[M::worker_pipeline::3102.577*28.02] mapped 7467 sequences
[M::worker_pipeline::3114.799*28.05] mapped 22729 sequences
[M::worker_pipeline::3134.146*28.08] mapped 5953 sequences
[M::worker_pipeline::3153.599*28.07] mapped 6084 sequences
[M::worker_pipeline::3166.309*28.09] mapped 28006 sequences
[M::worker_pipeline::3180.915*28.12] mapped 10079 sequences
[M::worker_pipeline::3195.994*28.13] mapped 5903 sequences
[M::worker_pipeline::3213.558*28.14] mapped 6019 sequences
[M::worker_pipeline::3227.106*28.18] mapped 16056 sequences
[M::worker_pipeline::3237.491*28.20] mapped 29170 sequences
[M::worker_pipeline::3251.106*28.23] mapped 20684 sequences
[M::worker_pipeline::3266.484*28.26] mapped 5883 sequences
[M::worker_pipeline::3280.407*28.30] mapped 5918 sequences
[M::worker_pipeline::3295.517*28.31] mapped 5984 sequences
[M::worker_pipeline::3309.968*28.34] mapped 6306 sequences
[M::worker_pipeline::3323.420*28.36] mapped 5993 sequences
[M::worker_pipeline::3336.065*28.39] mapped 29284 sequences
[M::worker_pipeline::3351.151*28.42] mapped 28444 sequences
[M::worker_pipeline::3367.876*28.46] mapped 7301 sequences
[M::worker_pipeline::3380.143*28.48] mapped 25907 sequences
[M::worker_pipeline::3398.056*28.50] mapped 7725 sequences
[M::worker_pipeline::3422.234*28.45] mapped 5894 sequences
[M::worker_pipeline::3435.739*28.47] mapped 6164 sequences
[M::worker_pipeline::3449.991*28.48] mapped 5798 sequences
[M::worker_pipeline::3460.758*28.51] mapped 18017 sequences
[M::worker_pipeline::3474.308*28.53] mapped 20241 sequences
[M::worker_pipeline::3492.165*28.52] mapped 6325 sequences
[M::worker_pipeline::3503.766*28.54] mapped 15105 sequences
[M::worker_pipeline::3519.373*28.55] mapped 19865 sequences
[M::worker_pipeline::3536.002*28.57] mapped 5681 sequences
[M::worker_pipeline::3549.396*28.59] mapped 5723 sequences
[M::worker_pipeline::3562.609*28.61] mapped 6022 sequences
[M::worker_pipeline::3576.492*28.62] mapped 5785 sequences
[M::worker_pipeline::3591.503*28.63] mapped 16263 sequences
[M::worker_pipeline::3606.113*28.63] mapped 21639 sequences
[M::worker_pipeline::3623.981*28.67] mapped 6013 sequences
[M::worker_pipeline::3636.451*28.69] mapped 5951 sequences
[M::worker_pipeline::3655.011*28.68] mapped 6163 sequences
[M::worker_pipeline::3668.984*28.71] mapped 13504 sequences
[M::worker_pipeline::3682.715*28.74] mapped 28664 sequences
[M::worker_pipeline::3697.473*28.76] mapped 26710 sequences
[M::worker_pipeline::3714.212*28.77] mapped 5665 sequences
[M::worker_pipeline::3727.841*28.79] mapped 6290 sequences
[M::worker_pipeline::3745.250*28.81] mapped 6210 sequences
[M::worker_pipeline::3758.541*28.83] mapped 5931 sequences
