[M::mm_idx_gen::66.380*1.55] collected minimizers
[M::mm_idx_gen::68.914*2.42] sorted minimizers
[M::main::68.915*2.42] loaded/built the index for 1050 target sequence(s)
[M::mm_mapopt_update::72.005*2.36] mid_occ = 334
[M::mm_idx_stat] kmer size: 19; skip: 19; is_hpc: 0; #seq: 1050
[M::mm_idx_stat::74.333*2.32] distinct minimizers: 219018737 (8.15% are singletons); average occurrences: 2.774; average spacing: 9.967; total length: 6056284083
[M::worker_pipeline::100.673*8.20] mapped 19741 sequences
[M::worker_pipeline::114.630*10.99] mapped 4151 sequences
[M::worker_pipeline::129.612*13.55] mapped 10354 sequences
[M::worker_pipeline::145.071*15.07] mapped 10917 sequences
[M::worker_pipeline::164.295*16.49] mapped 11487 sequences
[M::worker_pipeline::181.029*17.81] mapped 6828 sequences
[M::worker_pipeline::194.566*19.12] mapped 10828 sequences
[M::worker_pipeline::211.548*20.31] mapped 11930 sequences
[M::worker_pipeline::233.899*21.46] mapped 8820 sequences
[M::worker_pipeline::251.266*22.26] mapped 8521 sequences
[M::worker_pipeline::266.566*22.55] mapped 11089 sequences
[M::worker_pipeline::286.064*22.68] mapped 8546 sequences
[M::worker_pipeline::305.893*22.87] mapped 8463 sequences
[M::worker_pipeline::322.005*23.33] mapped 14436 sequences
[M::worker_pipeline::342.157*23.39] mapped 8361 sequences
[M::worker_pipeline::357.476*23.86] mapped 6658 sequences
[M::worker_pipeline::371.218*24.15] mapped 8935 sequences
[M::worker_pipeline::387.661*24.35] mapped 10757 sequences
[M::worker_pipeline::409.622*24.62] mapped 8491 sequences
[M::worker_pipeline::456.594*23.40] mapped 7292 sequences
[M::worker_pipeline::479.687*23.69] mapped 10187 sequences
[M::worker_pipeline::493.392*23.78] mapped 7233 sequences
[M::worker_pipeline::517.759*24.12] mapped 8815 sequences
[M::worker_pipeline::532.444*24.32] mapped 7949 sequences
[M::worker_pipeline::571.330*23.72] mapped 9359 sequences
[M::worker_pipeline::588.424*23.89] mapped 8466 sequences
