[M::mm_idx_gen::73.930*1.59] collected minimizers
[M::mm_idx_gen::76.489*2.52] sorted minimizers
[M::main::76.489*2.52] loaded/built the index for 1551 target sequence(s)
[M::mm_mapopt_update::79.766*2.45] mid_occ = 342
[M::mm_idx_stat] kmer size: 19; skip: 19; is_hpc: 0; #seq: 1551
[M::mm_idx_stat::82.206*2.41] distinct minimizers: 218116004 (3.66% are singletons); average occurrences: 2.841; average spacing: 9.968; total length: 6177272676
[M::worker_pipeline::113.165*7.44] mapped 18674 sequences
[M::worker_pipeline::137.835*10.24] mapped 12379 sequences
[M::worker_pipeline::147.921*10.89] mapped 9957 sequences
[M::worker_pipeline::167.917*13.14] mapped 11970 sequences
[M::worker_pipeline::197.409*13.94] mapped 11938 sequences
[M::worker_pipeline::230.123*15.43] mapped 8006 sequences
[M::worker_pipeline::259.487*16.61] mapped 11267 sequences
[M::worker_pipeline::285.459*16.28] mapped 11962 sequences
[M::worker_pipeline::334.524*17.21] mapped 12828 sequences
[M::worker_pipeline::351.288*16.43] mapped 12446 sequences
[M::worker_pipeline::423.875*16.96] mapped 11863 sequences
[M::worker_pipeline::445.328*17.46] mapped 12615 sequences
[M::worker_pipeline::479.490*18.28] mapped 12147 sequences
[M::worker_pipeline::507.155*18.93] mapped 9783 sequences
[M::worker_pipeline::539.953*18.90] mapped 8409 sequences
[M::worker_pipeline::554.396*19.11] mapped 19280 sequences
[M::worker_pipeline::562.474*19.18] mapped 12598 sequences
[M::worker_pipeline::580.565*19.57] mapped 9163 sequences
[M::worker_pipeline::602.325*19.63] mapped 8171 sequences
[M::worker_pipeline::625.765*19.43] mapped 7518 sequences
[M::worker_pipeline::637.531*19.63] mapped 9113 sequences
[M::worker_pipeline::657.853*19.73] mapped 8347 sequences
[M::worker_pipeline::672.766*19.95] mapped 11227 sequences
[M::worker_pipeline::692.902*19.51] mapped 10464 sequences
[M::worker_pipeline::746.713*19.33] mapped 8298 sequences
[M::worker_pipeline::761.690*19.03] mapped 8804 sequences
[M::worker_pipeline::799.367*18.67] mapped 7984 sequences
[M::worker_pipeline::828.315*18.86] mapped 8505 sequences
[M::worker_pipeline::845.111*18.90] mapped 10528 sequences
[M::worker_pipeline::860.637*19.09] mapped 8411 sequences
[M::worker_pipeline::877.190*19.27] mapped 14084 sequences
[M::worker_pipeline::885.504*19.34] mapped 7952 sequences
[M::worker_pipeline::911.591*19.35] mapped 8196 sequences
[M::worker_pipeline::926.949*19.48] mapped 7686 sequences
[M::worker_pipeline::942.459*19.68] mapped 9952 sequences
