[M::mm_idx_gen::47.614*1.48] collected minimizers
[M::mm_idx_gen::50.713*2.23] sorted minimizers
[M::main::50.713*2.23] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::55.293*2.13] mid_occ = 177
[M::mm_idx_stat] kmer size: 19; skip: 19; is_hpc: 0; #seq: 25
[M::mm_idx_stat::58.889*2.06] distinct minimizers: 215125355 (92.06% are singletons); average occurrences: 1.455; average spacing: 9.958; total length: 3117292070
[M::worker_pipeline::86.645*10.47] mapped 5064 sequences
[M::worker_pipeline::99.043*13.69] mapped 24241 sequences
[M::worker_pipeline::127.711*14.93] mapped 13908 sequences
[M::worker_pipeline::139.263*16.46] mapped 40238 sequences
[M::worker_pipeline::154.085*18.06] mapped 15425 sequences
[M::worker_pipeline::167.501*19.22] mapped 4891 sequences
[M::worker_pipeline::186.973*20.36] mapped 29290 sequences
[M::worker_pipeline::203.885*21.39] mapped 4826 sequences
[M::worker_pipeline::218.391*22.22] mapped 9250 sequences
[M::worker_pipeline::229.596*22.73] mapped 34255 sequences
[M::worker_pipeline::243.829*23.44] mapped 24348 sequences
[M::worker_pipeline::262.091*23.87] mapped 4817 sequences
[M::worker_pipeline::282.210*24.20] mapped 13353 sequences
[M::worker_pipeline::296.883*24.65] mapped 4813 sequences
[M::worker_pipeline::318.139*24.54] mapped 11816 sequences
[M::worker_pipeline::331.491*24.93] mapped 14680 sequences
[M::worker_pipeline::343.283*25.18] mapped 30096 sequences
[M::worker_pipeline::370.499*24.80] mapped 4946 sequences
[M::worker_pipeline::384.308*25.09] mapped 10710 sequences
[M::worker_pipeline::398.342*25.41] mapped 39843 sequences
[M::worker_pipeline::414.689*25.68] mapped 15946 sequences
[M::worker_pipeline::430.934*25.83] mapped 13993 sequences
[M::worker_pipeline::447.164*26.08] mapped 4821 sequences
[M::worker_pipeline::462.052*26.35] mapped 4839 sequences
[M::worker_pipeline::475.418*26.59] mapped 4826 sequences
[M::worker_pipeline::486.492*26.73] mapped 4771 sequences
[M::worker_pipeline::505.652*26.91] mapped 4807 sequences
[M::worker_pipeline::522.894*27.14] mapped 5034 sequences
[M::worker_pipeline::544.002*26.94] mapped 19471 sequences
[M::worker_pipeline::557.851*27.15] mapped 8391 sequences
[M::worker_pipeline::570.574*27.25] mapped 30567 sequences
[M::worker_pipeline::590.221*27.36] mapped 6893 sequences
[M::worker_pipeline::614.038*27.24] mapped 4992 sequences
[M::worker_pipeline::626.729*27.42] mapped 22900 sequences
[M::worker_pipeline::647.685*27.28] mapped 9455 sequences
[M::worker_pipeline::658.570*27.39] mapped 24598 sequences
[M::worker_pipeline::673.877*27.52] mapped 9032 sequences
[M::worker_pipeline::688.082*27.56] mapped 4653 sequences
[M::worker_pipeline::698.723*27.62] mapped 8741 sequences
[M::worker_pipeline::711.850*27.72] mapped 10463 sequences
[M::worker_pipeline::724.191*27.88] mapped 4665 sequences
[M::worker_pipeline::740.410*27.93] mapped 9961 sequences
[M::worker_pipeline::754.912*27.95] mapped 4691 sequences
[M::worker_pipeline::763.430*27.97] mapped 40565 sequences
[M::worker_pipeline::786.263*27.85] mapped 22370 sequences
[M::worker_pipeline::806.778*27.88] mapped 4716 sequences
[M::worker_pipeline::824.907*27.89] mapped 7094 sequences
[M::worker_pipeline::837.830*27.97] mapped 8607 sequences
[M::worker_pipeline::855.703*27.88] mapped 4712 sequences
[M::worker_pipeline::867.485*27.94] mapped 6317 sequences
[M::worker_pipeline::880.301*28.06] mapped 15516 sequences
[M::worker_pipeline::887.634*28.03] mapped 47101 sequences
[M::worker_pipeline::906.411*28.20] mapped 13786 sequences
[M::worker_pipeline::928.198*28.14] mapped 4850 sequences
[M::worker_pipeline::945.993*28.09] mapped 4934 sequences
[M::worker_pipeline::962.017*28.00] mapped 4839 sequences
[M::worker_pipeline::976.528*28.05] mapped 4843 sequences
[M::worker_pipeline::993.760*28.02] mapped 4739 sequences
[M::worker_pipeline::1011.178*28.07] mapped 4858 sequences
[M::worker_pipeline::1025.825*28.14] mapped 4959 sequences
[M::worker_pipeline::1036.490*28.21] mapped 31776 sequences
[M::worker_pipeline::1048.902*28.25] mapped 19210 sequences
[M::worker_pipeline::1061.719*28.31] mapped 21139 sequences
[M::worker_pipeline::1079.822*28.29] mapped 7515 sequences
[M::worker_pipeline::1094.350*28.33] mapped 7841 sequences
[M::worker_pipeline::1111.680*28.25] mapped 5062 sequences
[M::worker_pipeline::1126.024*28.26] mapped 11890 sequences
[M::worker_pipeline::1139.614*28.31] mapped 5110 sequences
[M::worker_pipeline::1154.378*28.27] mapped 8696 sequences
[M::worker_pipeline::1167.456*28.32] mapped 12005 sequences
[M::worker_pipeline::1179.735*28.40] mapped 16427 sequences
[M::worker_pipeline::1193.193*28.45] mapped 12938 sequences
[M::worker_pipeline::1206.767*28.47] mapped 14368 sequences
[M::worker_pipeline::1222.002*28.45] mapped 9192 sequences
[M::worker_pipeline::1235.994*28.53] mapped 9394 sequences
[M::worker_pipeline::1247.348*28.57] mapped 14046 sequences
[M::worker_pipeline::1260.306*28.62] mapped 7721 sequences
[M::worker_pipeline::1270.586*28.68] mapped 22439 sequences
[M::worker_pipeline::1286.769*28.76] mapped 15949 sequences
[M::worker_pipeline::1301.980*28.74] mapped 22109 sequences
[M::worker_pipeline::1499.910*25.35] mapped 17664 sequences
[M::worker_pipeline::1507.587*25.33] mapped 4819 sequences
[M::worker_pipeline::1522.918*25.43] mapped 26042 sequences
[M::worker_pipeline::1539.560*25.47] mapped 4653 sequences
[M::worker_pipeline::1555.582*25.54] mapped 5066 sequences
[M::worker_pipeline::1568.345*25.63] mapped 9683 sequences
[M::worker_pipeline::1582.573*25.64] mapped 14044 sequences
[M::worker_pipeline::1597.128*25.71] mapped 5577 sequences
[M::worker_pipeline::1625.499*25.59] mapped 5200 sequences
[M::worker_pipeline::1653.404*25.44] mapped 5232 sequences
[M::worker_pipeline::1665.925*25.52] mapped 4676 sequences
[M::worker_pipeline::1680.425*25.59] mapped 4859 sequences
[M::worker_pipeline::1697.831*25.58] mapped 5300 sequences
[M::worker_pipeline::1714.986*25.58] mapped 4959 sequences
[M::worker_pipeline::1728.640*25.63] mapped 4803 sequences
[M::worker_pipeline::1751.712*25.55] mapped 13182 sequences
[M::worker_pipeline::1761.938*25.62] mapped 32337 sequences
[M::worker_pipeline::1776.560*25.66] mapped 27761 sequences
[M::worker_pipeline::1791.501*25.71] mapped 4629 sequences
[M::worker_pipeline::1805.834*25.75] mapped 7600 sequences
[M::worker_pipeline::1816.470*25.79] mapped 17810 sequences
[M::worker_pipeline::1835.090*25.77] mapped 4995 sequences
[M::worker_pipeline::1848.273*25.81] mapped 4660 sequences
[M::worker_pipeline::1861.031*25.85] mapped 4891 sequences
[M::worker_pipeline::1875.111*25.87] mapped 4871 sequences
[M::worker_pipeline::1891.147*25.91] mapped 4850 sequences
[M::worker_pipeline::1906.301*25.97] mapped 5018 sequences
[M::worker_pipeline::1921.129*26.01] mapped 4936 sequences
[M::worker_pipeline::1936.513*26.03] mapped 4871 sequences
[M::worker_pipeline::1948.560*26.09] mapped 5830 sequences
[M::worker_pipeline::1960.101*26.14] mapped 28461 sequences
[M::worker_pipeline::1979.189*26.17] mapped 4578 sequences
[M::worker_pipeline::1992.432*26.22] mapped 4967 sequences
[M::worker_pipeline::2005.212*26.26] mapped 4807 sequences
[M::worker_pipeline::2019.927*26.33] mapped 14401 sequences
[M::worker_pipeline::2035.666*26.37] mapped 4878 sequences
[M::worker_pipeline::2047.794*26.43] mapped 14846 sequences
[M::worker_pipeline::2059.543*26.47] mapped 29023 sequences
[M::worker_pipeline::2074.736*26.52] mapped 9039 sequences
[M::worker_pipeline::2088.447*26.54] mapped 4839 sequences
[M::worker_pipeline::2104.565*26.55] mapped 8496 sequences
[M::worker_pipeline::2118.295*26.57] mapped 19127 sequences
[M::worker_pipeline::2133.863*26.60] mapped 4661 sequences
[M::worker_pipeline::2150.421*26.63] mapped 4869 sequences
[M::worker_pipeline::2165.682*26.66] mapped 7146 sequences
[M::worker_pipeline::2178.066*26.70] mapped 8039 sequences
[M::worker_pipeline::2192.153*26.72] mapped 4884 sequences
[M::worker_pipeline::2206.073*26.78] mapped 12324 sequences
[M::worker_pipeline::2220.175*26.82] mapped 22003 sequences
[M::worker_pipeline::2236.102*26.83] mapped 5022 sequences
[M::worker_pipeline::2261.225*26.74] mapped 4654 sequences
[M::worker_pipeline::2274.619*26.77] mapped 14721 sequences
[M::worker_pipeline::2301.988*26.67] mapped 16813 sequences
[M::worker_pipeline::2318.107*26.69] mapped 4707 sequences
[M::worker_pipeline::2333.529*26.74] mapped 5070 sequences
[M::worker_pipeline::2347.478*26.78] mapped 4935 sequences
[M::worker_pipeline::2364.767*26.81] mapped 4859 sequences
[M::worker_pipeline::2379.138*26.84] mapped 5187 sequences
[M::worker_pipeline::2392.573*26.87] mapped 4797 sequences
[M::worker_pipeline::2402.743*26.91] mapped 31874 sequences
[M::worker_pipeline::2413.359*26.95] mapped 32754 sequences
[M::worker_pipeline::2429.452*27.00] mapped 8419 sequences
[M::worker_pipeline::2444.072*27.04] mapped 4947 sequences
[M::worker_pipeline::2455.022*27.08] mapped 28204 sequences
[M::worker_pipeline::2471.552*27.10] mapped 4687 sequences
[M::worker_pipeline::2487.181*27.11] mapped 4903 sequences
[M::worker_pipeline::2505.607*27.10] mapped 4852 sequences
[M::worker_pipeline::2519.341*27.12] mapped 4826 sequences
[M::worker_pipeline::2535.039*27.17] mapped 4906 sequences
[M::worker_pipeline::2556.508*27.15] mapped 15230 sequences
[M::worker_pipeline::2569.033*27.19] mapped 16895 sequences
[M::worker_pipeline::2584.905*27.23] mapped 5132 sequences
[M::worker_pipeline::2600.435*27.25] mapped 4737 sequences
[M::worker_pipeline::2614.097*27.29] mapped 11821 sequences
[M::worker_pipeline::2626.854*27.33] mapped 9958 sequences
[M::worker_pipeline::2641.534*27.34] mapped 12692 sequences
[M::worker_pipeline::2653.438*27.37] mapped 11044 sequences
[M::worker_pipeline::2665.548*27.40] mapped 11667 sequences
[M::worker_pipeline::2679.801*27.43] mapped 4747 sequences
[M::worker_pipeline::2697.852*27.42] mapped 13556 sequences
[M::worker_pipeline::2711.222*27.45] mapped 4939 sequences
[M::worker_pipeline::2904.735*25.80] mapped 12177 sequences
[M::worker_pipeline::2912.408*25.80] mapped 12095 sequences
[M::worker_pipeline::2929.398*25.85] mapped 8268 sequences
[M::worker_pipeline::2944.126*25.88] mapped 12026 sequences
[M::worker_pipeline::2958.798*25.91] mapped 9365 sequences
[M::worker_pipeline::2971.822*25.95] mapped 8685 sequences
[M::worker_pipeline::2994.261*25.91] mapped 4795 sequences
[M::worker_pipeline::3006.214*25.95] mapped 10144 sequences
[M::worker_pipeline::3021.233*25.97] mapped 9948 sequences
[M::worker_pipeline::3036.747*26.01] mapped 10168 sequences
[M::worker_pipeline::3052.941*26.03] mapped 12862 sequences
[M::worker_pipeline::3064.705*26.06] mapped 17920 sequences
[M::worker_pipeline::3076.467*26.10] mapped 33143 sequences
[M::worker_pipeline::3093.860*26.12] mapped 16185 sequences
[M::worker_pipeline::3111.464*26.15] mapped 4871 sequences
[M::worker_pipeline::3125.051*26.19] mapped 7452 sequences
[M::worker_pipeline::3140.944*26.22] mapped 6563 sequences
[M::worker_pipeline::3164.104*26.21] mapped 16450 sequences
[M::worker_pipeline::3183.217*26.23] mapped 5600 sequences
