[M::mm_idx_gen::66.259*1.54] collected minimizers
[M::mm_idx_gen::83.757*7.61] sorted minimizers
[M::main::83.757*7.61] loaded/built the index for 1166 target sequence(s)
[M::mm_mapopt_update::86.949*7.36] mid_occ = 340
[M::mm_idx_stat] kmer size: 19; skip: 19; is_hpc: 0; #seq: 1166
[M::mm_idx_stat::89.280*7.20] distinct minimizers: 218954095 (8.11% are singletons); average occurrences: 2.780; average spacing: 9.968; total length: 6067875218
[M::worker_pipeline::118.486*11.67] mapped 5195 sequences
[M::worker_pipeline::126.662*11.93] mapped 25013 sequences
[M::worker_pipeline::151.883*14.30] mapped 14877 sequences
[M::worker_pipeline::163.970*14.98] mapped 5332 sequences
[M::worker_pipeline::178.027*16.74] mapped 12513 sequences
[M::worker_pipeline::190.420*17.62] mapped 30697 sequences
[M::worker_pipeline::204.466*18.80] mapped 5193 sequences
[M::worker_pipeline::220.241*19.76] mapped 5311 sequences
[M::worker_pipeline::234.459*20.55] mapped 20318 sequences
[M::worker_pipeline::246.105*20.41] mapped 17057 sequences
[M::worker_pipeline::264.157*21.02] mapped 5473 sequences
[M::worker_pipeline::279.417*21.48] mapped 5208 sequences
[M::worker_pipeline::292.551*21.89] mapped 5413 sequences
[M::worker_pipeline::305.831*22.31] mapped 5384 sequences
[M::worker_pipeline::324.322*22.66] mapped 5483 sequences
[M::worker_pipeline::342.444*22.72] mapped 18656 sequences
[M::worker_pipeline::352.538*23.06] mapped 32368 sequences
[M::worker_pipeline::364.669*23.36] mapped 20147 sequences
[M::worker_pipeline::382.054*23.66] mapped 5331 sequences
[M::worker_pipeline::396.648*23.93] mapped 10402 sequences
[M::worker_pipeline::407.833*24.15] mapped 26514 sequences
[M::worker_pipeline::426.038*24.28] mapped 5812 sequences
[M::worker_pipeline::445.183*24.44] mapped 5251 sequences
[M::worker_pipeline::456.134*24.71] mapped 11138 sequences
[M::worker_pipeline::467.983*24.93] mapped 25143 sequences
[M::worker_pipeline::481.439*25.19] mapped 5407 sequences
