[M::mm_idx_gen::110.939*1.60] collected minimizers
[M::mm_idx_gen::113.947*2.21] sorted minimizers
[M::main::113.948*2.21] loaded/built the index for 543 target sequence(s)
[M::mm_mapopt_update::119.261*2.15] mid_occ = 333
[M::mm_idx_stat] kmer size: 19; skip: 19; is_hpc: 0; #seq: 543
[M::mm_idx_stat::123.005*2.12] distinct minimizers: 218942658 (8.13% are singletons); average occurrences: 2.766; average spacing: 9.963; total length: 6032554172
[M::worker_pipeline::177.546*8.54] mapped 4960 sequences
[M::worker_pipeline::201.177*11.16] mapped 11323 sequences
[M::worker_pipeline::219.248*13.24] mapped 24321 sequences
[M::worker_pipeline::244.871*14.76] mapped 4791 sequences
[M::worker_pipeline::256.525*15.49] mapped 19519 sequences
[M::worker_pipeline::271.179*16.17] mapped 6811 sequences
[M::worker_pipeline::286.056*16.84] mapped 5011 sequences
[M::worker_pipeline::298.693*17.67] mapped 13159 sequences
[M::worker_pipeline::313.526*18.04] mapped 22920 sequences
[M::worker_pipeline::325.339*18.67] mapped 4976 sequences
[M::worker_pipeline::341.962*19.06] mapped 5557 sequences
[M::worker_pipeline::353.698*19.61] mapped 27545 sequences
[M::worker_pipeline::367.006*19.95] mapped 4783 sequences
[M::worker_pipeline::382.778*20.35] mapped 4855 sequences
[M::worker_pipeline::399.018*20.58] mapped 5000 sequences
[M::worker_pipeline::414.188*20.87] mapped 4795 sequences
[M::worker_pipeline::431.177*21.38] mapped 5051 sequences
[M::worker_pipeline::446.161*21.50] mapped 4869 sequences
[M::worker_pipeline::461.126*21.72] mapped 4732 sequences
[M::worker_pipeline::475.380*22.10] mapped 5026 sequences
[M::worker_pipeline::487.889*22.27] mapped 4842 sequences
[M::worker_pipeline::509.841*22.25] mapped 4974 sequences
[M::worker_pipeline::520.606*22.50] mapped 4934 sequences
[M::worker_pipeline::533.037*22.81] mapped 14056 sequences
[M::worker_pipeline::546.402*23.08] mapped 30604 sequences
[M::worker_pipeline::562.864*23.32] mapped 19512 sequences
[M::worker_pipeline::576.735*23.56] mapped 5030 sequences
[M::worker_pipeline::602.378*23.43] mapped 4992 sequences
[M::worker_pipeline::627.158*23.39] mapped 4911 sequences
[M::worker_pipeline::642.498*23.65] mapped 4978 sequences
[M::worker_pipeline::663.029*23.61] mapped 4834 sequences
[M::worker_pipeline::677.361*23.79] mapped 5098 sequences
[M::worker_pipeline::694.082*23.92] mapped 4825 sequences
[M::worker_pipeline::729.274*23.87] mapped 5392 sequences
[M::worker_pipeline::741.059*23.89] mapped 21574 sequences
[M::worker_pipeline::759.510*24.07] mapped 27832 sequences
[M::worker_pipeline::782.686*24.26] mapped 5067 sequences
[M::worker_pipeline::813.113*24.41] mapped 4973 sequences
[M::worker_pipeline::828.791*24.52] mapped 5065 sequences
[M::worker_pipeline::855.874*24.73] mapped 4853 sequences
[M::worker_pipeline::874.065*24.77] mapped 5043 sequences
[M::worker_pipeline::896.022*24.91] mapped 4923 sequences
[M::worker_pipeline::919.869*24.91] mapped 4820 sequences
[M::worker_pipeline::940.174*25.06] mapped 5074 sequences
[M::worker_pipeline::959.068*25.20] mapped 20468 sequences
[M::worker_pipeline::982.384*25.30] mapped 9094 sequences
[M::worker_pipeline::1003.919*25.43] mapped 5054 sequences
[M::worker_pipeline::1035.894*25.25] mapped 4989 sequences
[M::worker_pipeline::1054.515*25.35] mapped 4934 sequences
[M::worker_pipeline::1092.340*25.06] mapped 17955 sequences
[M::worker_pipeline::1107.780*25.13] mapped 17314 sequences
[M::worker_pipeline::1129.036*25.10] mapped 4988 sequences
[M::worker_pipeline::1148.106*25.12] mapped 7990 sequences
[M::worker_pipeline::1160.879*25.24] mapped 19245 sequences
[M::worker_pipeline::1180.257*25.28] mapped 4874 sequences
[M::worker_pipeline::1198.736*25.36] mapped 5055 sequences
[M::worker_pipeline::1217.830*25.41] mapped 5159 sequences
[M::worker_pipeline::1236.442*25.40] mapped 4896 sequences
[M::worker_pipeline::1258.121*25.44] mapped 5093 sequences
