[M::mm_idx_gen::38.796*1.47] collected minimizers
[M::mm_idx_gen::40.868*2.21] sorted minimizers
[M::main::40.868*2.21] loaded/built the index for 25 target sequence(s)
[M::mm_mapopt_update::44.714*2.11] mid_occ = 177
[M::mm_idx_stat] kmer size: 19; skip: 19; is_hpc: 0; #seq: 25
[M::mm_idx_stat::48.057*2.03] distinct minimizers: 215125355 (92.06% are singletons); average occurrences: 1.455; average spacing: 9.958; total length: 3117292070
[M::worker_pipeline::68.437*9.56] mapped 34459 sequences
[M::worker_pipeline::78.596*13.03] mapped 35363 sequences
[M::worker_pipeline::92.404*15.62] mapped 13328 sequences
[M::worker_pipeline::105.156*17.22] mapped 4914 sequences
[M::worker_pipeline::116.416*18.76] mapped 26653 sequences
[M::worker_pipeline::132.667*19.45] mapped 15255 sequences
[M::worker_pipeline::149.795*19.96] mapped 5106 sequences
[M::worker_pipeline::168.620*20.14] mapped 4822 sequences
[M::worker_pipeline::180.632*20.89] mapped 5815 sequences
[M::worker_pipeline::193.848*21.44] mapped 5899 sequences
[M::worker_pipeline::203.341*22.13] mapped 34332 sequences
[M::worker_pipeline::215.597*22.88] mapped 7650 sequences
[M::worker_pipeline::232.094*23.02] mapped 5873 sequences
[M::worker_pipeline::243.378*23.51] mapped 5809 sequences
[M::worker_pipeline::256.329*23.90] mapped 5579 sequences
[M::worker_pipeline::269.332*24.33] mapped 5147 sequences
[M::worker_pipeline::282.787*24.44] mapped 4916 sequences
[M::worker_pipeline::292.677*24.84] mapped 33347 sequences
[M::worker_pipeline::305.205*25.11] mapped 7644 sequences
[M::worker_pipeline::318.718*25.31] mapped 5029 sequences
[M::worker_pipeline::336.189*24.99] mapped 5071 sequences
[M::worker_pipeline::348.002*25.30] mapped 5082 sequences
[M::worker_pipeline::358.052*25.57] mapped 15924 sequences
[M::worker_pipeline::373.112*25.48] mapped 30965 sequences
[M::worker_pipeline::387.472*25.52] mapped 4842 sequences
[M::worker_pipeline::401.498*25.64] mapped 4840 sequences
[M::worker_pipeline::414.002*25.75] mapped 5026 sequences
[M::worker_pipeline::424.172*25.89] mapped 25182 sequences
[M::worker_pipeline::436.822*26.09] mapped 4790 sequences
[M::worker_pipeline::450.570*26.09] mapped 5261 sequences
[M::worker_pipeline::467.041*25.96] mapped 9096 sequences
[M::worker_pipeline::479.872*26.08] mapped 6932 sequences
[M::worker_pipeline::492.417*26.22] mapped 5009 sequences
[M::worker_pipeline::504.135*26.36] mapped 21153 sequences
[M::worker_pipeline::517.049*26.40] mapped 4885 sequences
[M::worker_pipeline::530.155*26.42] mapped 5089 sequences
[M::worker_pipeline::541.818*26.58] mapped 4996 sequences
[M::worker_pipeline::554.158*26.70] mapped 4745 sequences
[M::worker_pipeline::565.049*26.84] mapped 11943 sequences
[M::worker_pipeline::576.907*26.88] mapped 32357 sequences
[M::worker_pipeline::587.964*27.02] mapped 5268 sequences
[M::worker_pipeline::604.159*26.98] mapped 4972 sequences
[M::worker_pipeline::617.700*27.06] mapped 4928 sequences
[M::worker_pipeline::629.337*27.17] mapped 5421 sequences
[M::worker_pipeline::642.691*27.22] mapped 4884 sequences
[M::worker_pipeline::652.249*27.29] mapped 31674 sequences
[M::worker_pipeline::665.316*27.40] mapped 7593 sequences
[M::worker_pipeline::676.578*27.45] mapped 5238 sequences
[M::worker_pipeline::688.388*27.48] mapped 17826 sequences
[M::worker_pipeline::708.933*27.30] mapped 4889 sequences
[M::worker_pipeline::720.557*27.38] mapped 4917 sequences
[M::worker_pipeline::739.636*27.20] mapped 4918 sequences
[M::worker_pipeline::751.510*27.29] mapped 5376 sequences
[M::worker_pipeline::766.088*27.25] mapped 4987 sequences
[M::worker_pipeline::777.639*27.33] mapped 5571 sequences
[M::worker_pipeline::786.741*27.42] mapped 34828 sequences
[M::worker_pipeline::799.126*27.54] mapped 10425 sequences
[M::worker_pipeline::810.369*27.59] mapped 5100 sequences
[M::worker_pipeline::820.844*27.66] mapped 20885 sequences
[M::worker_pipeline::834.392*27.69] mapped 16961 sequences
[M::worker_pipeline::848.008*27.73] mapped 5334 sequences
[M::worker_pipeline::861.854*27.76] mapped 5456 sequences
[M::worker_pipeline::873.820*27.84] mapped 4839 sequences
[M::worker_pipeline::884.083*27.90] mapped 7658 sequences
[M::worker_pipeline::895.234*27.92] mapped 21049 sequences
[M::worker_pipeline::904.343*28.01] mapped 19047 sequences
[M::worker_pipeline::914.257*28.05] mapped 15893 sequences
[M::worker_pipeline::925.722*28.10] mapped 5336 sequences
[M::worker_pipeline::936.036*28.15] mapped 15346 sequences
[M::worker_pipeline::943.417*28.20] mapped 33952 sequences
[M::worker_pipeline::953.955*28.28] mapped 7352 sequences
[M::worker_pipeline::965.677*28.32] mapped 5153 sequences
[M::worker_pipeline::976.366*28.35] mapped 5914 sequences
[M::worker_pipeline::987.370*28.35] mapped 20170 sequences
[M::worker_pipeline::999.861*28.38] mapped 4901 sequences
[M::worker_pipeline::1010.853*28.42] mapped 5130 sequences
[M::worker_pipeline::1028.954*28.31] mapped 5005 sequences
[M::worker_pipeline::1041.999*28.32] mapped 20251 sequences
[M::worker_pipeline::1053.828*28.33] mapped 19992 sequences
[M::worker_pipeline::1064.922*28.39] mapped 12370 sequences
[M::worker_pipeline::1076.208*28.44] mapped 8258 sequences
[M::worker_pipeline::1088.138*28.46] mapped 18241 sequences
[M::worker_pipeline::1247.611*25.24] mapped 14465 sequences
[M::worker_pipeline::1252.688*25.20] mapped 12726 sequences
[M::worker_pipeline::1266.881*25.32] mapped 19162 sequences
[M::worker_pipeline::1277.975*25.38] mapped 16068 sequences
[M::worker_pipeline::1288.500*25.46] mapped 9793 sequences
[M::worker_pipeline::1299.179*25.53] mapped 10049 sequences
[M::worker_pipeline::1311.070*25.56] mapped 17817 sequences
[M::worker_pipeline::1324.461*25.57] mapped 20059 sequences
