#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/TUE_01/small_variants.dip.vcf.gz	385189	262539	10122	0	1	262539	262539.0	262539	262539	262539	248381038	248381038.0	248381038	248381038	248381038	272661	214544	205885	0.9628769791059227	0.9596399806100381	248381038
syndip	chr2	assembly/variants/TUE_01/small_variants.dip.vcf.gz	360329	239207	2466	0	1	239207	239207.0	239207	239207	239207	242689813	242689813.0	242689813	242689813	242689813	241673	187623	185589	0.9897961294807447	0.9891591116227755	242689813
syndip	chr3	assembly/variants/TUE_01/small_variants.dip.vcf.gz	332584	228580	777	0	1	228580	228580.0	228580	228580	228580	201085707	201085707.0	201085707	201085707	201085707	229357	183181	182543	0.9966122682106934	0.9965171060317392	201085707
syndip	chr4	assembly/variants/TUE_01/small_variants.dip.vcf.gz	339727	228971	6893	0	1	228971	228971.0	228971	228971	228971	193546458	193546458.0	193546458	193546458	193546458	235864	190285	183722	0.9707755316623139	0.965509630291405	193546458
syndip	chr5	assembly/variants/TUE_01/small_variants.dip.vcf.gz	297918	175080	51947	0	1	175080	175080.0	175080	175080	175080	182040455	182040455.0	182040455	182040455	182040455	227027	180548	138646	0.7711858060935484	0.7679176728626183	182040455
syndip	chr6	assembly/variants/TUE_01/small_variants.dip.vcf.gz	304283	204380	5575	0	1	204380	204380.0	204380	204380	204380	172109442	172109442.0	172109442	172109442	172109442	209955	167903	162940	0.9734466909575862	0.97044126668374	172109442
syndip	chr7	assembly/variants/TUE_01/small_variants.dip.vcf.gz	283229	200436	450	0	1	200436	200436.0	200436	200436	200436	160561912	160561912.0	160561912	160561912	160561912	200886	159077	158890	0.9977599235387234	0.9988244686535451	160561912
syndip	chrX	assembly/variants/TUE_01/small_variants.dip.vcf.gz	132471	132404	67	0	1	132404	132404.0	132404	132404	132404	154148330	154148330.0	154148330	154148330	154148330	132471	97501	97492	0.9994942289255762	0.9999076932544282	154148330
syndip	chr9	assembly/variants/TUE_01/small_variants.dip.vcf.gz	221766	157352	4738	0	1	157352	157352.0	157352	157352	157352	150609619	150609619.0	150609619	150609619	150609619	162090	126660	122944	0.9707693256832624	0.9706616137691457	150609619
syndip	chr8	assembly/variants/TUE_01/small_variants.dip.vcf.gz	258831	176783	2093	0	1	176783	176783.0	176783	176783	176783	146251661	146251661.0	146251661	146251661	146251661	178876	144495	143047	0.9882991569578926	0.9899788920031835	146251661
