#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/TUE_02_04UL/phased_verkko/small_variants.dip.vcf.gz	376356	251923	8625	0	1	251923	251923.0	251923	251923	251923	248380941	248380941.0	248380941	248380941	248380941	260548	217540	209392	0.9668966946589496	0.962544819343569	248380941
syndip	chr2	assembly/variants/TUE_02_04UL/phased_verkko/small_variants.dip.vcf.gz	353028	238162	577	0	1	238162	238162.0	238162	238162	238162	242690911	242690911.0	242690911	242690911	242690911	238739	197371	196850	0.9975831347203431	0.9973603011587315	242690911
syndip	chr3	assembly/variants/TUE_02_04UL/phased_verkko/small_variants.dip.vcf.gz	303771	205560	0	0	1	205560	205560.0	205560	205560	205560	201098384	201098384.0	201098384	201098384	201098384	205560	172879	172879	1.0	1.0	201098384
syndip	chr4	assembly/variants/TUE_02_04UL/phased_verkko/small_variants.dip.vcf.gz	330330	223629	3151	0	1	223629	223629.0	223629	223629	223629	193487794	193487794.0	193487794	193487794	193487794	226780	191805	188911	0.986105476673428	0.984911759338912	193487794
syndip	chr5	assembly/variants/TUE_02_04UL/phased_verkko/small_variants.dip.vcf.gz	272912	186872	1	0	1	186872	186872.0	186872	186872	186872	182042449	182042449.0	182042449	182042449	182042449	186873	156963	156962	0.9999946487721608	0.9999936290718194	182042449
syndip	chr6	assembly/variants/TUE_02_04UL/phased_verkko/small_variants.dip.vcf.gz	305728	208502	632	0	1	208502	208502.0	208502	208502	208502	172115959	172115959.0	172115959	172115959	172115959	209134	178152	177584	0.9969780140962254	0.9968117113476133	172115959
syndip	chr7	assembly/variants/TUE_02_04UL/phased_verkko/small_variants.dip.vcf.gz	281416	187981	21	0	1	187981	187981.0	187981	187981	187981	160562362	160562362.0	160562362	160562362	160562362	188002	157219	157201	0.9998882990606482	0.9998855100210534	160562362
syndip	chrX	assembly/variants/TUE_02_04UL/phased_verkko/small_variants.dip.vcf.gz	128395	128394	1	0	1	128394	128394.0	128394	128394	128394	154251747	154251747.0	154251747	154251747	154251747	128395	100290	100289	0.9999922115347171	0.9999900289161432	154251747
syndip	chr9	assembly/variants/TUE_02_04UL/phased_verkko/small_variants.dip.vcf.gz	233610	158054	3648	0	1	158054	158054.0	158054	158054	158054	150610674	150610674.0	150610674	150610674	150610674	161702	129800	126727	0.9774399821894596	0.9763251155624036	150610674
syndip	chr8	assembly/variants/TUE_02_04UL/phased_verkko/small_variants.dip.vcf.gz	238200	150801	1378	0	1	150801	150801.0	150801	150801	150801	146240505	146240505.0	146240505	146240505	146240505	152179	128531	127255	0.9909448741284934	0.9900724338875446	146240505
