sample	method	haplotype	contig	switch_position	from_type	to_type	from_kmer_count	to_kmer_count	from_block_length	to_block_length	chr	ref_position	strand
T2T04	verkko_trio	haplotype1	mat-0000001	293964	maternal	paternal	5	13	4877	25117	chr17	26249600.0	+
T2T04	verkko_trio	haplotype1	mat-0000001	584672	paternal	maternal	5	7	4335	19699	chr17	26543164.0	+
T2T04	verkko_trio	haplotype1	mat-0000001	737813	paternal	maternal	7	705	14659	657876	chr17	26697809.0	+
T2T04	verkko_trio	haplotype1	mat-0000001	1398987	maternal	paternal	705	8	657876	31924	chr17	27365478.0	+
T2T04	verkko_trio	haplotype1	mat-0000001	1514807	maternal	paternal	9	13	5977	29744	chr17	27482435.0	+
T2T04	verkko_trio	haplotype1	mat-0000002	120531529	paternal	maternal	5	142	81313	150951	chr8	25353802.0	-
T2T04	verkko_trio	haplotype1	mat-0000004	56360791	maternal	paternal	31	6	80554	41130	chr7	56012989.0	+
T2T04	verkko_trio	haplotype1	mat-0000004	60669522	maternal	paternal	19	5	43472	14999	chr7	60323474.0	+
T2T04	verkko_trio	haplotype1	mat-0000004	60689477	paternal	maternal	5	10	14999	41389	chr7	60343437.0	+
T2T04	verkko_trio	haplotype1	mat-0000004	61448954	maternal	paternal	77	7	328828	24969	chr7	61103223.0	+
T2T04	verkko_trio	haplotype1	mat-0000004	61699777	maternal	paternal	7	18	7715	37132	chr7	61354148.0	+
T2T04	verkko_trio	haplotype1	mat-0000004	61862186	paternal	maternal	7	5	21363	7453	chr7	61516623.0	+
T2T04	verkko_trio	haplotype1	mat-0000004	62597260	maternal	paternal	5	14	1021	27165	chr7	62251996.0	+
T2T04	verkko_trio	haplotype1	mat-0000004	62892119	paternal	maternal	5	8	10276	8899	chr7	62546975.0	+
T2T04	verkko_trio	haplotype1	mat-0000004	62970114	paternal	maternal	6	7	3522	2839	chr7	62625002.0	+
T2T04	verkko_trio	haplotype1	mat-0000004	63067991	maternal	paternal	5	10	2920	27629	chr7	62722919.0	+
T2T04	verkko_trio	haplotype1	mat-0000004	63199103	paternal	maternal	6	6	2106	4122	chr7	62854084.0	+
T2T04	verkko_trio	haplotype1	mat-0000004	63212106	maternal	paternal	6	5	4122	4808	chr7	62867092.0	+
T2T04	verkko_trio	haplotype1	mat-0000004	63596190	maternal	paternal	6	10	766	26285	chr7	63251333.0	+
T2T04	verkko_trio	haplotype1	mat-0000005	47309552	paternal	maternal	8	6	49332	42888	chr11	47918965.0	+
T2T04	verkko_trio	haplotype1	mat-0000006	203254525	paternal	maternal	5	7	169725	33289	chr2	38872660.0	-
T2T04	verkko_trio	haplotype1	mat-0000007	93723582	maternal	paternal	26	16	33820	29488	chrX	60639871.0	-
T2T04	verkko_trio	haplotype1	mat-0000007	94454459	paternal	maternal	5	145	8312	357424	chrX	59580981.0	-
T2T04	verkko_trio	haplotype1	mat-0000007	94998978	paternal	maternal	6	11	10330	65968	chrX	59327899.0	-
