#sample	chromosome	dataset_name0	dataset_name1	file_name0	file_name1	intersection_blocks	covered_variants	all_assessed_pairs	all_switches	all_switch_rate	all_switchflips	all_switchflip_rate	blockwise_hamming	blockwise_hamming_rate	blockwise_diff_genotypes	blockwise_diff_genotypes_rate	largestblock_assessed_pairs	largestblock_switches	largestblock_switch_rate	largestblock_switchflips	largestblock_switchflip_rate	largestblock_hamming	largestblock_hamming_rate	largestblock_diff_genotypes	largestblock_diff_genotypes_rate	het_variants0	only_snvs
SAMPLE	chr1	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	88918	88917	182	0.0020468526828390523	0/91	0.0010234263414195261	91	0.001023414831642637	0	0.0	88917	182	0.0020468526828390523	0/91	0.0010234263414195261	91	0.001023414831642637	0	0.0	235824	0
SAMPLE	chr10	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	62687	62686	102	0.0016271575790447628	0/51	0.0008135787895223814	51	0.0008135658110932091	0	0.0	62686	102	0.0016271575790447628	0/51	0.0008135787895223814	51	0.0008135658110932091	0	0.0	143636	0
SAMPLE	chr11	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	54354	54353	74	0.0013614703880190605	2/36	0.0006991334424962743	256	0.004709864959340619	0	0.0	54353	74	0.0013614703880190605	2/36	0.0006991334424962743	256	0.004709864959340619	0	0.0	128178	0
SAMPLE	chr12	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	53174	53173	94	0.0017678144923175296	2/46	0.000902713783311079	48	0.0009026968067100462	0	0.0	53173	94	0.0017678144923175296	2/46	0.000902713783311079	48	0.0009026968067100462	0	0.0	134729	0
SAMPLE	chr13	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	44630	44629	68	0.001523672948083085	2/33	0.0007842434291604114	35	0.0007842258570468295	0	0.0	44629	68	0.001523672948083085	2/33	0.0007842434291604114	35	0.0007842258570468295	0	0.0	105810	0
SAMPLE	chr14	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	39423	39422	74	0.0018771244482776114	2/36	0.0009639287707371518	224	0.005681962306267914	0	0.0	39422	74	0.0018771244482776114	2/36	0.0009639287707371518	224	0.005681962306267914	0	0.0	132991	0
SAMPLE	chr15	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	36261	36260	54	0.0014892443463872035	0/27	0.0007446221731936017	27	0.0007446016381236039	0	0.0	36260	54	0.0014892443463872035	0/27	0.0007446221731936017	27	0.0007446016381236039	0	0.0	128010	0
SAMPLE	chr16	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	36338	36337	74	0.002036491730192366	2/36	0.001045766023612296	38	0.001045737244757554	0	0.0	36337	74	0.002036491730192366	2/36	0.001045766023612296	38	0.001045737244757554	0	0.0	99154	0
SAMPLE	chr17	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	33496	33495	90	0.0026869682042095834	4/43	0.0014031945066427826	47	0.0014031526152376403	0	0.0	33495	90	0.0026869682042095834	4/43	0.0014031945066427826	47	0.0014031526152376403	0	0.0	89914	0
SAMPLE	chr18	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	33874	33873	62	0.0018303663684940809	0/31	0.0009151831842470404	31	0.0009151561669717188	0	0.0	33873	62	0.0018303663684940809	0/31	0.0009151831842470404	31	0.0009151561669717188	0	0.0	79217	0
SAMPLE	chr19	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	23988	23987	72	0.0030016258806853714	2/35	0.001542502188685538	40	0.0016675004168751042	0	0.0	23987	72	0.0030016258806853714	2/35	0.001542502188685538	40	0.0016675004168751042	0	0.0	80463	0
SAMPLE	chr2	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	93108	93107	154	0.0016540109766182993	0/77	0.0008270054883091496	77	0.0008269966060918503	0	0.0	93107	154	0.0016540109766182993	0/77	0.0008270054883091496	77	0.0008269966060918503	0	0.0	208792	0
SAMPLE	chr20	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	26807	26806	54	0.002014474371409386	0/27	0.001007237185704693	27	0.001007199612041631	0	0.0	26806	54	0.002014474371409386	0/27	0.001007237185704693	27	0.001007199612041631	0	0.0	80537	0
SAMPLE	chr21	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	17060	17059	34	0.0019930828301776187	0/17	0.0009965414150888093	17	0.000996483001172333	0	0.0	17059	34	0.0019930828301776187	0/17	0.0009965414150888093	17	0.000996483001172333	0	0.0	48678	0
SAMPLE	chr22	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	19698	19697	24	0.0012184596639082093	0/12	0.0006092298319541047	12	0.0006091989034419738	0	0.0	19697	24	0.0012184596639082093	0/12	0.0006092298319541047	12	0.0006091989034419738	0	0.0	79238	0
SAMPLE	chr3	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	79996	79995	144	0.0018001125070316894	2/71	0.0009125570348146759	73	0.0009125456272813641	0	0.0	79995	144	0.0018001125070316894	2/71	0.0009125570348146759	73	0.0009125456272813641	0	0.0	202006	0
SAMPLE	chr4	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	82486	82485	82	0.0009941201430563134	0/41	0.0004970600715281567	41	0.0004970540455349998	0	0.0	82485	82	0.0009941201430563134	0/41	0.0004970600715281567	41	0.0004970540455349998	0	0.0	203196	0
SAMPLE	chr5	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	78131	78130	122	0.0015615000639959042	0/61	0.0007807500319979521	61	0.0007807400391649921	0	0.0	78130	122	0.0015615000639959042	0/61	0.0007807500319979521	61	0.0007807400391649921	0	0.0	186323	0
SAMPLE	chr6	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	74354	74353	142	0.0019098086156577408	2/70	0.0009683536642771643	72	0.000968340640718724	0	0.0	74353	142	0.0019098086156577408	2/70	0.0009683536642771643	72	0.000968340640718724	0	0.0	175915	0
SAMPLE	chr7	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	72251	72250	92	0.001273356401384083	4/44	0.0006643598615916954	48	0.0006643506664267623	0	0.0	72250	92	0.001273356401384083	4/44	0.0006643598615916954	48	0.0006643506664267623	0	0.0	170878	0
SAMPLE	chr8	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	68000	67999	100	0.001470609861909734	2/49	0.0007500110295739643	51	0.00075	0	0.0	67999	100	0.001470609861909734	2/49	0.0007500110295739643	51	0.00075	0	0.0	160556	0
SAMPLE	chr9	giab	assembly	assembly/qc/published_duplex/giab.filtered.vcf.gz	assembly/qc/published_duplex/assembly.filtered.vcf.gz	1	52931	52930	94	0.0017759304742112224	0/47	0.0008879652371056112	47	0.0008879484612042092	0	0.0	52930	94	0.0017759304742112224	0/47	0.0008879652371056112	47	0.0008879484612042092	0	0.0	149379	0
