sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
T2T04_2	haplotype1-0000023	chr10	134498568	107500	134758134	134498568	2	107500	53750.0	100000	7500	0.01	scaffold
T2T04_2	haplotype1-0000014	chr11	135021705	115000	135127769	135021705	3	115000	38333.3	100000	7500	0.02	scaffold
T2T04_2	haplotype2-0000214	chr11	135285696	1500	135127769	135285696	1	1500	1500.0	1500	1500	0.01	scaffold
T2T04_2	haplotype1-0000009	chr12	134130074	7500	133324548	134130074	1	7500	7500.0	7500	7500	0.01	scaffold
T2T04_2	haplotype2-0000209	chr12	133239514	122500	133324548	133239514	4	122500	30625.0	100000	7500	0.03	scaffold
T2T04_2	haplotype1-0000010	chr17	82435704	30000	84276897	82435704	4	30000	7500.0	7500	7500	0.05	scaffold
T2T04_2	haplotype2-0000211	chr17	84569072	1500	84276897	84569072	1	1500	1500.0	1500	1500	0.01	scaffold
T2T04_2	haplotype1-0000027	chr18	79245795	101500	80542538	79245795	2	101500	50750.0	100000	1500	0.03	scaffold
T2T04_2	haplotype2-0000229	chr18	78033359	15087	80542538	78033359	1	15087	15087.0	15087	15087	0.01	scaffold
T2T04_2	haplotype1-0000015	chr19	61806722	115000	61707364	61806722	3	115000	38333.3	100000	7500	0.05	scaffold
T2T04_2	haplotype2-0000215	chr19	62595462	7500	61707364	62595462	1	7500	7500.0	7500	7500	0.02	scaffold
T2T04_2	haplotype1-0000007	chr2	242164961	15000	242696752	242164961	2	15000	7500.0	7500	7500	0.01	scaffold
T2T04_2	haplotype2-0000208	chr2	242604468	16500	242696752	242604468	3	16500	5500.0	7500	1500	0.01	scaffold
T2T04_2	haplotype1-0000022	chr20	65591825	0	66210255	65591825	0	0	0.0	0	0	0.0	contig
T2T04_2	haplotype2-0000223	chr20	66628703	18000	66210255	66628703	4	18000	4500.0	7500	1500	0.06	scaffold
T2T04_2	haplotype2-0000224	chr3	201129820	7500	201105948	201129820	1	7500	7500.0	7500	7500	0.0	scaffold
T2T04_2	haplotype1-0000018	chr4	192285836	22500	193574945	192285836	3	22500	7500.0	7500	7500	0.02	scaffold
T2T04_2	haplotype2-0000218	chr4	192622986	100000	193574945	192622986	1	100000	100000.0	100000	100000	0.01	scaffold
T2T04_2	haplotype1-0000017	chr5	185019343	40431	182045439	185019343	1	40431	40431.0	40431	40431	0.01	scaffold
T2T04_2	haplotype2-0000216	chr5	183158301	0	182045439	183158301	0	0	0.0	0	0	0.0	contig
T2T04_2	haplotype1-0000008	chr6	172129768	22500	172126628	172129768	3	22500	7500.0	7500	7500	0.02	scaffold
T2T04_2	haplotype2-0000217	chr6	172345715	0	172126628	172345715	0	0	0.0	0	0	0.0	contig
T2T04_2	haplotype1-0000002	chr7	161088393	207500	160567428	161088393	3	207500	69166.7	100000	7500	0.02	scaffold
T2T04_2	haplotype2-0000203	chr7	161123468	100000	160567428	161123468	1	100000	100000.0	100000	100000	0.01	scaffold
T2T04_2	haplotype1-0000011	chr8	146421786	107500	146259331	146421786	2	107500	53750.0	100000	7500	0.01	scaffold
T2T04_2	haplotype2-0000199	chr8	146248998	207500	146259331	146248998	3	207500	69166.7	100000	7500	0.02	scaffold
T2T04_2	haplotype1-0000020	chrX	154649994	109000	154259566	154649994	3	109000	36333.3	100000	1500	0.02	scaffold
T2T04_2	haplotype2-0000220	chrX	154539420	115000	154259566	154539420	3	115000	38333.3	100000	7500	0.02	scaffold
