sample	category	subcategory	sv_type	count	total_length	mean_length
HG005	total	all_svs	all	56917	55524402	975.5328285046647
HG005	sv_type	BND	BND	10	0	0.0
HG005	sv_type	DEL	DEL	28560	26529733	928.9122198879552
HG005	sv_type	DUP:TANDEM	DUP:TANDEM	19	16383	862.2631578947369
HG005	sv_type	INS	INS	28296	28978286	1024.1124540571107
HG005	sv_type	INV	INV	32	0	0.0
HG005	zygosity	ALT_HOM	all	11366	0	0
HG005	zygosity	HET	all	45551	0	0
HG005	zygosity	ALT_HOM	BND	2	0	0
HG005	zygosity	HET	BND	8	0	0
HG005	zygosity	ALT_HOM	DEL	5866	0	0
HG005	zygosity	HET	DEL	22694	0	0
HG005	zygosity	ALT_HOM	DUP:TANDEM	1	0	0
HG005	zygosity	HET	DUP:TANDEM	18	0	0
HG005	zygosity	ALT_HOM	INS	5493	0	0
HG005	zygosity	HET	INS	22803	0	0
HG005	zygosity	ALT_HOM	INV	4	0	0
HG005	zygosity	HET	INV	28	0	0
HG005	size_class	large (500bp-5kb)	all	12548	0	0
HG005	size_class	massive (>50kb)	all	139	0	0
HG005	size_class	medium (50-500bp)	all	29023	0	0
HG005	size_class	small (<50bp)	all	13632	0	0
HG005	size_class	very_large (5kb-50kb)	all	1575	0	0
HG005	size_class	small (<50bp)	BND	10	0	0
HG005	size_class	large (500bp-5kb)	DEL	6297	0	0
HG005	size_class	massive (>50kb)	DEL	50	0	0
HG005	size_class	medium (50-500bp)	DEL	14722	0	0
HG005	size_class	small (<50bp)	DEL	6653	0	0
HG005	size_class	very_large (5kb-50kb)	DEL	838	0	0
HG005	size_class	large (500bp-5kb)	DUP:TANDEM	13	0	0
HG005	size_class	medium (50-500bp)	DUP:TANDEM	6	0	0
HG005	size_class	large (500bp-5kb)	INS	6238	0	0
HG005	size_class	massive (>50kb)	INS	89	0	0
HG005	size_class	medium (50-500bp)	INS	14295	0	0
HG005	size_class	small (<50bp)	INS	6937	0	0
HG005	size_class	very_large (5kb-50kb)	INS	737	0	0
HG005	size_class	small (<50bp)	INV	32	0	0
HG005	haplotype	both	all	11366	0	0
HG005	haplotype	haplotype1	all	23012	0	0
HG005	haplotype	haplotype2	all	22539	0	0
HG005	haplotype	both	BND	2	0	0
HG005	haplotype	haplotype1	BND	2	0	0
HG005	haplotype	haplotype2	BND	6	0	0
HG005	haplotype	both	DEL	5866	0	0
HG005	haplotype	haplotype1	DEL	11368	0	0
HG005	haplotype	haplotype2	DEL	11326	0	0
HG005	haplotype	both	DUP:TANDEM	1	0	0
HG005	haplotype	haplotype1	DUP:TANDEM	11	0	0
HG005	haplotype	haplotype2	DUP:TANDEM	7	0	0
HG005	haplotype	both	INS	5493	0	0
HG005	haplotype	haplotype1	INS	11621	0	0
HG005	haplotype	haplotype2	INS	11182	0	0
HG005	haplotype	both	INV	4	0	0
HG005	haplotype	haplotype1	INV	10	0	0
HG005	haplotype	haplotype2	INV	18	0	0
HG005	phasing	phased	all	56917	0	0
HG005	chromosome	chr1	all	5181	0	0
HG005	chromosome	chr2	all	3534	0	0
HG005	chromosome	chr3	all	2798	0	0
HG005	chromosome	chr4	all	2457	0	0
HG005	chromosome	chr5	all	2026	0	0
HG005	chromosome	chr6	all	2357	0	0
HG005	chromosome	chr7	all	2767	0	0
HG005	chromosome	chr8	all	2381	0	0
HG005	chromosome	chr9	all	6093	0	0
HG005	chromosome	chrX	all	1067	0	0
HG005	chromosome	chrY	all	777	0	0
HG005	chromosome	chr10	all	2832	0	0
HG005	chromosome	chr11	all	1622	0	0
HG005	chromosome	chr12	all	1680	0	0
HG005	chromosome	chr13	all	2388	0	0
HG005	chromosome	chr14	all	2155	0	0
HG005	chromosome	chr15	all	2687	0	0
HG005	chromosome	chr16	all	2189	0	0
HG005	chromosome	chr17	all	1703	0	0
HG005	chromosome	chr18	all	1515	0	0
HG005	chromosome	chr19	all	1643	0	0
HG005	chromosome	chr20	all	1698	0	0
HG005	chromosome	chr21	all	1565	0	0
HG005	chromosome	chr22	all	1802	0	0
HG005	chromosome	chr1	DEL	2563	0	0
HG005	chromosome	chr2	DEL	1735	0	0
HG005	chromosome	chr3	DEL	1396	0	0
HG005	chromosome	chr4	DEL	1099	0	0
HG005	chromosome	chr5	DEL	973	0	0
HG005	chromosome	chr6	DEL	1094	0	0
HG005	chromosome	chr7	DEL	1421	0	0
HG005	chromosome	chr8	DEL	1232	0	0
HG005	chromosome	chr9	DEL	3123	0	0
HG005	chromosome	chrX	DEL	557	0	0
HG005	chromosome	chrY	DEL	381	0	0
HG005	chromosome	chr10	DEL	1403	0	0
HG005	chromosome	chr11	DEL	827	0	0
HG005	chromosome	chr12	DEL	821	0	0
HG005	chromosome	chr13	DEL	1236	0	0
HG005	chromosome	chr14	DEL	1125	0	0
HG005	chromosome	chr15	DEL	1339	0	0
HG005	chromosome	chr16	DEL	1109	0	0
HG005	chromosome	chr17	DEL	883	0	0
HG005	chromosome	chr18	DEL	722	0	0
HG005	chromosome	chr19	DEL	861	0	0
HG005	chromosome	chr20	DEL	908	0	0
HG005	chromosome	chr21	DEL	786	0	0
HG005	chromosome	chr22	DEL	966	0	0
HG005	chromosome	chr1	INS	2615	0	0
HG005	chromosome	chr2	INS	1792	0	0
HG005	chromosome	chr3	INS	1399	0	0
HG005	chromosome	chr4	INS	1353	0	0
HG005	chromosome	chr5	INS	1050	0	0
HG005	chromosome	chr6	INS	1259	0	0
HG005	chromosome	chr7	INS	1343	0	0
HG005	chromosome	chr8	INS	1147	0	0
HG005	chromosome	chr9	INS	2966	0	0
HG005	chromosome	chrX	INS	508	0	0
HG005	chromosome	chrY	INS	395	0	0
HG005	chromosome	chr10	INS	1423	0	0
HG005	chromosome	chr11	INS	793	0	0
HG005	chromosome	chr12	INS	859	0	0
HG005	chromosome	chr13	INS	1151	0	0
HG005	chromosome	chr14	INS	1025	0	0
HG005	chromosome	chr15	INS	1347	0	0
HG005	chromosome	chr16	INS	1079	0	0
HG005	chromosome	chr17	INS	816	0	0
HG005	chromosome	chr18	INS	793	0	0
HG005	chromosome	chr19	INS	782	0	0
HG005	chromosome	chr20	INS	788	0	0
HG005	chromosome	chr21	INS	777	0	0
HG005	chromosome	chr22	INS	836	0	0
