#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384152	250329
syndip	chr2	0	3155	242694066	237696
syndip	chr3	0	2460	201100844	204753
syndip	chr4	0	3022	193490816	223300
syndip	chr5	0	1855	182044304	186984
syndip	chr6	0	8047	172124006	210579
syndip	chr7	0	3065	160565562	187347
syndip	chrX	0	5347	154256551	129194
syndip	chr9	0	3545	150614219	155575
syndip	chr8	0	2183	146244878	150928
syndip	chr11	0	1837	135125485	187544
syndip	chr10	0	7755	134723423	149951
syndip	chr12	0	10156	133322669	138054
syndip	chr13	0	2742	113562614	111016
syndip	chr14	0	2510	101095371	149522
syndip	chr15	0	114069	99749463	157164
syndip	chr16	0	3666	96327872	130317
syndip	chr17	0	2260	84237411	93164
syndip	chr18	0	163949	80539281	93957
syndip	chr20	0	2374	66203987	84753
syndip	chr19	0	2210	61703957	86283
syndip	chr22	0	4614	51322042	112931
syndip	chr21	0	2581	45086599	86370
