#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	3211	248384169	233838
syndip	chr2	0	3314	242693930	231919
syndip	chr3	0	8882	201088028	213758
syndip	chr4	0	43375	193542280	215417
syndip	chr5	0	2173	182044069	194819
syndip	chr6	0	17216	172123949	198685
syndip	chr7	0	3064	160565272	194521
syndip	chrX	0	187635	154257266	114726
syndip	chr9	0	3581	150615508	148439
syndip	chr8	0	11367	146253953	161168
syndip	chr11	0	2374	135125238	190796
syndip	chr10	0	2536	134754097	147468
syndip	chr12	0	2987	133311102	142947
syndip	chr13	0	88	113563296	119300
syndip	chr14	0	6029	101158933	148705
syndip	chr15	0	3284	99750214	170738
syndip	chr16	0	3480	96326738	124758
syndip	chr17	0	2729	84274097	123668
syndip	chr18	0	164124	80538845	97066
syndip	chr20	0	2508	66206186	88120
syndip	chr19	0	3062	61702272	88811
syndip	chr22	0	4290	51322300	114131
syndip	chr21	0	5827	45086155	58364
