contig	color
contig-0000001	#CCA0BF	chr18
contig-0000002	#D55E00	chr6
contig-0000003	#CC8DB3	chr11
contig-0000004	#808080	chr21
contig-0000005	#E6C47F	chr22
contig-0000006	#808080	chr21
contig-0000007	#338CC2	chr19
contig-0000008	#CC8DB3	chr11
contig-0000010	#CC8DB3	chr11
contig-0000011	#737373	chr14
contig-0000012	#D57533	chr13
contig-0000013	#D57533	chr13
contig-0000015	#CC8DB3	chr11
contig-0000016	#808080	chr21
contig-0000017	#808080	chr21
contig-0000018	#808080	chr21
contig-0000019	#808080	chr21
contig-0000020	#808080	chr21
contig-0000021	#CC8DB3	chr11
contig-0000022	#808080	chr21
contig-0000023	#808080	chr21
contig-0000024	#808080	chr21
contig-0000025	#808080	chr21
contig-0000026	#808080	chr21
contig-0000027	#808080	chr21
contig-0000028	#808080	chr21
contig-0000029	#808080	chr21
contig-0000030	#808080	chr21
contig-0000031	#808080	chr21
contig-0000032	#808080	chr21
contig-0000033	#808080	chr21
contig-0000034	#009E73	chr3
contig-0000035	#9467BD	chrX
contig-0000036	#9467BD	chrX
contig-0000037	#9467BD	chrX
contig-0000038	#9467BD	chrX
contig-0000040	#E6C47F	chr22
contig-0000041	#009E73	chr3
contig-0000042	#808080	chr21
contig-0000043	#808080	chr21
contig-0000044	#009E73	chr3
contig-0000045	#9467BD	chrX
contig-0000046	#E6C47F	chr22
contig-0000047	#737373	chr14
contig-0000048	#737373	chr14
contig-0000049	#737373	chr14
contig-0000050	#009E73	chr3
contig-0000051	#D57533	chr13
contig-0000052	#D57533	chr13
contig-0000053	#D57533	chr13
contig-0000054	#D57533	chr13
contig-0000055	#D57533	chr13
contig-0000056	#D55E00	chr6
contig-0000057	#009E73	chr3
contig-0000058	#737373	chr14
contig-0000059	#E6B847	chr15
contig-0000060	#666666	chr7
contig-0000061	#808080	chr21
contig-0000062	#808080	chr21
contig-0000063	#D57533	chr13
contig-0000064	#808080	chr21
contig-0000065	#666666	chr7
contig-0000066	#808080	chr21
contig-0000067	#808080	chr21
contig-0000068	#808080	chr21
contig-0000069	#808080	chr21
contig-0000070	#808080	chr21
contig-0000071	#808080	chr21
contig-0000072	#E6C47F	chr22
contig-0000073	#808080	chr21
contig-0000074	#666666	chr7
contig-0000075	#808080	chr21
contig-0000076	#808080	chr21
contig-0000077	#808080	chr21
contig-0000078	#808080	chr21
contig-0000079	#E6C47F	chr22
contig-0000080	#808080	chr21
contig-0000081	#808080	chr21
contig-0000082	#808080	chr21
contig-0000083	#666666	chr7
contig-0000084	#E6C47F	chr22
contig-0000085	#E6C47F	chr22
contig-0000087	#737373	chr14
contig-0000088	#737373	chr14
contig-0000089	#666666	chr7
contig-0000090	#E6B847	chr15
contig-0000091	#D57533	chr13
contig-0000092	#D57533	chr13
contig-0000093	#D57533	chr13
contig-0000094	#808080	chr21
contig-0000095	#808080	chr21
contig-0000096	#9467BD	chrX
contig-0000097	#808080	chr21
contig-0000098	#D57533	chr13
contig-0000099	#E6C47F	chr22
contig-0000100	#E6C47F	chr22
contig-0000101	#808080	chr21
contig-0000102	#E6C47F	chr22
contig-0000103	#808080	chr21
contig-0000104	#808080	chr21
contig-0000105	#D57533	chr13
contig-0000106	#D57533	chr13
contig-0000107	#D57533	chr13
contig-0000108	#808080	chr21
contig-0000109	#D57533	chr13
contig-0000112	#1A7FBA	chr12
contig-0000113	#1A7FBA	chr12
contig-0000114	#1A7FBA	chr12
contig-0000115	#E6C47F	chr22
contig-0000116	#808080	chr21
contig-0000117	#E6C47F	chr22
contig-0000119	#D57533	chr13
contig-0000120	#737373	chr14
contig-0000121	#E6C47F	chr22
contig-0000122	#737373	chr14
contig-0000123	#1A7FBA	chr12
contig-0000124	#D57533	chr13
contig-0000125	#D57533	chr13
contig-0000127	#E6B847	chr15
contig-0000128	#E6B847	chr15
contig-0000129	#E6B847	chr15
contig-0000130	#E6B847	chr15
contig-0000131	#E6B847	chr15
contig-0000133	#808080	chr21
contig-0000134	#808080	chr21
contig-0000135	#D57533	chr13
contig-0000136	#808080	chr21
contig-0000137	#808080	chr21
contig-0000138	#D57533	chr13
contig-0000139	#D57533	chr13
contig-0000140	#808080	chr21
contig-0000141	#D57533	chr13
contig-0000142	#D57533	chr13
contig-0000143	#E6C47F	chr22
contig-0000144	#D57533	chr13
contig-0000145	#D57533	chr13
contig-0000147	#E6B847	chr15
contig-0000148	#808080	chr21
contig-0000150	#808080	chr21
contig-0000151	#D57533	chr13
contig-0000152	#808080	chr21
contig-0000154	#E6B847	chr15
contig-0000155	#808080	chr21
contig-0000156	#E69F00	chr1
contig-0000157	#808080	chr21
contig-0000158	#CC8DB3	chr11
contig-0000159	#808080	chr21
contig-0000160	#E6C47F	chr22
contig-0000161	#E6B847	chr15
contig-0000162	#808080	chr21
contig-0000163	#CC8DB3	chr11
contig-0000164	#808080	chr21
contig-0000165	#808080	chr21
contig-0000166	#808080	chr21
contig-0000167	#808080	chr21
contig-0000169	#E6C47F	chr22
contig-0000170	#737373	chr14
contig-0000171	#CC8DB3	chr11
contig-0000172	#737373	chr14
contig-0000173	#808080	chr21
contig-0000174	#E6B847	chr15
contig-0000175	#E6C47F	chr22
contig-0000176	#D57533	chr13
contig-0000177	#1A7FBA	chr12
contig-0000178	#E69F00	chr1
contig-0000179	#E6B847	chr15
contig-0000180	#E69F00	chr1
contig-0000181	#D57533	chr13
contig-0000182	#E69F00	chr1
contig-0000183	#D57533	chr13
contig-0000184	#D57533	chr13
contig-0000185	#D57533	chr13
contig-0000186	#D57533	chr13
contig-0000187	#D57533	chr13
contig-0000188	#E69F00	chr1
contig-0000189	#D57533	chr13
contig-0000190	#D57533	chr13
contig-0000191	#D57533	chr13
contig-0000192	#D57533	chr13
contig-0000193	#808080	chr21
contig-0000194	#E69F00	chr1
contig-0000195	#1A7FBA	chr12
contig-0000196	#1A7FBA	chr12
contig-0000197	#1A7FBA	chr12
contig-0000198	#1A7FBA	chr12
contig-0000199	#E69F00	chr1
contig-0000200	#737373	chr14
contig-0000201	#737373	chr14
contig-0000202	#808080	chr21
contig-0000203	#737373	chr14
contig-0000205	#808080	chr21
contig-0000206	#808080	chr21
contig-0000207	#808080	chr21
contig-0000208	#808080	chr21
contig-0000209	#E6C47F	chr22
contig-0000210	#737373	chr14
contig-0000211	#808080	chr21
contig-0000212	#808080	chr21
contig-0000213	#808080	chr21
contig-0000214	#808080	chr21
contig-0000216	#0072B2	chr5
contig-0000217	#737373	chr14
contig-0000218	#0072B2	chr5
contig-0000219	#0072B2	chr5
contig-0000220	#0072B2	chr5
contig-0000221	#0072B2	chr5
contig-0000222	#338CC2	chr19
contig-0000223	#338CC2	chr19
contig-0000224	#338CC2	chr19
contig-0000225	#338CC2	chr19
contig-0000226	#737373	chr14
contig-0000227	#808080	chr21
contig-0000228	#E6B847	chr15
contig-0000229	#E6C47F	chr22
contig-0000230	#737373	chr14
contig-0000231	#D57533	chr13
contig-0000232	#808080	chr21
contig-0000233	#808080	chr21
contig-0000234	#808080	chr21
contig-0000235	#E6C47F	chr22
contig-0000236	#808080	chr21
contig-0000237	#737373	chr14
contig-0000238	#1A7FBA	chr12
contig-0000239	#338CC2	chr19
contig-0000240	#D57533	chr13
contig-0000241	#D57533	chr13
contig-0000242	#D57533	chr13
contig-0000243	#D57533	chr13
contig-0000244	#338CC2	chr19
contig-0000245	#D57533	chr13
contig-0000246	#338CC2	chr19
contig-0000249	#D57533	chr13
contig-0000250	#737373	chr14
contig-0000251	#D57533	chr13
contig-0000252	#338CC2	chr19
contig-0000253	#D57533	chr13
contig-0000254	#808080	chr21
contig-0000255	#E6B847	chr15
contig-0000256	#D57533	chr13
contig-0000257	#808080	chr21
contig-0000258	#338CC2	chr19
contig-0000259	#E6C47F	chr22
contig-0000261	#338CC2	chr19
contig-0000262	#808080	chr21
contig-0000263	#808080	chr21
contig-0000264	#808080	chr21
contig-0000265	#808080	chr21
contig-0000267	#D57533	chr13
contig-0000268	#E6C47F	chr22
contig-0000270	#808080	chr21
contig-0000271	#808080	chr21
contig-0000272	#E69F00	chr1
contig-0000273	#E69F00	chr1
contig-0000274	#E6C47F	chr22
contig-0000275	#E6C47F	chr22
contig-0000276	#338CC2	chr19
contig-0000277	#808080	chr21
contig-0000278	#808080	chr21
contig-0000279	#808080	chr21
contig-0000280	#808080	chr21
contig-0000281	#338CC2	chr19
contig-0000282	#D57533	chr13
contig-0000283	#D57533	chr13
contig-0000284	#808080	chr21
contig-0000285	#D57533	chr13
contig-0000286	#5699E9	chr9
contig-0000287	#808080	chr21
contig-0000289	#D57533	chr13
contig-0000290	#D57533	chr13
contig-0000291	#E6B847	chr15
contig-0000292	#D57533	chr13
contig-0000293	#5699E9	chr9
contig-0000294	#E6B847	chr15
contig-0000296	#D57533	chr13
contig-0000297	#D57533	chr13
contig-0000298	#D57533	chr13
contig-0000299	#D57533	chr13
contig-0000300	#1A7FBA	chr12
contig-0000301	#5699E9	chr9
contig-0000302	#737373	chr14
contig-0000303	#D57533	chr13
contig-0000304	#D57533	chr13
contig-0000305	#808080	chr21
contig-0000306	#5699E9	chr9
contig-0000307	#E6C47F	chr22
contig-0000308	#808080	chr21
contig-0000309	#E6C47F	chr22
contig-0000310	#E6B847	chr15
contig-0000311	#D57533	chr13
contig-0000312	#5699E9	chr9
contig-0000313	#808080	chr21
contig-0000314	#1A7FBA	chr12
contig-0000315	#1A7FBA	chr12
contig-0000316	#1A7FBA	chr12
contig-0000318	#D57533	chr13
contig-0000319	#E6C47F	chr22
contig-0000320	#D57533	chr13
contig-0000321	#737373	chr14
contig-0000322	#808080	chr21
contig-0000323	#808080	chr21
contig-0000324	#737373	chr14
contig-0000325	#808080	chr21
contig-0000326	#808080	chr21
contig-0000327	#808080	chr21
contig-0000328	#E6B847	chr15
contig-0000329	#00A880	chr10
contig-0000330	#E6C47F	chr22
contig-0000331	#E69F00	chr1
contig-0000332	#00A880	chr10
contig-0000333	#D57533	chr13
contig-0000335	#E6B847	chr15
contig-0000336	#808080	chr21
contig-0000337	#00A880	chr10
contig-0000338	#808080	chr21
contig-0000339	#808080	chr21
contig-0000340	#808080	chr21
contig-0000341	#808080	chr21
contig-0000342	#808080	chr21
contig-0000343	#808080	chr21
contig-0000345	#00A880	chr10
contig-0000346	#56B4E9	chr2
contig-0000347	#56B4E9	chr2
contig-0000348	#56B4E9	chr2
contig-0000349	#56B4E9	chr2
contig-0000350	#56B4E9	chr2
contig-0000351	#9467BD	chrX
contig-0000352	#D57533	chr13
contig-0000353	#808080	chr21
contig-0000354	#808080	chr21
contig-0000355	#00A880	chr10
contig-0000356	#808080	chr21
contig-0000357	#808080	chr21
contig-0000358	#D57533	chr13
contig-0000359	#E6C47F	chr22
contig-0000360	#D57533	chr13
contig-0000361	#E6C47F	chr22
contig-0000363	#808080	chr21
contig-0000364	#9467BD	chrX
contig-0000365	#808080	chr21
contig-0000366	#808080	chr21
contig-0000367	#808080	chr21
contig-0000368	#1A7FBA	chr12
contig-0000369	#D55E00	chr6
contig-0000370	#808080	chr21
contig-0000373	#D55E00	chr6
contig-0000374	#E6B847	chr15
contig-0000375	#E6B847	chr15
contig-0000376	#E6B847	chr15
contig-0000377	#D57533	chr13
contig-0000378	#5699E9	chr9
contig-0000379	#1A7FBA	chr12
contig-0000380	#1A7FBA	chr12
contig-0000381	#1A7FBA	chr12
contig-0000382	#1A7FBA	chr12
contig-0000383	#1A7FBA	chr12
contig-0000385	#009E73	chr3
contig-0000386	#009E73	chr3
contig-0000387	#009E73	chr3
contig-0000388	#009E73	chr3
contig-0000389	#009E73	chr3
contig-0000390	#E69F00	chr1
contig-0000391	#E69F00	chr1
contig-0000392	#E69F00	chr1
contig-0000393	#D55E00	chr6
contig-0000394	#E6B847	chr15
contig-0000395	#E6AB23	chr8
contig-0000396	#E6AB23	chr8
contig-0000397	#E6AB23	chr8
contig-0000398	#E6AB23	chr8
contig-0000399	#E6AB23	chr8
contig-0000400	#0072B2	chr5
contig-0000401	#0072B2	chr5
contig-0000402	#0072B2	chr5
contig-0000403	#009E73	chr3
contig-0000404	#D55E00	chr6
contig-0000405	#009E73	chr3
contig-0000406	#009E73	chr3
contig-0000407	#808080	chr21
contig-0000408	#808080	chr21
contig-0000409	#808080	chr21
contig-0000410	#CC8DB3	chr11
contig-0000411	#D55E00	chr6
contig-0000412	#CC8DB3	chr11
contig-0000413	#CC8DB3	chr11
contig-0000414	#808080	chr21
contig-0000415	#808080	chr21
contig-0000416	#00A880	chr10
contig-0000417	#666666	chr7
contig-0000418	#D55E00	chr6
contig-0000419	#666666	chr7
contig-0000420	#666666	chr7
contig-0000421	#D57533	chr13
contig-0000422	#D57533	chr13
contig-0000423	#D57533	chr13
contig-0000424	#D57533	chr13
contig-0000425	#D57533	chr13
contig-0000426	#009E73	chr3
contig-0000427	#009E73	chr3
contig-0000428	#E69F00	chr1
contig-0000429	#009E73	chr3
contig-0000430	#5699E9	chr9
contig-0000431	#666666	chr7
contig-0000432	#666666	chr7
contig-0000433	#666666	chr7
contig-0000434	#CCA0BF	chr18
contig-0000435	#5699E9	chr9
contig-0000436	#5699E9	chr9
contig-0000437	#5699E9	chr9
contig-0000438	#CC8DB3	chr11
contig-0000439	#E69F00	chr1
contig-0000440	#CC8DB3	chr11
contig-0000441	#CC8DB3	chr11
contig-0000442	#D57533	chr13
contig-0000443	#009E73	chr3
contig-0000444	#009E73	chr3
contig-0000445	#009E73	chr3
contig-0000446	#009E73	chr3
contig-0000447	#E69F00	chr1
contig-0000448	#009E73	chr3
