#sample	chromosome	phase_set	from	to	variants
syndip	chr1	0	7787	248383424	264987
syndip	chr2	0	3155	242694066	251408
syndip	chr3	0	2645	201101343	201316
syndip	chr4	0	3022	193490816	232234
syndip	chr5	0	31830	182025943	196803
syndip	chr6	0	8047	172124006	217312
syndip	chr7	0	3200	160549708	188284
syndip	chrX	0	2267	154256551	134170
syndip	chr9	0	3545	150614219	158495
syndip	chr8	0	2183	146235495	147613
syndip	chr11	0	1837	135125485	184291
syndip	chr10	0	3727	134723423	158080
syndip	chr12	0	4614	133322669	146566
syndip	chr13	0	2742	113562614	112561
syndip	chr14	0	29813	101158107	151208
syndip	chr15	0	6091	99749463	163371
syndip	chr16	0	20545	96327872	122083
syndip	chr17	0	2246	84237411	102513
syndip	chr18	0	163949	80539281	96933
syndip	chr20	0	2374	66206141	89001
syndip	chr19	0	2210	61703723	92901
syndip	chr22	0	4614	51321978	119668
syndip	chr21	0	5077	45086027	84742
