#sample	chromosome	dataset_name0	dataset_name1	file_name0	file_name1	intersection_blocks	covered_variants	all_assessed_pairs	all_switches	all_switch_rate	all_switchflips	all_switchflip_rate	blockwise_hamming	blockwise_hamming_rate	blockwise_diff_genotypes	blockwise_diff_genotypes_rate	largestblock_assessed_pairs	largestblock_switches	largestblock_switch_rate	largestblock_switchflips	largestblock_switchflip_rate	largestblock_hamming	largestblock_hamming_rate	largestblock_diff_genotypes	largestblock_diff_genotypes_rate	het_variants0	only_snvs
SAMPLE	chr1	giab	assembly	assembly/qc/phased_verkko/TUE_02_03UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_03UL/assembly.filtered.vcf.gz	1	31972	31971	1688	0.05279784804979513	964/362	0.04147508679741015	15732	0.4920555486050294	0	0.0	31971	1688	0.05279784804979513	964/362	0.04147508679741015	15732	0.4920555486050294	0	0.0	134723	0
SAMPLE	chr10	giab	assembly	assembly/qc/phased_verkko/TUE_02_03UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_03UL/assembly.filtered.vcf.gz	1	21500	21499	1133	0.052700125587236614	673/230	0.042001953579236244	9914	0.46111627906976743	0	0.0	21499	1133	0.052700125587236614	673/230	0.042001953579236244	9914	0.46111627906976743	0	0.0	74773	0
SAMPLE	chr11	giab	assembly	assembly/qc/phased_verkko/TUE_02_03UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_03UL/assembly.filtered.vcf.gz	1	19052	19051	1052	0.055220198414781374	618/217	0.04382972022466012	9298	0.4880327524669326	0	0.0	19051	1052	0.055220198414781374	618/217	0.04382972022466012	9298	0.4880327524669326	0	0.0	69733	0
SAMPLE	chr12	giab	assembly	assembly/qc/phased_verkko/TUE_02_03UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_03UL/assembly.filtered.vcf.gz	1	18289	18288	1042	0.056977252843394575	584/229	0.044455380577427824	8505	0.4650336267701897	0	0.0	18288	1042	0.056977252843394575	584/229	0.044455380577427824	8505	0.4650336267701897	0	0.0	69143	0
SAMPLE	chr13	giab	assembly	assembly/qc/phased_verkko/TUE_02_03UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_03UL/assembly.filtered.vcf.gz	1	14897	14896	720	0.04833512352309345	412/154	0.03799677765843179	7034	0.4721756058266765	0	0.0	14896	720	0.04833512352309345	412/154	0.03799677765843179	7034	0.4721756058266765	0	0.0	54420	0
SAMPLE	chr14	giab	assembly	assembly/qc/phased_verkko/TUE_02_03UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_03UL/assembly.filtered.vcf.gz	1	13291	13290	691	0.05199398043641836	417/137	0.04168547780285929	6168	0.46407343315025207	0	0.0	13290	691	0.05199398043641836	417/137	0.04168547780285929	6168	0.46407343315025207	0	0.0	80725	0
SAMPLE	chr15	giab	assembly	assembly/qc/phased_verkko/TUE_02_03UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_03UL/assembly.filtered.vcf.gz	1	12158	12157	691	0.05683968084231307	367/162	0.043514024841655015	5937	0.48832044744201347	0	0.0	12157	691	0.05683968084231307	367/162	0.043514024841655015	5937	0.48832044744201347	0	0.0	73686	0
SAMPLE	chr16	giab	assembly	assembly/qc/phased_verkko/TUE_02_03UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_03UL/assembly.filtered.vcf.gz	1	13039	13038	793	0.06082221199570486	481/156	0.0488571866850744	5963	0.45732034665235066	0	0.0	13038	793	0.06082221199570486	481/156	0.0488571866850744	5963	0.45732034665235066	0	0.0	56338	0
SAMPLE	chr17	giab	assembly	assembly/qc/phased_verkko/TUE_02_03UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_03UL/assembly.filtered.vcf.gz	1	11677	11676	703	0.06020897567660158	427/138	0.048389859540938676	5032	0.43093260255202537	0	0.0	11676	703	0.06020897567660158	427/138	0.048389859540938676	5032	0.43093260255202537	0	0.0	44242	0
SAMPLE	chr18	giab	assembly	assembly/qc/phased_verkko/TUE_02_03UL/giab.filtered.vcf.gz	assembly/qc/phased_verkko/TUE_02_03UL/assembly.filtered.vcf.gz	1	10683	10682	702	0.06571803033139861	406/148	0.05186294701366785	4976	0.46578676401759805	0	0.0	10682	702	0.06571803033139861	406/148	0.05186294701366785	4976	0.46578676401759805	0	0.0	40931	0
