Chromosome	Origin_HP1	Origin_HP2	PofO_Assignment_Score	NormalizedNum_Differentially_Methylated_CGs_Supported_PofO_Assignment	NormalizedNum_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_Differentially_Methylated_CGs_Supported_PofO_Assignment	Num_Differentially_Methylated_CGs_Conflicted_PofO_Assignment	Num_iDMRs_Supported_PofO_Assignment	Num_iDMRs_Conflicted_PofO_Assignment	Num_All_Differentially_Methylated_CGs_At_Supporting_iDMRs	Num_All_Differentially_Methylated_CGs_At_Conflicting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Supporting_iDMRs	Num_All_CGs_CouldBeExaminedInBothHaplotypes_At_Conflicting_iDMRs
chr1	Maternal	Paternal	1.0	123.96718000000001	0	184	0	3	0	184	0	197	0
chr10	Maternal	Paternal	1.0	67.36338	0	147	0	3	0	147	0	163	0
chr11	Paternal	Maternal	1.0	495.35622	0	691	0	6	0	691	0	723	0
chr12	Paternal	Maternal	0.62636	106.64188999999999	63.615120000000005	188	122	2	3	188	122	220	122
chr13	Maternal	Paternal	0.94928	203.66858	10.88175	285	25	3	1	285	25	326	25
chr14	Maternal	Paternal	1.0	286.05359999999996	0	455	0	7	0	455	0	565	0
chr15	Maternal	Paternal	0.98887	541.1089400000002	6.09309	888	13	22	0	901	0	1224	0
chr16	Paternal	Maternal	1.0	148.39147	0	245	0	5	0	245	0	354	0
chr18	Paternal	Maternal	1.0	150.68076	0	232	0	3	0	232	0	232	0
chr19	Paternal	Maternal	1.0	387.06148	0	524	0	6	0	524	0	571	0
chr2	Paternal	Maternal	0.92391	340.86643	28.07431	558	61	4	2	558	61	614	81
chr20	Paternal	Maternal	1.0	961.77128	0	1222	0	8	0	1222	0	1355	0
chr21	Maternal	Paternal	1.0	67.46291	0	129	0	3	0	129	0	134	0
chr22	Maternal	Paternal	1.0	58.28860999999999	0	83	0	2	0	83	0	104	0
chr3	Maternal	Paternal	1.0	37.80914	0	65	0	2	0	65	0	84	0
chr4	Paternal	Maternal	0.95002	114.541	6.02532	177	28	3	1	177	28	180	78
chr5	Maternal	Paternal	0.58533	25.3505	17.959319999999998	35	33	1	2	35	33	35	42
chr6	Maternal	Paternal	0.94788	312.52185999999995	17.18304	409	28	4	1	409	28	442	28
chr7	Paternal	Maternal	0.98476	477.41364999999996	7.3888	730	16	7	1	730	16	797	16
chr8	Maternal	Paternal	1.0	262.74893000000003	0	423	0	7	0	423	0	595	0
chr9	Maternal	Paternal	0.83957	138.70632	26.50418	202	79	3	2	202	79	202	85
