chrom	end_start	end_end	contig_name	contig_length	haplotype	end_side	nearest_gene_chrom	nearest_gene_start	nearest_gene_end	nearest_gene_name	distance
chr1	873861	873862	unassigned-0000693	53041	unassigned	left_end	chr1	884060	904534	ATAD3C	10199
chr1	926884	926885	unassigned-0000693	53041	unassigned	right_end	chr1	906135	943970	ATAD3B	0
chr1	5429686	5429687	unassigned-0001292	24230	unassigned	left_end	chr1	5710665	5725241	RPL22	280979
chr1	5453881	5453882	unassigned-0001292	24230	unassigned	right_end	chr1	5710665	5725241	RPL22	256784
chr1	19860204	19860205	unassigned-0001151	51789	unassigned	left_end	chr1	19111587	19128882	LOC124903867	731323
chr1	19860378	19860379	haplotype1-0000128	85398	haplotype1	left_end	chr1	19111587	19128882	LOC124903867	731497
chr1	19884301	19884302	unassigned-0001485	26379	unassigned	left_end	chr1	19111587	19128882	LOC124903867	755420
chr1	19905791	19905792	unassigned-0001150	48696	unassigned	left_end	chr1	19111587	19128882	LOC124903867	776910
chr1	19910647	19910648	unassigned-0001485	26379	unassigned	right_end	chr1	19111587	19128882	LOC124903867	781766
chr1	19911858	19911859	unassigned-0001151	51789	unassigned	right_end	chr1	19111587	19128882	LOC124903867	782977
chr1	19921479	19921480	unassigned-0001366	32091	unassigned	left_end	chr1	19111587	19128882	LOC124903867	792598
chr1	19945788	19945789	haplotype1-0000128	85398	haplotype1	right_end	chr1	19111587	19128882	LOC124903867	816907
chr1	19953585	19953586	unassigned-0001366	32091	unassigned	right_end	chr1	19111587	19128882	LOC124903867	824704
chr1	19954468	19954469	unassigned-0001150	48696	unassigned	right_end	chr1	19111587	19128882	LOC124903867	825587
chr1	19976228	19976229	unassigned-0001280	70850	unassigned	left_end	chr1	19111587	19128882	LOC124903867	847347
chr1	20047083	20047084	unassigned-0001280	70850	unassigned	right_end	chr1	19111587	19128882	LOC124903867	918202
chr1	20265070	20265071	unassigned-0001381	34866	unassigned	left_end	chr1	21238253	21238788	PDE4DIPP10	973183
chr1	20299879	20299880	unassigned-0001381	34866	unassigned	right_end	chr1	21238253	21238788	PDE4DIPP10	938374
chr1	21869443	21869444	unassigned-0001568	31898	unassigned	left_end	chr1	21876516	21925101	CDC42	7073
chr1	21901333	21901334	unassigned-0001568	31898	unassigned	right_end	chr1	21876516	21925101	CDC42	0
