metric	value	haplotype	asm_method	asm_name	source	chromosome
mapped_sequences_n	84	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
primary_alignments_n	13111	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
secondary_alignments_n	1340	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
primary_alignments_long_cigar_n	0	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
bases_in_mapped_sequences	3045166300	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
bases_mapped	3020970240	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
substitutions	3959736	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
insertions_length_0_50	443528	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
insertions_length_50_100	3436	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
insertions_length_100_300	2959	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
insertions_length_300_400	2054	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
insertions_length_400_1000	1627	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
insertions_length_1000_inf	2319	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
deletions_length_0_50	444921	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
deletions_length_50_100	3411	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
deletions_length_100_300	3309	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
deletions_length_300_400	2175	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
deletions_length_400_1000	1995	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
deletions_length_1000_inf	2312	haplotype1	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
mapped_sequences_n	78	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
primary_alignments_n	12475	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
secondary_alignments_n	996	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
primary_alignments_long_cigar_n	0	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
bases_in_mapped_sequences	2922595751	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
bases_mapped	2889621827	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
substitutions	4010298	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
insertions_length_0_50	438125	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
insertions_length_50_100	3453	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
insertions_length_100_300	3957	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
insertions_length_300_400	1817	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
insertions_length_400_1000	1632	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
insertions_length_1000_inf	2471	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
deletions_length_0_50	442472	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
deletions_length_50_100	3520	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
deletions_length_100_300	3198	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
deletions_length_300_400	1706	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
deletions_length_400_1000	2151	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
deletions_length_1000_inf	2137	haplotype2	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
mapped_sequences_n	672	both	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
primary_alignments_n	26362	both	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
secondary_alignments_n	3714	both	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
primary_alignments_long_cigar_n	0	both	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
bases_in_mapped_sequences	6003286187	both	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
bases_mapped	5954784437	both	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
substitutions	8113403	both	phased_hifiasm	T2T00_hifiasm_ont	stat	NA
