#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
syndip	chr1	assembly/variants/TUE_02_05UL_02DX/phased_verkko/small_variants.dip.vcf.gz	375221	252146	7199	0	1	252146	252146.0	252146	252146	252146	248380941	248380941.0	248380941	248380941	248380941	259345	216903	210063	0.9722416086679905	0.9684651664568955	248380941
syndip	chr2	assembly/variants/TUE_02_05UL_02DX/phased_verkko/small_variants.dip.vcf.gz	352474	237509	580	0	1	237509	237509.0	237509	237509	237509	242690911	242690911.0	242690911	242690911	242690911	238089	197371	196849	0.9975639361751278	0.9973552345582685	242690911
syndip	chr3	assembly/variants/TUE_02_05UL_02DX/phased_verkko/small_variants.dip.vcf.gz	304130	204597	1270	0	1	204597	204597.0	204597	204597	204597	201098384	201098384.0	201098384	201098384	201098384	205867	173546	172336	0.9938309685379395	0.9930277851405391	201098384
syndip	chr4	assembly/variants/TUE_02_05UL_02DX/phased_verkko/small_variants.dip.vcf.gz	332515	225145	4257	0	1	225145	225145.0	225145	225145	225145	193487794	193487794.0	193487794	193487794	193487794	229402	194617	190669	0.9814430562941909	0.9797140023738934	193487794
syndip	chr5	assembly/variants/TUE_02_05UL_02DX/phased_verkko/small_variants.dip.vcf.gz	273087	187370	1	0	1	187370	187370.0	187370	187370	187370	182042449	182042449.0	182042449	182042449	182042449	187371	157503	157502	0.9999946629948071	0.9999936509145858	182042449
syndip	chr6	assembly/variants/TUE_02_05UL_02DX/phased_verkko/small_variants.dip.vcf.gz	305461	208231	636	0	1	208231	208231.0	208231	208231	208231	172115959	172115959.0	172115959	172115959	172115959	208867	178113	177545	0.996955000071816	0.9968110132331722	172115959
syndip	chr7	assembly/variants/TUE_02_05UL_02DX/phased_verkko/small_variants.dip.vcf.gz	280729	187820	3	0	1	187820	187820.0	187820	187820	187820	160562497	160562497.0	160562497	160562497	160562497	187823	157412	157409	0.999984027515267	0.9999809417325236	160562497
syndip	chrX	assembly/variants/TUE_02_05UL_02DX/phased_verkko/small_variants.dip.vcf.gz	127968	127787	181	0	1	127787	127787.0	127787	127787	127787	154251747	154251747.0	154251747	154251747	154251747	127968	100336	100235	0.998585583895974	0.9989933822356881	154251747
syndip	chr9	assembly/variants/TUE_02_05UL_02DX/phased_verkko/small_variants.dip.vcf.gz	233301	157381	3968	0	1	157381	157381.0	157381	157381	157381	150610674	150610674.0	150610674	150610674	150610674	161349	129803	126482	0.9754073468072315	0.9744150751523463	150610674
syndip	chr8	assembly/variants/TUE_02_05UL_02DX/phased_verkko/small_variants.dip.vcf.gz	238326	150804	1501	0	1	150804	150804.0	150804	150804	150804	146240505	146240505.0	146240505	146240505	146240505	152305	128964	127608	0.9901447752864319	0.9894854377965944	146240505
syndip	chr11	assembly/variants/TUE_02_05UL_02DX/phased_verkko/small_variants.dip.vcf.gz	265445	187823	2583	0	1	187823	187823.0	187823	187823	187823	135123648	135123648.0	135123648	135123648	135123648	190406	166882	164330	0.9864342510215014	0.9847077575772103	135123648
