sample	chromosome	haplotype	contig	start	end	length	strand
			T2T00_chr10_haplotype1-0000004	38114546	43940295	5825749	
			T2T00_chr10_haplotype2-0000048	38176024	44238344	6062320	
			T2T00_chr13_haplotype1-0000017	558914	7886510	7327596	
			T2T00_chr15_haplotype2-0000053	9050098	15776774	6726676	
			T2T00_chr1_haplotype1-0000001	120868619	126985551	6116932	
			T2T00_chr1_haplotype2-0000045	121339829	128223159	6883330	
			T2T00_chr22_haplotype2-0000059	5947813	16592143	10644330	
			T2T00_chr3_haplotype1-0000005	89335902	96948427	7612525	
			T2T00_chr3_haplotype2-0000049	89342887	96954702	7611815	
			T2T00_chr4_haplotype1-0000022	48755374	54548523	5793149	
			T2T00_chr4_haplotype2-0000068	48825848	54455206	5629358	
			T2T00_chr5_haplotype1-0000021	45123492	51981590	6858098	
			T2T00_chr6_haplotype1-0000024	57457409	63786524	6329115	
			T2T00_chr8_haplotype1-0000015	41986632	47500236	5513604	
			T2T00_chr8_haplotype2-0000060	41786537	47456010	5669473	
			T2T00_chrX_haplotype2-0000056	56891931	62073008	5181077	
			T2T00_chrY_haplotype1-0000011	9056885	11537058	2480173	
			T2T00_chrY_haplotype1-0000011	17345446	19942319	2596873	
			T2T00_rc-chr11_haplotype1-0000019	47781744	59085207	11303463	
			T2T00_rc-chr11_haplotype2-0000066	47746579	57647400	9900821	
			T2T00_rc-chr12_haplotype1-0000020	33442245	39500580	6058335	
			T2T00_rc-chr12_haplotype2-0000067	33357837	39303652	5945815	
			T2T00_rc-chr13_haplotype2-0000064	178064	12798823	12620759	
			T2T00_rc-chr14_haplotype1-0000018	4883279	14253757	9370478	
			T2T00_rc-chr14_haplotype2-0000065	528329	15572949	15044620	
			T2T00_rc-chr15_haplotype1-0000010	329161	15494976	15165815	
			T2T00_rc-chr16_haplotype1-0000023	31900993	40684476	8783483	
			T2T00_rc-chr16_haplotype2-0000069	32066931	38838745	6771814	
			T2T00_rc-chr17_haplotype1-0000006	21840294	28184801	6344507	
			T2T00_rc-chr17_haplotype2-0000050	21916414	28457013	6540599	
			T2T00_rc-chr18_haplotype1-0000002	14369672	20578224	6208552	
			T2T00_rc-chr18_haplotype2-0000047	14410142	21590217	7180075	
			T2T00_rc-chr19_haplotype1-0000014	23193125	31323548	8130423	
			T2T00_rc-chr19_haplotype2-0000061	23578614	31923240	8344626	
			T2T00_rc-chr20_haplotype1-0000016	25264742	32252526	6987784	
			T2T00_rc-chr20_haplotype2-0000057	25347582	31326414	5978832	
			T2T00_rc-chr21_haplotype1-0000003	784821	7183655	6398834	
			T2T00_rc-chr21_haplotype2-0000070	4256950	11020042	6763092	
			T2T00_rc-chr22_haplotype1-0000013	5616157	14745003	9128846	
			T2T00_rc-chr2_haplotype1-0000007	91279015	96232823	4953808	
			T2T00_rc-chr2_haplotype1-0000007	131823297	133862270	2038973	
			T2T00_rc-chr2_haplotype2-0000051	91371043	95913874	4542831	
			T2T00_rc-chr2_haplotype2-0000051	131496208	133535860	2039652	
			T2T00_rc-chr5_haplotype2-0000062	45269691	53322004	8052313	
			T2T00_rc-chr6_haplotype2-0000063	57474902	64690352	7215450	
			T2T00_rc-chr7_haplotype1-0000008	57187785	63616896	6429111	
			T2T00_rc-chr7_haplotype2-0000052	57040733	64342838	7302105	
			T2T00_rc-chr9_haplotype1-0000025	39129170	47934648	8805478	
			T2T00_rc-chr9_haplotype1-0000025	64328757	68993335	4664578	
			T2T00_rc-chr9_haplotype2-0000071	39135604	47972919	8837315	
			T2T00_rc-chr9_haplotype2-0000071	62112937	64460215	2347278	
			T2T00_1_chr10_haplotype1-0000008	38126885	43944637	5817752	
			T2T00_1_chr11_haplotype1-0000010	47885038	55573384	7688346	
			T2T00_1_chr11_haplotype2-0000059	47779638	59077605	11297967	
			T2T00_1_chr15_haplotype1-0000013	7274276	13908356	6634080	
			T2T00_1_chr15_haplotype2-0000063	1	10799485	10799484	
			T2T00_1_chr19_haplotype2-0000055	23515368	30162734	6647366	
			T2T00_1_chr1_haplotype1-0000004	120758037	126882445	6124408	
			T2T00_1_chr1_haplotype2-0000061	120828883	127985010	7156127	
			T2T00_1_chr22_haplotype1-0000019	3097619	15169853	12072234	
			T2T00_1_chr22_haplotype2-0000051	1	9702427	9702426	
			T2T00_1_chr2_haplotype1-0000018	91455081	95327508	3872427	
			T2T00_1_chr2_haplotype1-0000018	130929305	132968860	2039555	
			T2T00_1_chr2_haplotype2-0000068	91469315	96017945	4548630	
			T2T00_1_chr2_haplotype2-0000068	131599462	133640688	2041226	
			T2T00_1_chr3_haplotype1-0000009	89329962	96923768	7593806	
			T2T00_1_chr3_haplotype2-0000058	89329553	98372855	9043302	
			T2T00_1_chr4_haplotype2-0000078	48829136	54422252	5593116	
			T2T00_1_chr5_haplotype1-0000014	45159750	53216507	8056757	
			T2T00_1_chr5_haplotype2-0000064	45120531	52615132	7494601	
			T2T00_1_chr6_unassigned-0000990	1	101790	101789	
			T2T00_1_chr7_haplotype1-0000017	57186698	63601518	6414820	
			T2T00_1_chr7_haplotype2-0000067	57074210	65769412	8695202	
