sample	contig	chromosome	contig_length	gap_length	ref_length	motif_length	n_gaps	total_gap_length_bed	mean_gap_size	max_gap_size	min_gap_size	gap_density	classification
NA20827	NA20827#2#CM102559.1	chr1	248664058	107500	248387328	248664058	2	107500	53750.0	100000	7500	0.01	scaffold
NA20827	NA20827#2#CM102568.1	chr10	135964882	0	134758134	135964882	0	0	0.0	0	0	0.0	contig
NA20827	NA20827#2#CM102569.1	chr11	133696443	7500	135127769	133696443	1	7500	7500.0	7500	7500	0.01	scaffold
NA20827	NA20827#2#CM102570.1	chr12	134147671	0	133324548	134147671	0	0	0.0	0	0	0.0	contig
NA20827	NA20827#2#CM102573.1	chr15	98237277	100000	99753195	98237277	1	100000	100000.0	100000	100000	0.01	scaffold
NA20827	NA20827#2#CM102574.1	chr16	94543126	0	96330374	94543126	0	0	0.0	0	0	0.0	contig
NA20827	NA20827#2#CM102575.1	chr17	84520169	100000	84276897	84520169	1	100000	100000.0	100000	100000	0.01	scaffold
NA20827	NA20827#2#CM102576.1	chr18	80160824	100000	80542538	80160824	1	100000	100000.0	100000	100000	0.01	scaffold
NA20827	NA20827#2#CM102577.1	chr19	60393499	0	61707364	60393499	0	0	0.0	0	0	0.0	contig
NA20827	NA20827#2#CM102560.1	chr2	242297106	2128	242696752	242297106	1	2128	2128.0	2128	2128	0.0	scaffold
NA20827	NA20827#2#CM102578.1	chr20	66793183	0	66210255	66793183	0	0	0.0	0	0	0.0	contig
NA20827	NA20827#2#CM102579.1	chr21	42271554	200000	45090682	42271554	2	200000	100000.0	100000	100000	0.05	scaffold
NA20827	NA20827#2#CM102561.1	chr3	201841397	0	201105948	201841397	0	0	0.0	0	0	0.0	contig
NA20827	NA20827#2#CM102562.1	chr4	191959014	0	193574945	191959014	0	0	0.0	0	0	0.0	contig
NA20827	NA20827#2#CM102563.1	chr5	184618089	0	182045439	184618089	0	0	0.0	0	0	0.0	contig
NA20827	NA20827#2#CM102564.1	chr6	171138114	22844	172126628	171138114	1	22844	22844.0	22844	22844	0.01	scaffold
NA20827	NA20827#2#CM102565.1	chr7	160749115	106916	160567428	160749115	2	106916	53458.0	100000	6916	0.01	scaffold
NA20827	NA20827#2#CM102566.1	chr8	145947585	100000	146259331	145947585	1	100000	100000.0	100000	100000	0.01	scaffold
NA20827	NA20827#2#CM102567.1	chr9	137586600	0	150617247	137586600	0	0	0.0	0	0	0.0	contig
NA20827	NA20827#2#CM102581.1	chrX	154139224	0	154259566	154139224	0	0	0.0	0	0	0.0	contig
